#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rrfG//fabA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	lldP//adiA//fumA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	proX//pncB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fecE//modB//
AcrR_FNR_Fur_SoxR	citE//
AcrR_FNR_Fur_SoxR_SoxS	sufA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ftsI//
Ada_AidB_Lrp	lysA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	uidA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ilvG_2//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	sodA//uxaA//cysB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gadE//pstA//
AdiY_H-NS_IHF	udp//
AgaR_CRP	treB//cyoD//tauB//alaV//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	gspM//mazF//sufA//ddlB//frdA//focA//
AppY_ArcA_YdeO	fliK//guaB//zraS//cspA//
AraC_CRP	hemL//mntH//argD//glnP//cadA//idnO//mhpC//paaA//tnaC//
AraC_CRP_XylR	ydhX//actP//frdB//
AraC_NagC	glyA//manY//
ArcA_BetI_Cra	aidB//fecC//ydhU//aceF//
ArcA_CRP_CaiF_FNR_H-NS	rutB//ldtB//cspI//deoA//puuA//fdnG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	pck//hyaB//uxuR//ulaE//oppD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gntX//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gapA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	feoC//osmC//
ArcA_CRP_Cra_Fis	gadY//
ArcA_CRP_Cra_IHF_IclR	casA//ccmF//malE//
ArcA_CRP_DcuR	frdB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	nagC//murG//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nikD//
ArcA_CRP_DnaA_FNR	prpD//
ArcA_CRP_DpiA_FNR_NarL	rrlH//yhiM//rhaT//entE//gnd//fadH//
ArcA_CRP_DpiA_FlhDC	nemR//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	norR//ilvD//
ArcA_CRP_FNR	nanS//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	narH//rrlC//malQ//
ArcA_CRP_FNR_Fis_Fur_PdhR	ynfE//
ArcA_CRP_FNR_Fis_IHF_NarL	fdnI//
ArcA_CRP_FNR_Fur	xylG//ynfE//hypD//dcuD//
ArcA_CRP_FNR_Fur_IHF	yoeB//gntP//ilvD//rplW//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	osmE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	casB//
ArcA_CRP_FNR_IHF_NarL	fliE//
ArcA_CRP_FNR_NarL	fabA//
ArcA_CRP_FadR	srlE//mdtC//
ArcA_CRP_FadR_HipB	cyoE//
ArcA_CRP_FadR_OmpR_PhoP	hybA//
ArcA_CRP_Fis_Mlc_SoxS	lacY//
ArcA_CRP_Fis_XylR	ccmC//
ArcA_CRP_Fur_GadX_MqsA	evgA//
ArcA_CRP_GatR	csrC//melA//rplD//melR//hyaE//rbsA//
ArcA_CRP_GlpR	lacY//
ArcA_CRP_IHF	norR//
ArcA_CRP_PuuR	ynfH//hdeD//fixC//fdnI//nanM//
ArcA_CRP_RhaS	ccmH//
ArcA_CRP_TreR	purH//mdh//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	hipB//purR//
ArcA_Cra	gspF//
ArcA_Cra_FNR_H-NS_HypT	pspG//gntT//
ArcA_CysB_FNR	deoD//
ArcA_FNR	relA//agaW//ydeM//nagE//treC//ihfA//frdC//ydhW//yhcH//trg//galS//fes//gltU//yoeB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	zraR//
ArcA_FNR_Fis_IHF_NarL	nanE//fimI//relA//hha//fis//metN//rrfA//casA//rutB//ugpE//srlB//bglG//gspO//
ArcA_FNR_Fur_IHF	csgG//
ArcA_FNR_IHF	gatD//nuoL//galP//
ArcA_FNR_IHF_NarL	flgM//puuP//
ArcA_FNR_NarL	patA//gspC//xylG//nikE//
ArcA_FNR_PhoP	sucC//
ArcA_FNR_PuuR	yecR//rrlB//
ArcA_FadR	lpxD//nuoI//gltU//
ArcA_FadR_Fis	ssuB//hmp//
ArcA_Fur_Lrp_ModE	rrsD//pdeL//malP//ftsW//hisJ//
ArcA_GlcC_IHF_PdhR	putP//yjbF//dmsA//narJ//iclR//cysA//
ArcA_LexA	agaA//narH//
ArcA_LldR	nrfA//tdcA//glcA//
ArcA_NarL	rpoS//yeaR//hisP//ptsH//uvrA//araH//pqiB//accB//
ArcA_NtrC_PhoP_RutR	gltA//ydhT//fdnH//lacA//araA//nupC//nikR//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	metN//relE//rrsA//
ArgP_CRP_FNR_Fur_Nac	alaV//
ArgP_DnaA	fixB//atoB//melR//
ArgP_Lrp	hybO//recF//
ArgP_LysR	gdhA//
ArgP_PhoB	torA//
ArgR_CRP	hisM//
ArgR_CRP_Fis	ilvG_2//gntU//bglF//appA//hyaD//ynfK//phoU//hyfI//
ArgR_Fis_IHF_PepA_PurR_RutR	ilvL//rsmH//
ArgR_H-NS_NtrC	cyoD//hipB//mazE//flhD//
ArgR_NtrC	entB//rhaD//oppD//yhiD//gatB//
ArgR_PhoP	rpsJ//
AscG_CRP	yafQ//uxuR//yjcH//
AscG_CRP_PhoB_PrpR	oxyR//
AsnC_MraZ_Nac	pqiB//
AsnC_Nac	dcuD//entF//
AtoC_IHF	oppC//sufA//cusB//rrsA//
BaeR_CpxR	nagE//fixA//icd//waaY//flgN//ahpC//nuoG//
BaeR_CpxR_EvgA	modC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ogt//ugpB//ackA//narX//
BasR_CpxR_PdhR	fliK//ulaA//
BasR_Fis	cusF//
BasR_H-NS_IHF_NagC_NanR	betI//
BasR_MarA_PutA	oppF//
BasR_PhoP	dadA//
BasR_QseB	fdnH//ygiC//
CRP_CaiF_FNR	phoU//acrB//iclR//gabT//
CRP_ChbR_NagC	lacA//ccmD//nuoH//yeiL//betA//bglB//
CRP_ComR	mdtC//
