#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	focA//araB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ptsH//dsdA//tnaB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	gspC//ilvL//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fis//feoC//
AcrR_FNR_Fur_SoxR	pck//
AcrR_FNR_Fur_SoxR_SoxS	gadF//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	asnC//
Ada_AidB_Lrp	psiE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nfsA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	frdD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	gspK//spy//sgbU//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	chbC//gabP//
AdiY_H-NS_IHF	frdD//
AgaR_CRP	metK//marR//codB//napA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	fucR//tdcD//fixX//hyaD//cusB//appC//
AppY_ArcA_YdeO	lhgO//rbsB//rhaA//malP//
AraC_CRP	nuoJ//glnA//ssuB//hypC//nuoI//fimH//zinT//mazG//lldR//
AraC_CRP_XylR	puuC//yjjQ//rutD//
AraC_NagC	sodB//evgA//
ArcA_BetI_Cra	dinI//gadA//narI//manX//
ArcA_CRP_CaiF_FNR_H-NS	nuoG//ydhW//eda//pqiB//rpsS//casE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dmsA//hyfF//fbaA//galP//acrE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	csgE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	lsrB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rrfB//argP//
ArcA_CRP_Cra_Fis	prpR//
ArcA_CRP_Cra_IHF_IclR	fabZ//sgrT//yiaO//
ArcA_CRP_DcuR	pyrC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	hycG//nrfB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fpr//
ArcA_CRP_DnaA_FNR	fhlA//
ArcA_CRP_DpiA_FNR_NarL	ompR//uxuA//fliI//cusF//gltB//napH//
ArcA_CRP_DpiA_FlhDC	ileT//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	fucU//idnK//
ArcA_CRP_FNR	dcuC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	epd//cadB//gloA//
ArcA_CRP_FNR_Fis_Fur_PdhR	rplV//
ArcA_CRP_FNR_Fis_IHF_NarL	torD//
ArcA_CRP_FNR_Fur	ytfE//astE//ilvG_2//rutD//
ArcA_CRP_FNR_Fur_IHF	gatC//rbsB//gatC//entH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hydN//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	trg//
ArcA_CRP_FNR_IHF_NarL	fimD//
ArcA_CRP_FNR_NarL	rtcA//
ArcA_CRP_FadR	malX//guaA//
ArcA_CRP_FadR_HipB	tdcC//
ArcA_CRP_FadR_OmpR_PhoP	dinI//
ArcA_CRP_Fis_Mlc_SoxS	rrlG//
ArcA_CRP_Fis_XylR	nrdI//
ArcA_CRP_Fur_GadX_MqsA	ompF//
ArcA_CRP_GatR	fucI//csgG//rbsK//nagA//mntH//rrlB//
ArcA_CRP_GlpR	xylG//
ArcA_CRP_IHF	nanT//
ArcA_CRP_PuuR	rrsE//glnD//adiA//gatY//yciE//
ArcA_CRP_RhaS	fimD//
ArcA_CRP_TreR	nemR//adiA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ilvI//nhaR//
ArcA_Cra	fis//
ArcA_Cra_FNR_H-NS_HypT	mdtF//bglG//
ArcA_CysB_FNR	nrdD//
ArcA_FNR	cysU//rpmC//puuA//ftsA//nuoG//malS//emrY//ansB//sdhA//hyaD//dcuD//bglB//rrlA//yeiL//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gyrA//
ArcA_FNR_Fis_IHF_NarL	hyaC//hyaB//nrfF//betT//iraM//astC//ccmG//adhE//araJ//caiF//rhaS//ogt//edd//
ArcA_FNR_Fur_IHF	araH//
ArcA_FNR_IHF	fdnH//dppC//argP//
ArcA_FNR_IHF_NarL	torC//slp//
ArcA_FNR_NarL	ptsH//aceE//tauB//purN//
ArcA_FNR_PhoP	paaK//
ArcA_FNR_PuuR	ccmG//hisJ//
ArcA_FadR	citC//ddlB//baeR//
ArcA_FadR_Fis	metR//rrfH//
ArcA_Fur_Lrp_ModE	psiE//gabT//hydN//gapA//glnK//
ArcA_GlcC_IHF_PdhR	uxuR//dmsC//uxaC//ccmD//nikC//icd//
ArcA_LexA	rrfE//gadA//
ArcA_LldR	nusA//zwf//hdeA//
ArcA_NarL	paaI//sgbU//codB//rplW//aroA//hcr//fecA//yjcH//
ArcA_NtrC_PhoP_RutR	galE//ogt//frdA//pgaC//hyaC//treB//napF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	inaA//nagA//ulaB//
ArgP_CRP_FNR_Fur_Nac	cadA//
ArgP_DnaA	cysI//fimE//gspC//
ArgP_Lrp	melB//fadA//
ArgP_LysR	tdcD//
ArgP_PhoB	cysG//
ArgR_CRP	hyfR//
ArgR_CRP_Fis	rtcA//glpK//skp//proP//ygiC//citF//glgA//napB//
ArgR_Fis_IHF_PepA_PurR_RutR	rhaR//gspG//
ArgR_H-NS_NtrC	nuoE//yeiL//tdcE//nrfE//
ArgR_NtrC	aroL//ugpA//puuD//waaZ//rrfG//
ArgR_PhoP	sdhB//
AscG_CRP	micF//mtlR//marA//
AscG_CRP_PhoB_PrpR	astC//
AsnC_MraZ_Nac	hybC//
AsnC_Nac	araG//paaC//
AtoC_IHF	hypE//phoQ//nikE//cysG//
BaeR_CpxR	sgbE//lrp//iraM//tdcC//gspF//nfsB//melR//
BaeR_CpxR_EvgA	appB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	uidC//malS//gadB//rbsR//
BasR_CpxR_PdhR	gltA//araG//
BasR_Fis	puuP//
BasR_H-NS_IHF_NagC_NanR	sucA//
BasR_MarA_PutA	acnB//
BasR_PhoP	fadH//
BasR_QseB	rplV//aroP//
