#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	narK//uxaC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	fliE//leuO//dadA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ybfN//mhpD//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	dinJ//glnQ//
AcrR_FNR_Fur_SoxR	ompR//
AcrR_FNR_Fur_SoxR_SoxS	glgA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	fimC//
Ada_AidB_Lrp	gadE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gltU//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rseC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glnQ//astD//srlB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fucP//mtlD//
AdiY_H-NS_IHF	metE//
AgaR_CRP	appX//lldD//moaE//narL//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	icd//nanA//feoB//ccmG//phoU//hyfH//
AppY_ArcA_YdeO	ftnA//gatZ//proW//prpE//
AraC_CRP	gatC//prpD//hycG//frdB//gadY//torD//metE//hyfJ//idnR//
AraC_CRP_XylR	agaV//rpsI//gntX//
AraC_NagC	rrsG//cusB//
ArcA_BetI_Cra	gntK//ydeM//puuC//tyrP//
ArcA_CRP_CaiF_FNR_H-NS	zwf//rnpB//glcF//mhpB//tdcG//rplM//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	citX//nuoJ//emrY//moaB//moaB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rrsE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gntU//
ArcA_CRP_Cra_FNR_NsrR_PdhR	acrF//nrdI//
ArcA_CRP_Cra_Fis	ftnA//
ArcA_CRP_Cra_IHF_IclR	nagB//higB//dnaA//
ArcA_CRP_DcuR	nuoH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	icd//rpsS//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	yjbH//
ArcA_CRP_DnaA_FNR	entA//
ArcA_CRP_DpiA_FNR_NarL	zraR//acrA//ybjC//malS//evgS//hyfE//
ArcA_CRP_DpiA_FlhDC	rbsK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	zraR//cydA//
ArcA_CRP_FNR	qseB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sufB//lldR//pspG//
ArcA_CRP_FNR_Fis_Fur_PdhR	murD//
ArcA_CRP_FNR_Fis_IHF_NarL	astE//
ArcA_CRP_FNR_Fur	sufS//proP//lsrA//hipA//
ArcA_CRP_FNR_Fur_IHF	caiE//nanA//spy//zwf//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	gltU//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	chbR//
ArcA_CRP_FNR_IHF_NarL	puuE//
ArcA_CRP_FNR_NarL	cysP//
ArcA_CRP_FadR	lpxA//pdeL//
ArcA_CRP_FadR_HipB	gspE//
ArcA_CRP_FadR_OmpR_PhoP	gabT//
ArcA_CRP_Fis_Mlc_SoxS	sdhD//
ArcA_CRP_Fis_XylR	zraS//
ArcA_CRP_Fur_GadX_MqsA	ccmB//
ArcA_CRP_GatR	udp//betT//csrC//waaZ//sufA//lacZ//
ArcA_CRP_GlpR	nikR//
ArcA_CRP_IHF	hha//
ArcA_CRP_PuuR	ebgA//stpA//mtlD//hha//ilvA//
ArcA_CRP_RhaS	cysG//
ArcA_CRP_TreR	ascB//cspE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nrdE//puuR//
ArcA_Cra	glpB//
