#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ompF//amtB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	galS//narL//actP//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	fadH//aspC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	tomB//metR//
AcrR_FNR_Fur_SoxR	ogt//
AcrR_FNR_Fur_SoxR_SoxS	feoA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nuoJ//
Ada_AidB_Lrp	ebgC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	malI//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	lsrA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	narG//rbfA//rrfB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	emrY//tnaB//
AdiY_H-NS_IHF	prpE//
AgaR_CRP	rutC//fimD//hyfR//ydhU//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	malQ//ubiA//puuD//narH//moeA//yefM//
AppY_ArcA_YdeO	pgk//nrdB//phoU//mdh//
AraC_CRP	yqjI//ybfN//napF//phoQ//galP//nhaR//narK//hycI//citC//
AraC_CRP_XylR	yciE//malS//mglC//
AraC_NagC	idnO//nikA//
ArcA_BetI_Cra	metI//hybF//alaU//flhC//
ArcA_CRP_CaiF_FNR_H-NS	actP//nupG//sbmC//paaI//citG//nikB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrfE//casA//soxR//purN//nuoI//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	yjbE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ssuC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	mtlD//yefM//
ArcA_CRP_Cra_Fis	fimB//
ArcA_CRP_Cra_IHF_IclR	gntP//katG//rrfH//
ArcA_CRP_DcuR	glpQ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	lpxD//fepA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rrlH//
ArcA_CRP_DnaA_FNR	proW//
ArcA_CRP_DpiA_FNR_NarL	gadF//tyrR//hybO//nrfB//srlB//fadA//
ArcA_CRP_DpiA_FlhDC	nikA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nikB//tdcF//
ArcA_CRP_FNR	rpoH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ulaC//ileT//gntK//
ArcA_CRP_FNR_Fis_Fur_PdhR	metE//
ArcA_CRP_FNR_Fis_IHF_NarL	yjjQ//
ArcA_CRP_FNR_Fur	glcE//ssrS//feoA//mraZ//
ArcA_CRP_FNR_Fur_IHF	galP//napC//pspG//ycdZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rhaB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	yecR//
ArcA_CRP_FNR_IHF_NarL	garR//
ArcA_CRP_FNR_NarL	cusA//
ArcA_CRP_FadR	gspL//higA//
ArcA_CRP_FadR_HipB	moaD//
ArcA_CRP_FadR_OmpR_PhoP	tyrR//
ArcA_CRP_Fis_Mlc_SoxS	nuoF//
ArcA_CRP_Fis_XylR	yjcH//
ArcA_CRP_Fur_GadX_MqsA	uhpT//
ArcA_CRP_GatR	aspA//sucA//rpsJ//murG//ldtB//araH//
ArcA_CRP_GlpR	argO//
ArcA_CRP_IHF	hyfI//
ArcA_CRP_PuuR	kbaZ//hypD//hycG//yiaK//cusC//
ArcA_CRP_RhaS	ilvI//
ArcA_CRP_TreR	hypC//ftsI//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	uxuR//proV//
ArcA_Cra	glcA//
ArcA_Cra_FNR_H-NS_HypT	malP//nirD//
ArcA_CysB_FNR	casC//
ArcA_FNR	fimC//hpt//yhiM//narK//aroA//hycD//mhpD//fimC//yiaL//fumC//dnaA//sufE//nuoK//fecD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gntK//
ArcA_FNR_Fis_IHF_NarL	napD//hupB//lpd//glpT//mtlA//metK//rrsB//pspE//ilvI//hypA//galS//ilvA//dctR//
ArcA_FNR_Fur_IHF	nrfG//
