#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ulaF//exuR//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	waaZ//manY//fau//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ccmG//glcB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	envZ//nanT//
AcrR_FNR_Fur_SoxR	cspI//
AcrR_FNR_Fur_SoxR_SoxS	fimB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	umpH//
Ada_AidB_Lrp	deoB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	osmE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	tyrP//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	putA//betI//dnaA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araG//gabD//
AdiY_H-NS_IHF	mdtD//
AgaR_CRP	idnK//murC//pspD//cusA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	evgA//nuoN//glnP//tyrP//rrfA//treC//
AppY_ArcA_YdeO	hyfD//cysP//galT//pspB//
AraC_CRP	hisM//ccmF//malQ//paaB//gadW//fimI//rrfH//csgA//paaJ//
AraC_CRP_XylR	sdhB//narL//nmpC//
AraC_NagC	narL//rhaD//
ArcA_BetI_Cra	csgA//flhC//araG//rhaR//
ArcA_CRP_CaiF_FNR_H-NS	rhaD//sdhB//sroD//ygeA//fimG//dgcZ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hdeD//rbsB//ilvG_1//dps//lsrB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ydhV//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	idnT//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gatZ//chbC//
ArcA_CRP_Cra_Fis	yciE//
ArcA_CRP_Cra_IHF_IclR	ulaA//cydB//qseC//
ArcA_CRP_DcuR	gltA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	pncB//rrlA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	poxB//
ArcA_CRP_DnaA_FNR	norV//
ArcA_CRP_DpiA_FNR_NarL	uxaB//ptsH//entA//cysJ//lacA//ndh//
ArcA_CRP_DpiA_FlhDC	csgG//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	thrV//dcuB//
ArcA_CRP_FNR	gspC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fdnG//proP//glpQ//
ArcA_CRP_FNR_Fis_Fur_PdhR	baeS//
ArcA_CRP_FNR_Fis_IHF_NarL	narJ//
ArcA_CRP_FNR_Fur	hypC//puuD//ccmE//ssrS//
ArcA_CRP_FNR_Fur_IHF	sucA//moaE//setA//gyrA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	modA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ubiA//
ArcA_CRP_FNR_IHF_NarL	mglB//
ArcA_CRP_FNR_NarL	nirC//
ArcA_CRP_FadR	adiA//ilvE//
ArcA_CRP_FadR_HipB	ilvM//
ArcA_CRP_FadR_OmpR_PhoP	fliK//
ArcA_CRP_Fis_Mlc_SoxS	metE//
ArcA_CRP_Fis_XylR	tdcG//
ArcA_CRP_Fur_GadX_MqsA	glpK//
ArcA_CRP_GatR	oxyR//hdeD//srlB//glpK//ompF//malM//
ArcA_CRP_GlpR	emrK//
ArcA_CRP_IHF	nusA//
ArcA_CRP_PuuR	rrlA//glpQ//hyfJ//fliC//spy//
ArcA_CRP_RhaS	rhaA//
ArcA_CRP_TreR	rutE//rbsD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	paaZ//atoD//
ArcA_Cra	galT//
ArcA_Cra_FNR_H-NS_HypT	bglB//fdnH//
ArcA_CysB_FNR	rutB//
ArcA_FNR	fumB//glpK//sdhA//tdcB//rimK//ssuE//rpmC//nemR//tauA//nikD//xylA//gcvT//srlA//napB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	metB//
ArcA_FNR_Fis_IHF_NarL	astB//glpK//ugpB//pnp//cyoB//lacY//hdeD//bamE//tsx//codA//modA//nikC//mdtC//
ArcA_FNR_Fur_IHF	ssuC//
ArcA_FNR_IHF	adiA//prpD//yjbH//
ArcA_FNR_IHF_NarL	glpC//metH//
ArcA_FNR_NarL	gdhA//ptsH//yefM//hisP//
ArcA_FNR_PhoP	rrsG//
ArcA_FNR_PuuR	lpxC//hybE//
ArcA_FadR	atoE//sodB//aspC//
ArcA_FadR_Fis	chbR//cbl//
ArcA_Fur_Lrp_ModE	uidB//aceK//ompF//ilvM//prpD//
ArcA_GlcC_IHF_PdhR	hisP//rplW//entF//gadB//rhaD//ygiB//
ArcA_LexA	astA//puuC//
ArcA_LldR	aspA//malE//actP//
ArcA_NarL	galK//purH//paaJ//micF//glmY//gspJ//yhiM//lyxK//
ArcA_NtrC_PhoP_RutR	glcG//nuoK//ydhW//udp//pgaC//osmY//atoB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gspM//sufA//hyfB//
ArgP_CRP_FNR_Fur_Nac	tcyJ//
ArgP_DnaA	mdtB//gspE//ahpF//
ArgP_Lrp	dppA//accC//
ArgP_LysR	rpsQ//
ArgP_PhoB	nrdB//
ArgR_CRP	rrsG//
ArgR_CRP_Fis	ogt//fadB//lsrC//fimI//crr//nhaA//nanE//katE//
ArgR_Fis_IHF_PepA_PurR_RutR	rbfA//ssuB//
ArgR_H-NS_NtrC	nanC//ftsA//aslB//fucU//
ArgR_NtrC	ansB//araH//fdhF//ulaD//rrsD//
ArgR_PhoP	paaF//
AscG_CRP	mdtF//nuoB//astC//
AscG_CRP_PhoB_PrpR	mnmG//
AsnC_MraZ_Nac	sucB//
AsnC_Nac	uhpT//atoB//
AtoC_IHF	csgE//hns//ygiB//ubiC//
BaeR_CpxR	rrfE//cadC//putP//rrfC//yhcH//mdh//folA//
BaeR_CpxR_EvgA	pstS//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cadA//pncB//murE//ulaA//
BasR_CpxR_PdhR	sufD//malM//
BasR_Fis	hcp//
BasR_H-NS_IHF_NagC_NanR	rrfE//
BasR_MarA_PutA	focA//
BasR_PhoP	hyaD//
BasR_QseB	uxaA//nuoI//
CRP_CaiF_FNR	casB//rrfA//cysG//lsrF//
CRP_ChbR_NagC	malK//ptsI//nfuA//feoB//gltB//dppF//
CRP_ComR	safA//
CRP_CpxR	yjiY//
CRP_CpxR_CytR	ulaA//
CRP_CpxR_CytR_DnaA_IHF	gltT//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	tauB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	nuoL//idnR//napH//ugpE//
CRP_Cra	guaB//uidA//rrlA//phoQ//hycB//feoB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rsmH//ulaB//mhpF//narI//
CRP_Cra_FNR_PdhR	ssuE//
CRP_Cra_Fis	fucI//
CRP_Cra_Fis_GlcC	ssuD//
CRP_Cra_Fis_MtlR	asnC//malF//rhaD//
CRP_Cra_Mlc_NagC	glyA//fadE//cas2//marB//nrdH//purM//
CRP_Cra_PrpR	feoB//dsdC//cyoD//purN//
CRP_CreB_Fis_MalT	evgA//aceA//proV//
CRP_CsiR_H-NS_Lrp	srlD//amtB//
CRP_CsiR_H-NS_Lrp_Nac	gyrA//pgaB//dcuA//
CRP_CspA_Fis	micF//
CRP_CytR	lsrA//oxyR//feoB//
CRP_CytR_DeoR	iclR//relA//
CRP_CytR_DeoR_Fis_ModE	cydB//glgP//ftnA//exuT//
CRP_CytR_Nac	narK//
CRP_CytR_NsrR	glgA//
CRP_DcuR_FNR_NarL	murF//
CRP_DinJ-YafQ	acrA//
CRP_DnaA_Fis_PurR	pflB//mglA//
CRP_DpiA_ExuR	fepE//
CRP_DsdC	sufB//casD//
CRP_EbgR	fucA//malM//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	cysJ//qseC//
