#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nrdF//hyfB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	pstA//fecE//ptsG//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	garK//nikA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	safA//napA//
AcrR_FNR_Fur_SoxR	acs//
AcrR_FNR_Fur_SoxR_SoxS	appX//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	cysW//
Ada_AidB_Lrp	nac//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	atoB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	yciE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	prpC//rsmH//fimE//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gcvH//dcuS//
AdiY_H-NS_IHF	pdeL//
AgaR_CRP	rrlC//gntK//nuoK//hypC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	dcuS//csgC//iclR//nuoC//yoeB//metK//
AppY_ArcA_YdeO	gntP//cyoE//katG//rbsB//
AraC_CRP	ybdN//uxaC//sufB//ynfG//rrfC//mlc//tomB//uspA//appA//
AraC_CRP_XylR	gntX//iclR//appC//
AraC_NagC	rimP//nagB//
ArcA_BetI_Cra	focA//pncB//tyrR//marB//
ArcA_CRP_CaiF_FNR_H-NS	ydeN//mntH//tcyJ//yjcH//melR//ileU//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ydhW//fixB//malX//fimC//pflB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hydN//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nirD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gabP//tcyJ//
ArcA_CRP_Cra_Fis	hmp//
ArcA_CRP_Cra_IHF_IclR	nrfD//xylB//nuoL//
ArcA_CRP_DcuR	casD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	atoE//nuoA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nirC//
ArcA_CRP_DnaA_FNR	hdeD//
ArcA_CRP_DpiA_FNR_NarL	fadE//yjiY//chiP//argD//yjbH//oppD//
ArcA_CRP_DpiA_FlhDC	prpD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	flhD//gspM//
ArcA_CRP_FNR	nikA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yciE//nuoK//fucA//
ArcA_CRP_FNR_Fis_Fur_PdhR	glpT//
ArcA_CRP_FNR_Fis_IHF_NarL	agaW//
ArcA_CRP_FNR_Fur	nrfB//sgbE//alaT//yedX//
ArcA_CRP_FNR_Fur_IHF	gspF//dadA//hycG//gltB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	lsrC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	aceF//
ArcA_CRP_FNR_IHF_NarL	soxR//
ArcA_CRP_FNR_NarL	acs//
ArcA_CRP_FadR	cspI//cysG//
ArcA_CRP_FadR_HipB	acrD//
ArcA_CRP_FadR_OmpR_PhoP	araJ//
ArcA_CRP_Fis_Mlc_SoxS	tcyJ//
ArcA_CRP_Fis_XylR	idnR//
ArcA_CRP_Fur_GadX_MqsA	sdhB//
ArcA_CRP_GatR	lamB//purH//prpE//galK//ilvD//appA//
ArcA_CRP_GlpR	cirA//
ArcA_CRP_IHF	ftsL//
ArcA_CRP_PuuR	paaK//mazG//exuT//nrdA//aceB//
ArcA_CRP_RhaS	csgA//
ArcA_CRP_TreR	rpoE//ftsA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fdnH//puuC//
ArcA_Cra	soxR//
ArcA_Cra_FNR_H-NS_HypT	xylF//cysB//
ArcA_CysB_FNR	crr//
ArcA_FNR	xylA//cyoD//ynfG//yciG//gnd//rpsO//norR//hybB//deoB//ahpF//hyfH//rpsC//narH//ydhV//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hns//
ArcA_FNR_Fis_IHF_NarL	csgG//murQ//tdcB//acnA//metI//tauB//gspL//malS//lldP//fliE//ccmA//rrsH//hisP//
ArcA_FNR_Fur_IHF	murC//
ArcA_FNR_IHF	rplC//hyaA//fucO//
ArcA_FNR_IHF_NarL	accC//ascB//
ArcA_FNR_NarL	rrsA//marB//galP//glpK//
ArcA_FNR_PhoP	cydA//
ArcA_FNR_PuuR	rutE//gntP//
ArcA_FadR	glpC//rseB//dcuD//
ArcA_FadR_Fis	dpiB//feaB//
ArcA_Fur_Lrp_ModE	accC//ompR//ulaD//yecR//betI//
ArcA_GlcC_IHF_PdhR	dadA//napA//nuoH//paaZ//fliE//mdtD//
ArcA_LexA	fdnH//ilvH//
ArcA_LldR	cysW//amtB//gntT//
ArcA_NarL	rtcA//fabA//dpiA//hybB//rpsS//hyfG//lsrG//ssuA//
ArcA_NtrC_PhoP_RutR	iclR//rpmC//oppA//serA//cysH//nrfD//cas2//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	emrK//dsdA//manZ//
ArgP_CRP_FNR_Fur_Nac	nupG//
ArgP_DnaA	appC//mntH//murD//
ArgP_Lrp	metY//ompW//
ArgP_LysR	dpiB//
ArgP_PhoB	glpX//
ArgR_CRP	dmsD//
ArgR_CRP_Fis	rimK//mraY//caiB//dnaN//idnO//actP//fiu//norV//
ArgR_Fis_IHF_PepA_PurR_RutR	yiaJ//deoA//
ArgR_H-NS_NtrC	ogt//idnD//malK//nanM//
ArgR_NtrC	sbmC//metQ//glcE//glnG//rcnA//
ArgR_PhoP	oppD//
AscG_CRP	gnd//dmsC//csgA//
AscG_CRP_PhoB_PrpR	uhpT//
AsnC_MraZ_Nac	waaY//
AsnC_Nac	rplB//cydB//
AtoC_IHF	entD//cydA//gspI//sroD//
BaeR_CpxR	ulaF//nanC//rseB//ftsZ//rpsQ//gltB//pyrC//
BaeR_CpxR_EvgA	ascF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	malS//astA//mioC//csgB//
BasR_CpxR_PdhR	gabD//cspA//
BasR_Fis	sgbH//
BasR_H-NS_IHF_NagC_NanR	carA//
BasR_MarA_PutA	pflB//
BasR_PhoP	pck//
BasR_QseB	waaZ//aroL//
CRP_CaiF_FNR	rimK//rrsD//gcvT//tauB//
CRP_ChbR_NagC	rrlB//rtcB//rbsK//hns//lldP//glpF//
CRP_ComR	tdcF//
CRP_CpxR	inaA//
CRP_CpxR_CytR	asr//
CRP_CpxR_CytR_DnaA_IHF	cadA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	rrfB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	alaT//hupA//rpsC//yhiM//
CRP_Cra	purR//hybC//rutB//idnO//acrA//ilvG_1//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gspO//epd//tomB//pspE//
CRP_Cra_FNR_PdhR	metB//
CRP_Cra_Fis	tdcG//
CRP_Cra_Fis_GlcC	epd//
CRP_Cra_Fis_MtlR	tdcA//yiaM//rhaB//
CRP_Cra_Mlc_NagC	csrC//caiE//hycI//napA//lsrC//dppD//
CRP_Cra_PrpR	pstC//hyaB//waaH//dmsA//
CRP_CreB_Fis_MalT	chbF//nhaA//hyfA//
CRP_CsiR_H-NS_Lrp	hha//gatA//
CRP_CsiR_H-NS_Lrp_Nac	glcF//tam//uxaA//
CRP_CspA_Fis	gadE//
CRP_CytR	adhE//lgoR//cspA//
CRP_CytR_DeoR	dsdC//ygiA//
CRP_CytR_DeoR_Fis_ModE	gatZ//hybB//rpoE//sucC//
CRP_CytR_Nac	lysP//
CRP_CytR_NsrR	ulaE//
CRP_DcuR_FNR_NarL	cspD//
CRP_DinJ-YafQ	araH//
CRP_DnaA_Fis_PurR	pdeL//hyfJ//
CRP_DpiA_ExuR	acs//
CRP_DsdC	serA//pyrD//
CRP_EbgR	pflB//fhuF//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	araA//astD//
CRP_ExuR	ugpB//
CRP_ExuR_FNR	pspA//puuP//
CRP_ExuR_OxyR_UxuR	rplD//proP//
CRP_ExuR_UxuR	nirD//
CRP_FNR	mhpF//
CRP_FNR_FhlA_HyfR	fadL//oppB//acrD//ccmD//tdcA//atoA//yjiY//murG//ydhT//ynfG//rbsC//dcuR//
CRP_FNR_Fis	prpD//dgcZ//hycC//
CRP_FNR_Fis_GlpR_IHF	narI//puuD//
CRP_FNR_Fis_H-NS_SlyA	csgD//
CRP_FNR_GcvA_Lrp_PurR	purN//bhsA//nrdE//
CRP_FNR_H-NS_NarL	fecB//
CRP_FNR_IHF_TdcA_TdcR	rrfG//hemA//ftsW//acrD//katE//fis//rrsH//
CRP_FNR_NarL	sufD//idnT//ynfE//
CRP_FeaR_NsrR	rpmC//
CRP_Fis	caiA//mhpC//envZ//araG//osmY//
CRP_Fis_FlhDC_GalR_GalS	mtlA//murC//
CRP_Fis_FliZ_IHF_Lrp	lsrB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	fecE//fecD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hyfH//rrfE//fliJ//
CRP_Fis_IHF	hycD//focA//chiP//hyfE//nemR//
CRP_Fis_NanR	narX//fimD//ppiA//cysW//modC//
CRP_Fis_NtrC	spy//ilvD//nagC//
CRP_Fis_XylR	hyfB//rbfA//ascB//
CRP_FlhDC_GalR_GalS	srlD//
CRP_FucR	yiaJ//malX//fadB//srlE//ptsH//hdeD//mdtE//
CRP_Fur	ssuA//gltT//gspK//ybiT//aroM//fis//cspA//aceB//lsrG//
CRP_Fur_HypT_PdhR	nrfE//ssuC//gadF//hyfC//ydhY//
CRP_Fur_OxyR_SoxS	waaH//
CRP_GalR_GalS	zraS//
CRP_GalR_GalS_H-NS_HU	metL//gspE//rtcA//aroL//
CRP_GalR_GalS_NagC	fucP//
CRP_GlpR	cusS//napH//rrfC//
CRP_GntR	dppC//pgaD//
CRP_GntR_IdnR	ilvG_2//norR//rpoS//xylB//sra//ssuE//lsrK//
CRP_GntR_IscR	argD//
CRP_GutM_GutR_H-NS	malQ//atoB//rplM//recF//hydN//moaB//tauA//
CRP_H-NS	envZ//
CRP_H-NS_HipAB_HipB_NtrC	ydeN//
CRP_H-NS_LacI	appX//rutA//mglC//
CRP_H-NS_LeuO	fimD//hha//oppC//acnB//appC//ccmA//yjcH//
CRP_H-NS_MqsA	rrsH//
CRP_IHF	tdcE//glcD//torA//dcuA//
CRP_IHF_MprA_OmpR	csgB//
CRP_IHF_NsrR	lsrA//
CRP_IHF_PaaX	fiu//ssrS//marA//nagC//ndh//ansB//hyfI//hycD//yjbF//manZ//aceK//napA//
CRP_IHF_UlaR	ogt//cspA//katG//glpA//gatY//aceA//
CRP_IHF_YiaJ	glnP//araB//aroP//thrV//yeiL//actP//hipB//phoQ//hybF//lacY//
CRP_LexA	poxB//
CRP_Lrp	fabB//recF//fepA//gltT//
CRP_Lrp_Mlc	aspC//
CRP_Lrp_Nac	frdA//
CRP_LsrR	citG//rhaA//fecD//sgrS//uhpT//nrdD//puuB//rutB//tsx//
CRP_MalI	fadJ//cadC//lsrB//
CRP_MalT	exuR//paaJ//rutB//
