#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	idnK//purA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	glnG//yqjH//atoA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ugpA//melA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fimE//hupB//
AcrR_FNR_Fur_SoxR	proP//
AcrR_FNR_Fur_SoxR_SoxS	argP//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ftsA//
Ada_AidB_Lrp	phoQ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	malT//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	astE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	osmE//yiaK//fdnH//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	stpA//narK//
AdiY_H-NS_IHF	casA//
AgaR_CRP	norV//waaZ//metQ//casC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	hdeD//gltW//norR//nanS//chiP//mhpF//
AppY_ArcA_YdeO	cysU//yrbL//alaV//glcF//
AraC_CRP	casC//gatZ//acrB//araD//crr//srlA//fixX//rutC//baeR//
AraC_CRP_XylR	sucC//soxR//gabD//
AraC_NagC	yciF//cydA//
ArcA_BetI_Cra	yhjA//ackA//fliI//torC//
ArcA_CRP_CaiF_FNR_H-NS	araC//acrD//metH//dcuD//hdeA//cusA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ydeN//chbA//yciF//ynfE//yqjH//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rplB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	flhC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	norV//prfA//
ArcA_CRP_Cra_Fis	ygeA//
ArcA_CRP_Cra_IHF_IclR	fhuF//marA//trg//
ArcA_CRP_DcuR	hycI//
ArcA_CRP_DcuR_DpiA_FNR_NarL	dppC//yaiA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	cspI//
ArcA_CRP_DnaA_FNR	agaV//
ArcA_CRP_DpiA_FNR_NarL	malG//nuoI//rrfG//ccmA//norR//fimA//
ArcA_CRP_DpiA_FlhDC	dgcZ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ilvG_1//aldB//
ArcA_CRP_FNR	zwf//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lacY//rcnA//ahpC//
ArcA_CRP_FNR_Fis_Fur_PdhR	dadA//
ArcA_CRP_FNR_Fis_IHF_NarL	xylH//
ArcA_CRP_FNR_Fur	mtlD//fadB//gltD//nrdD//
ArcA_CRP_FNR_Fur_IHF	hycD//rrlA//nuoN//serA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fliG//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glnG//
ArcA_CRP_FNR_IHF_NarL	ynfG//
ArcA_CRP_FNR_NarL	lhgO//
ArcA_CRP_FadR	ybjN//fucU//
ArcA_CRP_FadR_HipB	csgE//
ArcA_CRP_FadR_OmpR_PhoP	csgG//
ArcA_CRP_Fis_Mlc_SoxS	dcuR//
ArcA_CRP_Fis_XylR	yiaJ//
ArcA_CRP_Fur_GadX_MqsA	pstS//
ArcA_CRP_GatR	ilvM//nfsB//malF//gatC//ldtB//gdhA//
ArcA_CRP_GlpR	hybG//
ArcA_CRP_IHF	puuC//
ArcA_CRP_PuuR	aceB//lyxK//moeA//tdcB//gspC//
ArcA_CRP_RhaS	napB//
ArcA_CRP_TreR	malY//fepA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	rrsA//treB//
ArcA_Cra	modC//
ArcA_Cra_FNR_H-NS_HypT	tnaC//gspK//
ArcA_CysB_FNR	metK//
