#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	narG//yrbL//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gapA//purD//prpC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	higA//rseB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	pdeR//cas2//
AcrR_FNR_Fur_SoxR	malM//
AcrR_FNR_Fur_SoxR_SoxS	rprA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	gspF//
Ada_AidB_Lrp	hycE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ascF//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	galM//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	metH//rplM//rseB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	poxB//nrdH//
AdiY_H-NS_IHF	ftsL//
AgaR_CRP	pspB//prmC//lgoR//hmp//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	cirA//uspA//glgC//narK//yciE//hycG//
AppY_ArcA_YdeO	ftsW//cydD//caiC//prfA//
AraC_CRP	xylB//pspD//codB//lsrA//gspJ//rnpB//lpxA//gspH//rhaA//
AraC_CRP_XylR	modB//metN//hipB//
AraC_NagC	ynfE//lyxK//
ArcA_BetI_Cra	nupG//hcr//cusB//hycD//
ArcA_CRP_CaiF_FNR_H-NS	yedX//acnB//pspB//cusC//katE//yjiY//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	edd//narH//mazF//cspD//fimI//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	recF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	pgaB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nfsB//ydhY//
ArcA_CRP_Cra_Fis	glcF//
ArcA_CRP_Cra_IHF_IclR	waaH//guaB//gadF//
ArcA_CRP_DcuR	aslB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	gatB//casA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fimD//
ArcA_CRP_DnaA_FNR	prpE//
ArcA_CRP_DpiA_FNR_NarL	rbsD//ilvG_1//nuoM//ccmF//mhpF//fucK//
ArcA_CRP_DpiA_FlhDC	tdcA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nrdF//cysG//
ArcA_CRP_FNR	lsrD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ydhY//fucU//rpoE//
ArcA_CRP_FNR_Fis_Fur_PdhR	rpsO//
ArcA_CRP_FNR_Fis_IHF_NarL	prpB//
ArcA_CRP_FNR_Fur	nagE//nrfF//entD//rutC//
ArcA_CRP_FNR_Fur_IHF	malF//exuR//torD//fdhF//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fadA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cspD//
ArcA_CRP_FNR_IHF_NarL	gabD//
ArcA_CRP_FNR_NarL	cysU//
ArcA_CRP_FadR	crp//nhaR//
ArcA_CRP_FadR_HipB	fdnI//
ArcA_CRP_FadR_OmpR_PhoP	araF//
ArcA_CRP_Fis_Mlc_SoxS	asnC//
ArcA_CRP_Fis_XylR	marA//
ArcA_CRP_Fur_GadX_MqsA	mhpD//
ArcA_CRP_GatR	rplB//ydeP//yciG//pdeR//manX//araG//
ArcA_CRP_GlpR	citF//
ArcA_CRP_IHF	fdhF//
ArcA_CRP_PuuR	malM//napC//paaD//serC//hdeB//
ArcA_CRP_RhaS	araD//
ArcA_CRP_TreR	glnK//thrV//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	hypE//gadE//
ArcA_Cra	chbA//
