#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mhpE//sucA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	yciF//ptsI//lsrA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	nrfA//modA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	deoB//chbB//
AcrR_FNR_Fur_SoxR	bolA//
AcrR_FNR_Fur_SoxR_SoxS	gadC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	citE//
Ada_AidB_Lrp	truB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nanK//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rbsB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	acs//acrA//nemR//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	metQ//nfo//
AdiY_H-NS_IHF	sroD//
AgaR_CRP	melR//cusS//nrdB//fhlA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	hypC//galK//ebgC//fucA//glnQ//ubiA//
AppY_ArcA_YdeO	malK//ydeN//rpsS//fadH//
AraC_CRP	moaC//recF//yjbF//glpX//gntK//osmE//fumB//ulaA//prpE//
AraC_CRP_XylR	hybF//prpB//ogt//
AraC_NagC	nupC//ulaA//
ArcA_BetI_Cra	fadL//gapA//hycG//xylR//
ArcA_CRP_CaiF_FNR_H-NS	nuoE//nanE//gltW//ynfH//rutF//yciE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	acnB//pspC//gspF//lsrB//hyfI//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gapA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gatA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hycB//entH//
ArcA_CRP_Cra_Fis	murF//
ArcA_CRP_Cra_IHF_IclR	yhiD//dppD//yjcH//
ArcA_CRP_DcuR	paaB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	hemL//sucD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hyfD//
ArcA_CRP_DnaA_FNR	umpH//
ArcA_CRP_DpiA_FNR_NarL	deoA//nrdB//paaI//nikE//lldP//zraS//
ArcA_CRP_DpiA_FlhDC	yhcH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	paaH//glcE//
ArcA_CRP_FNR	gatY//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rhaD//caiT//xylG//
ArcA_CRP_FNR_Fis_Fur_PdhR	cysA//
ArcA_CRP_FNR_Fis_IHF_NarL	yjcH//
