#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	betT//ubiC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gabT//ahpC//fucR//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	nemA//argP//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	aroM//aceB//
AcrR_FNR_Fur_SoxR	cysH//
AcrR_FNR_Fur_SoxR_SoxS	ccmB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	aceE//
Ada_AidB_Lrp	tdcF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ptsI//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	fadL//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	recF//tdcE//aceF//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ytfE//ascF//
AdiY_H-NS_IHF	pdeR//
AgaR_CRP	deoB//sucA//mazE//manX//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	mhpD//fliZ//atoB//nrfC//chbC//icd//
AppY_ArcA_YdeO	pdeR//dinJ//nupG//pdeL//
AraC_CRP	gspJ//ydhX//cspA//envZ//fadL//ulaE//nhaR//puuE//zinT//
AraC_CRP_XylR	napH//nrdD//feoA//
AraC_NagC	ydeP//cyaR//
ArcA_BetI_Cra	gltT//lacZ//tam//frdB//
ArcA_CRP_CaiF_FNR_H-NS	higB//hycE//trg//gcd//nrdH//lpd//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mdtB//lacY//astC//nanE//narG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cydA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	rplD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	dnaN//sbmC//
ArcA_CRP_Cra_Fis	crr//
ArcA_CRP_Cra_IHF_IclR	pdeL//cyoC//lacA//
ArcA_CRP_DcuR	glnP//
ArcA_CRP_DcuR_DpiA_FNR_NarL	cusR//csgF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	melR//
ArcA_CRP_DnaA_FNR	uspA//
ArcA_CRP_DpiA_FNR_NarL	proP//cspD//fliI//nrdA//caiT//yqjI//
ArcA_CRP_DpiA_FlhDC	relA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	puuR//ulaA//
ArcA_CRP_FNR	rutB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	melA//aroL//aceE//
ArcA_CRP_FNR_Fis_Fur_PdhR	citG//
ArcA_CRP_FNR_Fis_IHF_NarL	yoeB//
ArcA_CRP_FNR_Fur	pqiB//edd//proX//aceE//
ArcA_CRP_FNR_Fur_IHF	gatC//appB//cytR//lhgO//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	pspB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	dmsC//
