#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hypC//sgbU//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rplW//hmp//cusB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	mhpC//putA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hisM//uxuA//
AcrR_FNR_Fur_SoxR	ftsI//
AcrR_FNR_Fur_SoxR_SoxS	pyrD//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	glgC//
Ada_AidB_Lrp	deoB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tdcD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ygiA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	torD//yqjH//yaiA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hybC//citF//
AdiY_H-NS_IHF	hycA//
AgaR_CRP	hybD//glcC//garR//alaT//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	acrB//nrdA//citD//srlE//hybD//ccmD//
AppY_ArcA_YdeO	sucA//proP//nuoN//ftnA//
AraC_CRP	ilvH//rplC//ilvM//hybF//lldD//serA//treB//fpr//sodB//
AraC_CRP_XylR	fes//setA//sdhB//
AraC_NagC	folA//alaU//
ArcA_BetI_Cra	moeB//araC//hybD//dadX//
ArcA_CRP_CaiF_FNR_H-NS	cusR//hns//rcsA//xylA//ftsL//setA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gadB//glcB//sucC//aroG//dsdA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	manZ//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	puuA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rrfH//dadA//
ArcA_CRP_Cra_Fis	ugpQ//
ArcA_CRP_Cra_IHF_IclR	rsmH//nuoN//gntU//
ArcA_CRP_DcuR	ssuC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	rrsC//gnd//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	pqiB//
ArcA_CRP_DnaA_FNR	rpoS//
ArcA_CRP_DpiA_FNR_NarL	yrbL//fucA//frdC//manZ//aslB//uxaC//
ArcA_CRP_DpiA_FlhDC	deoA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nanT//hcp//
ArcA_CRP_FNR	cysW//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	paaA//fadA//mtlD//
ArcA_CRP_FNR_Fis_Fur_PdhR	nrfB//
ArcA_CRP_FNR_Fis_IHF_NarL	proP//
ArcA_CRP_FNR_Fur	ybjN//puuC//dinJ//gltD//
ArcA_CRP_FNR_Fur_IHF	acnA//napG//metI//nrfD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rhaA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	moaD//
ArcA_CRP_FNR_IHF_NarL	mraY//
ArcA_CRP_FNR_NarL	gatY//
ArcA_CRP_FadR	fdnI//ahpF//
ArcA_CRP_FadR_HipB	mtr//
ArcA_CRP_FadR_OmpR_PhoP	fepA//
ArcA_CRP_Fis_Mlc_SoxS	nhaR//
ArcA_CRP_Fis_XylR	ynfK//
ArcA_CRP_Fur_GadX_MqsA	sucD//
ArcA_CRP_GatR	gspD//edd//nanE//gltW//cspA//cbl//
ArcA_CRP_GlpR	fixC//
ArcA_CRP_IHF	nupC//
ArcA_CRP_PuuR	cyaR//glnK//hybD//cydB//nuoA//
ArcA_CRP_RhaS	hybG//
ArcA_CRP_TreR	nanM//araG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	citG//gspF//
ArcA_Cra	gltA//
ArcA_Cra_FNR_H-NS_HypT	mhpE//oppF//
ArcA_CysB_FNR	rbsR//
ArcA_FNR	ompC//acrZ//fliE//bglG//rrfG//rnpB//araH//pspC//paaJ//ihfA//ogt//gltD//uvrA//paaD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	guaA//
ArcA_FNR_Fis_IHF_NarL	rrsA//torD//pdhR//gatZ//garR//lldR//pqiB//lldD//betI//appX//rbsC//glpA//rpoE//
ArcA_FNR_Fur_IHF	idnR//
ArcA_FNR_IHF	ilvM//nagA//malM//
ArcA_FNR_IHF_NarL	ugpB//dinI//
ArcA_FNR_NarL	gltA//citG//metH//araG//
ArcA_FNR_PhoP	gapA//
ArcA_FNR_PuuR	putP//sodA//
ArcA_FadR	fumC//ybdZ//rrsB//
ArcA_FadR_Fis	malE//emrK//
ArcA_Fur_Lrp_ModE	rutA//dcuA//tolC//cydA//feoC//
ArcA_GlcC_IHF_PdhR	mdtD//tdcG//lsrB//relE//yfaE//citG//
ArcA_LexA	tdcE//rbsC//
ArcA_LldR	ndh//ptsH//galE//
ArcA_NarL	ascB//glcC//nagB//narK//nrdD//ccmD//sodA//gnd//
ArcA_NtrC_PhoP_RutR	galR//nagC//aceA//ilvX//marB//metH//srlA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	cadA//hybO//yjbG//
ArgP_CRP_FNR_Fur_Nac	tyrR//
ArgP_DnaA	rplC//malQ//mdtC//
ArgP_Lrp	relB//melA//
ArgP_LysR	rpsO//
ArgP_PhoB	relA//
ArgR_CRP	csgB//
ArgR_CRP_Fis	uof//mtlR//uxaC//lysP//srlE//nikE//gadE//csrC//
ArgR_Fis_IHF_PepA_PurR_RutR	glcG//lpxC//
ArgR_H-NS_NtrC	glpD//ydeO//bglB//rplT//
