#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	metE//melB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	yrbL//oppC//narH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ssrS//hyaF//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rbsA//tam//
AcrR_FNR_Fur_SoxR	rseA//
AcrR_FNR_Fur_SoxR_SoxS	paaE//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	sgbU//
Ada_AidB_Lrp	hydN//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	csgG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	cysI//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	pspA//hypB//nfsB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ascB//nfsB//
AdiY_H-NS_IHF	cysJ//
AgaR_CRP	idnR//iraM//metH//cadC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	emrK//accB//fimD//fimC//malG//gspD//
AppY_ArcA_YdeO	ileT//aceA//nuoN//metH//
AraC_CRP	modB//galS//rbsR//napB//tpx//trg//rbsD//nanC//glpQ//
AraC_CRP_XylR	aldB//araA//acnB//
AraC_NagC	ssrS//gloA//
ArcA_BetI_Cra	inaA//acnB//acrF//rutB//
ArcA_CRP_CaiF_FNR_H-NS	lsrR//adiC//appX//ptsH//sgrS//rplB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	deoD//rpsQ//acrF//sbmC//fucU//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	aidB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fliZ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	osmY//hycA//
ArcA_CRP_Cra_Fis	zinT//
ArcA_CRP_Cra_IHF_IclR	hdeA//cyoA//rseB//
ArcA_CRP_DcuR	lyxK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	mdtC//srlA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fabB//
ArcA_CRP_DnaA_FNR	deoA//
ArcA_CRP_DpiA_FNR_NarL	oppC//csrC//narK//glnP//pstB//yoaG//
ArcA_CRP_DpiA_FlhDC	nrfG//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	cysM//stpA//
ArcA_CRP_FNR	rrsB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yaiA//galM//yhjA//
ArcA_CRP_FNR_Fis_Fur_PdhR	hybB//
ArcA_CRP_FNR_Fis_IHF_NarL	tyrP//
ArcA_CRP_FNR_Fur	mioC//feoB//gltB//tnaA//
ArcA_CRP_FNR_Fur_IHF	guaA//hyfG//pgaA//ygbA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	oppF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	treC//
ArcA_CRP_FNR_IHF_NarL	moaA//
ArcA_CRP_FNR_NarL	betA//
ArcA_CRP_FadR	ccmE//dcuB//
ArcA_CRP_FadR_HipB	purD//
ArcA_CRP_FadR_OmpR_PhoP	mhpE//
ArcA_CRP_Fis_Mlc_SoxS	psiE//
ArcA_CRP_Fis_XylR	srlR//
ArcA_CRP_Fur_GadX_MqsA	acs//
ArcA_CRP_GatR	sucB//gspO//rpoS//dcuC//hybD//cspD//
ArcA_CRP_GlpR	cyaR//
ArcA_CRP_IHF	entA//
ArcA_CRP_PuuR	gcvT//puuA//aldA//cysH//proW//
ArcA_CRP_RhaS	hyfH//
ArcA_CRP_TreR	ulaF//rplW//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	galK//citC//
ArcA_Cra	cspA//
ArcA_Cra_FNR_H-NS_HypT	rbsC//rcnA//
ArcA_CysB_FNR	hycD//
ArcA_FNR	ackA//gntU//galM//glgA//fadI//ackA//rrsC//slp//rrlA//crp//agaV//asr//nanS//deoB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nuoI//
ArcA_FNR_Fis_IHF_NarL	proP//caiB//agaA//nupG//hipA//marB//evgA//mazG//ydeP//qseB//cysH//nuoB//argO//
ArcA_FNR_Fur_IHF	malT//
ArcA_FNR_IHF	glyA//ugpA//cyoD//
ArcA_FNR_IHF_NarL	feoC//ccmG//
ArcA_FNR_NarL	metL//fnr//pncB//gspI//
ArcA_FNR_PhoP	nikC//
ArcA_FNR_PuuR	lsrF//yqjI//
ArcA_FadR	rrlA//acrE//rpsI//
ArcA_FadR_Fis	uxaA//ccmG//
ArcA_Fur_Lrp_ModE	mglC//nirB//ygeA//nanS//yafQ//
ArcA_GlcC_IHF_PdhR	nanE//lpxD//citC//citG//zraS//idnK//
ArcA_LexA	argP//yhjA//
ArcA_LldR	xylA//caiD//melB//
ArcA_NarL	sufB//yhiM//sgrT//hyfB//fumC//fimC//tcyJ//gatY//
ArcA_NtrC_PhoP_RutR	rrlD//lsrA//rrfB//fiu//ydhV//hypF//gltF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rrsA//glcA//lpxC//
ArgP_CRP_FNR_Fur_Nac	betI//
ArgP_DnaA	hydN//gatD//metL//
ArgP_Lrp	sucA//manZ//
ArgP_LysR	ahpC//
ArgP_PhoB	amtB//
ArgR_CRP	paaA//
ArgR_CRP_Fis	puuP//bglB//glcE//glyA//tnaB//rplM//napG//hdeB//
ArgR_Fis_IHF_PepA_PurR_RutR	ynfH//hyfC//
ArgR_H-NS_NtrC	gatC//ygbA//zwf//nuoL//
ArgR_NtrC	idnO//fhuF//rpsO//ydhV//cusR//
ArgR_PhoP	uxaA//
AscG_CRP	glcD//entH//fabZ//
AscG_CRP_PhoB_PrpR	glpA//
AsnC_MraZ_Nac	yaiA//
AsnC_Nac	pspE//yiaJ//
AtoC_IHF	fumB//glcA//glcC//ygiB//
BaeR_CpxR	paaD//nfsA//lpxC//caiE//ccmH//carB//hipB//
BaeR_CpxR_EvgA	betB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	flhC//ccmF//gutQ//lsrR//
BasR_CpxR_PdhR	yiaN//prfA//
BasR_Fis	norR//
BasR_H-NS_IHF_NagC_NanR	aroA//
BasR_MarA_PutA	gatA//
BasR_PhoP	fliI//
BasR_QseB	malY//chiP//
CRP_CaiF_FNR	focA//astA//hyfB//rpoH//
CRP_ChbR_NagC	ygeA//glnG//fumB//purD//cirA//xylG//
CRP_ComR	lyxK//
CRP_CpxR	lldR//
CRP_CpxR_CytR	rutC//
CRP_CpxR_CytR_DnaA_IHF	relE//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ulaF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	tauA//sufD//casC//mglB//
CRP_Cra	hybB//lpxD//mntP//rtcA//moeB//argD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	tnaC//aldA//pqiA//dcuA//
