#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hisJ//fucR//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ydeO//xylG//paaH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	murP//fis//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	yefM//glcA//
AcrR_FNR_Fur_SoxR	yjjQ//
AcrR_FNR_Fur_SoxR_SoxS	marA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nupG//
Ada_AidB_Lrp	ycdZ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	murE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rpsC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	sufA//murF//caiT//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ccmE//rrfB//
AdiY_H-NS_IHF	nagB//
AgaR_CRP	relE//proX//oppA//flhC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	trg//treB//katE//rbsA//fis//tnaB//
AppY_ArcA_YdeO	yaiA//hisQ//hcp//fecB//
AraC_CRP	pheM//yiaK//nac//rrsC//rhaT//norV//araH//ssb//hlyE//
AraC_CRP_XylR	metL//agaV//lsrA//
AraC_NagC	sdhA//norV//
ArcA_BetI_Cra	fabZ//mpl//cydD//katG//
ArcA_CRP_CaiF_FNR_H-NS	sgrS//csgB//rplP//astC//gabT//grcA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	tolC//puuE//mdtD//ddlB//fimF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lacY//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	zraR//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hycI//folA//
ArcA_CRP_Cra_Fis	hybF//
ArcA_CRP_Cra_IHF_IclR	ynfE//ydeM//ftsA//
ArcA_CRP_DcuR	ugpQ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	yjbG//aspA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glnL//
ArcA_CRP_DnaA_FNR	asr//
ArcA_CRP_DpiA_FNR_NarL	argP//argG//rcsA//lysA//cusS//fucR//
ArcA_CRP_DpiA_FlhDC	ycdZ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	gloA//rtcA//
ArcA_CRP_FNR	yjjQ//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	dcuC//ilvD//torC//
ArcA_CRP_FNR_Fis_Fur_PdhR	gltD//
ArcA_CRP_FNR_Fis_IHF_NarL	cysU//
ArcA_CRP_FNR_Fur	higB//ftsW//purN//chbG//
ArcA_CRP_FNR_Fur_IHF	rpoE//evgS//tsx//uidA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	galS//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cysM//
ArcA_CRP_FNR_IHF_NarL	aslB//
ArcA_CRP_FNR_NarL	uxaA//
ArcA_CRP_FadR	hybB//ssuC//
ArcA_CRP_FadR_HipB	rrlD//
ArcA_CRP_FadR_OmpR_PhoP	proX//
ArcA_CRP_Fis_Mlc_SoxS	prpC//
ArcA_CRP_Fis_XylR	xylG//
ArcA_CRP_Fur_GadX_MqsA	tauA//
