#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pgaD//yiaN//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	fadA//flhD//uxuA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ackA//sdhB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	paaD//oppA//
AcrR_FNR_Fur_SoxR	dcuC//
AcrR_FNR_Fur_SoxR_SoxS	hdeB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	aldB//
Ada_AidB_Lrp	gutQ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ascB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	fabA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ptsG//gspC//malP//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ssuE//sgbE//
AdiY_H-NS_IHF	glpA//
AgaR_CRP	glcC//galP//rbsB//sra//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	araA//csiD//dmsD//galK//nrdE//entD//
AppY_ArcA_YdeO	yedX//glpB//hypE//ptsH//
AraC_CRP	cdd//ynfK//ptsI//nagB//yciE//mtlA//pstS//cyoA//astD//
AraC_CRP_XylR	hdeD//nemA//melR//
AraC_NagC	chbG//sgrS//
ArcA_BetI_Cra	napH//lrp//acrA//nfuA//
ArcA_CRP_CaiF_FNR_H-NS	gspI//sgrS//tdcG//ybdZ//rbsD//chbR//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	malF//acrE//ilvL//xylA//nfsA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ackA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gatD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	glpA//astE//
ArcA_CRP_Cra_Fis	napH//
ArcA_CRP_Cra_IHF_IclR	waaH//hyaC//glpT//
ArcA_CRP_DcuR	nuoG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	lpd//pgaB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rseC//
ArcA_CRP_DnaA_FNR	norV//
ArcA_CRP_DpiA_FNR_NarL	sdhC//mdtE//malE//glpK//glgP//oppA//
ArcA_CRP_DpiA_FlhDC	exuT//
