#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nrfB//hycD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ebgA//hycG//galT//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	hybF//pyrC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	citF//uvrA//
AcrR_FNR_Fur_SoxR	dcuR//
AcrR_FNR_Fur_SoxR_SoxS	galE//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ydeO//
Ada_AidB_Lrp	gntU//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	qseB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	bamE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	prpR//metL//gspC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ileU//sra//
AdiY_H-NS_IHF	glcA//
AgaR_CRP	nuoE//tomB//chbR//lsrR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	gabT//chbB//dusB//gltU//metL//prmC//
AppY_ArcA_YdeO	fimE//torC//fixX//hyaE//
AraC_CRP	aceF//cysP//glnG//uof//purA//hns//ansB//citX//fimH//
AraC_CRP_XylR	lpxA//truB//ftnA//
AraC_NagC	cbl//cysA//
ArcA_BetI_Cra	hyfB//fecD//galE//xylG//
ArcA_CRP_CaiF_FNR_H-NS	prmC//glcD//fadE//pgaD//ulaG//folA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	tauC//yjiY//idnR//yjbG//ssuD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dsdX//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hypF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	qseC//astD//
ArcA_CRP_Cra_Fis	rplW//
ArcA_CRP_Cra_IHF_IclR	mtlD//mazF//glcG//
ArcA_CRP_DcuR	rseC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	metH//gadE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	cyaR//
ArcA_CRP_DnaA_FNR	mioC//
ArcA_CRP_DpiA_FNR_NarL	proW//rplW//ugpA//ptsI//mglC//ynfF//
ArcA_CRP_DpiA_FlhDC	nikB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ydhT//prpD//
ArcA_CRP_FNR	hycH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mtlA//astD//rrlB//
ArcA_CRP_FNR_Fis_Fur_PdhR	dpiB//
ArcA_CRP_FNR_Fis_IHF_NarL	rbsR//
