#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ccmA//aroP//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ebgA//aspC//ahpF//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	alaT//cysM//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	prpD//hyfB//
AcrR_FNR_Fur_SoxR	mglB//
AcrR_FNR_Fur_SoxR_SoxS	sodA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	asr//
Ada_AidB_Lrp	ubiC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	uidB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	nrdB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	hybO//caiD//bolA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	mazE//yjjQ//
AdiY_H-NS_IHF	katG//
AgaR_CRP	glgP//entH//murQ//sufA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	serA//hyaE//nikA//ompF//moeA//metE//
AppY_ArcA_YdeO	nrdA//sgrT//ptsI//phoU//
AraC_CRP	fucK//trg//nirD//paaE//tauA//moaA//galR//baeS//galR//
AraC_CRP_XylR	nrdE//entA//rrsG//
AraC_NagC	ydhT//yiaO//
ArcA_BetI_Cra	cyoC//gadW//uxuA//rrsE//
ArcA_CRP_CaiF_FNR_H-NS	napH//sdhB//hycD//narK//nuoN//yafQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gatA//gntT//sdhB//nanT//hipA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	murE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	dinI//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ilvM//fucK//
ArcA_CRP_Cra_Fis	tam//
ArcA_CRP_Cra_IHF_IclR	chbG//sgbH//purM//
ArcA_CRP_DcuR	malM//
ArcA_CRP_DcuR_DpiA_FNR_NarL	ygiC//fecE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	puuP//
ArcA_CRP_DnaA_FNR	dcuD//
ArcA_CRP_DpiA_FNR_NarL	napD//pgk//bolA//fadA//dusB//astE//
ArcA_CRP_DpiA_FlhDC	acrD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ulaE//tdcG//
ArcA_CRP_FNR	cyoB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rbsC//nrdB//gyrA//
ArcA_CRP_FNR_Fis_Fur_PdhR	leuO//
ArcA_CRP_FNR_Fis_IHF_NarL	gdhA//
ArcA_CRP_FNR_Fur	rbfA//betT//aspA//sucC//
ArcA_CRP_FNR_Fur_IHF	rutA//oppA//waaY//cas2//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ccmF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	psiE//
ArcA_CRP_FNR_IHF_NarL	agaV//
ArcA_CRP_FNR_NarL	cysH//
ArcA_CRP_FadR	ulaE//stpA//
ArcA_CRP_FadR_HipB	nikC//
ArcA_CRP_FadR_OmpR_PhoP	hlyE//
ArcA_CRP_Fis_Mlc_SoxS	appC//
ArcA_CRP_Fis_XylR	actP//
ArcA_CRP_Fur_GadX_MqsA	dctA//
ArcA_CRP_GatR	casD//rpsC//lrp//tam//ssuC//hybF//
ArcA_CRP_GlpR	pspD//
ArcA_CRP_IHF	malK//
ArcA_CRP_PuuR	uidB//gltD//skp//nuoB//fliE//
ArcA_CRP_RhaS	acrA//
ArcA_CRP_TreR	fimC//murE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	acrF//fhuF//
ArcA_Cra	lsrC//
ArcA_Cra_FNR_H-NS_HypT	ssb//metN//
ArcA_CysB_FNR	napG//
ArcA_FNR	ccmB//garR//ulaG//ubiA//gltF//cyoA//fucP//rplV//mhpA//rutG//rpsI//dcuC//pqiB//entA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fimI//
ArcA_FNR_Fis_IHF_NarL	mhpF//ilvD//tpx//yqjI//galP//qseC//melB//gntX//malP//csgC//fliJ//pdhR//rcsA//
ArcA_FNR_Fur_IHF	murE//
ArcA_FNR_IHF	fucU//gloA//fecA//
ArcA_FNR_IHF_NarL	csgG//lsrF//
ArcA_FNR_NarL	sucD//narI//xylB//fecE//
ArcA_FNR_PhoP	evgA//
ArcA_FNR_PuuR	fepA//caiT//
ArcA_FadR	hisQ//ybdZ//gltD//
ArcA_FadR_Fis	dpiA//paaC//
ArcA_Fur_Lrp_ModE	caiD//paaZ//lldR//galE//rrsC//
ArcA_GlcC_IHF_PdhR	gntP//bhsA//nfo//metI//prmC//frdD//
ArcA_LexA	hypE//appB//
ArcA_LldR	tyrP//emrK//alaT//
ArcA_NarL	malT//rrsE//udp//tdcE//metI//fes//napG//proW//
ArcA_NtrC_PhoP_RutR	uxuB//dpiA//gltV//cysG//glgP//citE//fucA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	tnaB//pstS//gcvP//
ArgP_CRP_FNR_Fur_Nac	lacY//
ArgP_DnaA	frdA//yjcH//mntP//
ArgP_Lrp	fes//cydA//
ArgP_LysR	fliC//
ArgP_PhoB	malI//
ArgR_CRP	alaT//
ArgR_CRP_Fis	cusB//deoA//nrfE//lsrG//citC//trg//sucB//rrfB//
ArgR_Fis_IHF_PepA_PurR_RutR	dppD//sroD//
ArgR_H-NS_NtrC	gspL//glpB//nrfA//fis//
ArgR_NtrC	dcuS//rpsQ//lldD//lpxA//dcuB//
ArgR_PhoP	folA//
AscG_CRP	baeR//phoQ//hypB//
AscG_CRP_PhoB_PrpR	xylH//
AsnC_MraZ_Nac	nupG//
AsnC_Nac	pyrC//pdeR//
AtoC_IHF	hupB//norW//rrfG//pflB//
BaeR_CpxR	araC//gltT//glpC//tauB//sdhB//moaA//ileU//
BaeR_CpxR_EvgA	purD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ulaE//gdhA//puuR//ileU//
BasR_CpxR_PdhR	nrdF//nfsB//
BasR_Fis	metN//
BasR_H-NS_IHF_NagC_NanR	rimP//
BasR_MarA_PutA	dmsA//
BasR_PhoP	focA//
BasR_QseB	dsdX//gnd//
CRP_CaiF_FNR	xylA//ygiC//narJ//evgA//
CRP_ChbR_NagC	paaB//manX//araD//malY//emrY//ptsH//
CRP_ComR	fadJ//
CRP_CpxR	micF//
CRP_CpxR_CytR	gadW//
CRP_CpxR_CytR_DnaA_IHF	nrdH//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nrdA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	ccmH//csgG//hycG//narX//
CRP_Cra	flgM//hybC//gspJ//rpoE//aroL//nuoI//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	entA//uxuA//ssrS//glnQ//
CRP_Cra_FNR_PdhR	idnR//
CRP_Cra_Fis	ppiA//
CRP_Cra_Fis_GlcC	guaB//
CRP_Cra_Fis_MtlR	moaA//gcvP//narI//
CRP_Cra_Mlc_NagC	tdcE//ynfK//acs//fnr//modC//treC//
CRP_Cra_PrpR	asnC//fdnG//cysW//cusR//
CRP_CreB_Fis_MalT	aceA//mglB//glnA//
CRP_CsiR_H-NS_Lrp	atoD//hcp//
CRP_CsiR_H-NS_Lrp_Nac	lrp//ydeO//nuoE//
CRP_CspA_Fis	rrfB//
CRP_CytR	ynfH//purH//malE//
CRP_CytR_DeoR	rrfC//spy//
CRP_CytR_DeoR_Fis_ModE	gadX//ugpC//rcnA//hupA//
CRP_CytR_Nac	pdeL//
CRP_CytR_NsrR	nrfA//
CRP_DcuR_FNR_NarL	rrlB//
CRP_DinJ-YafQ	sroD//
CRP_DnaA_Fis_PurR	asnC//adiA//
CRP_DpiA_ExuR	hipA//
CRP_DsdC	cusF//dctR//
CRP_EbgR	pstB//rrlE//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glnP//appX//
CRP_ExuR	ascF//
CRP_ExuR_FNR	rutD//purH//
CRP_ExuR_OxyR_UxuR	atoA//gltD//
CRP_ExuR_UxuR	hyaE//
CRP_FNR	fecC//
CRP_FNR_FhlA_HyfR	aceB//adhE//cydA//fixX//gabP//ileT//tdcA//uidB//yoaG//ynfK//ompR//pspA//
CRP_FNR_Fis	dppA//prpD//dcuB//
CRP_FNR_Fis_GlpR_IHF	icd//uxuA//
CRP_FNR_Fis_H-NS_SlyA	hypE//
CRP_FNR_GcvA_Lrp_PurR	ilvH//mdtF//melA//
CRP_FNR_H-NS_NarL	ahpC//
CRP_FNR_IHF_TdcA_TdcR	fdhF//torD//metQ//ydhT//yhjA//nrdA//yhiD//
CRP_FNR_NarL	oppB//argO//narG//
CRP_FeaR_NsrR	cusC//
CRP_Fis	nuoE//hypD//yjbH//ybdN//puuR//
CRP_Fis_FlhDC_GalR_GalS	feoC//ydeM//
CRP_Fis_FliZ_IHF_Lrp	fadH//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	ybdN//rbsD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	citE//gcvT//tnaB//
CRP_Fis_IHF	chbR//rrfE//mhpC//fimD//manZ//
CRP_Fis_NanR	prpD//ilvI//rrlA//yhiM//gnd//
CRP_Fis_NtrC	pnp//csgE//caiB//
CRP_Fis_XylR	rimP//ydhW//rcnB//
CRP_FlhDC_GalR_GalS	tauA//
CRP_FucR	gspF//dsdA//narI//ppiA//hdeB//hyaD//focB//
CRP_Fur	oppF//yjbH//pck//adhE//narL//hokD//fepA//edd//tolC//
CRP_Fur_HypT_PdhR	fau//asr//fimC//gntX//rrsC//
CRP_Fur_OxyR_SoxS	fadH//
CRP_GalR_GalS	hyaD//
CRP_GalR_GalS_H-NS_HU	uxuA//cyoC//ynfF//pgk//
CRP_GalR_GalS_NagC	ileT//
CRP_GlpR	osmY//carA//rpsJ//
CRP_GntR	mhpB//garR//
CRP_GntR_IdnR	araF//mglA//ftsL//rpsO//rrsC//ubiA//galR//
