#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	argG//citX//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	dcuS//lpxC//rpsC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	hemA//ileV//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rrfF//rutD//
AcrR_FNR_Fur_SoxR	fecA//
AcrR_FNR_Fur_SoxR_SoxS	leuO//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	srlR//
Ada_AidB_Lrp	emrK//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ygbA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	mhpF//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	hyaF//dadA//zinT//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nuoH//ilvA//
AdiY_H-NS_IHF	deoC//
AgaR_CRP	cusS//metB//hyaE//atoD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	frdD//folA//sufS//idnD//nrdE//fabB//
AppY_ArcA_YdeO	cysJ//ybjN//acrZ//creD//
AraC_CRP	modC//gspD//rrsC//glnG//acs//dcuR//ptsG//nrdH//idnO//
AraC_CRP_XylR	setA//appC//rrfH//
AraC_NagC	ptsH//astE//
ArcA_BetI_Cra	tnaC//cusS//rrsE//cirA//
ArcA_CRP_CaiF_FNR_H-NS	malX//rrsC//rrfE//lpd//citD//nuoI//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mdtF//glnG//gnd//mglB//yciE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dpiB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fabZ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	casB//malE//
ArcA_CRP_Cra_Fis	inaA//
ArcA_CRP_Cra_IHF_IclR	ftsW//moaE//ptsG//
ArcA_CRP_DcuR	napH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	aroM//caiF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gltU//
ArcA_CRP_DnaA_FNR	accC//
ArcA_CRP_DpiA_FNR_NarL	gspL//csgG//rplP//ydeO//cyaR//rrlB//
ArcA_CRP_DpiA_FlhDC	glnQ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	rrfE//rrsE//
ArcA_CRP_FNR	sufD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	araB//pgaA//gadC//
ArcA_CRP_FNR_Fis_Fur_PdhR	hyaA//
ArcA_CRP_FNR_Fis_IHF_NarL	hns//
ArcA_CRP_FNR_Fur	cyoD//fdnI//prmC//casD//
ArcA_CRP_FNR_Fur_IHF	osmC//cysJ//idnO//ssuD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dinI//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cspI//
ArcA_CRP_FNR_IHF_NarL	lysA//
