#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pgaC//emrK//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ydeM//yhiM//rpsQ//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	crr//melA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	sgbE//alaT//
AcrR_FNR_Fur_SoxR	glpD//
AcrR_FNR_Fur_SoxR_SoxS	mazG//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	mazG//
Ada_AidB_Lrp	rpsO//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gutQ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rrsH//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	cusS//glpT//ybjC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	uxuB//ydhT//
AdiY_H-NS_IHF	ulaC//
AgaR_CRP	rhaB//paaZ//cyaR//dppF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	paaE//glpT//hybB//hyaA//yqjI//tsx//
AppY_ArcA_YdeO	bamE//lysP//rrfH//feoA//
AraC_CRP	hdeA//manX//hisJ//prfA//moeB//gdhA//marR//entB//yiaN//
AraC_CRP_XylR	yiaO//mazF//fdnG//
AraC_NagC	ynfG//fucR//
ArcA_BetI_Cra	fdnI//fucU//adiC//hycB//
ArcA_CRP_CaiF_FNR_H-NS	metK//cusB//melR//yefM//setA//uof//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	sucD//rbsC//mioC//hemL//fucA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	aceK//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ulaF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	spy//dadA//
ArcA_CRP_Cra_Fis	dcuD//
ArcA_CRP_Cra_IHF_IclR	pqiA//rcsA//ptsG//
ArcA_CRP_DcuR	gspD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	safA//nrfE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gspJ//
ArcA_CRP_DnaA_FNR	glcF//
ArcA_CRP_DpiA_FNR_NarL	ompW//fur//glgA//caiA//appB//gatD//
ArcA_CRP_DpiA_FlhDC	appB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	aceA//cysJ//
ArcA_CRP_FNR	glpQ//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	caiE//tolC//nac//
ArcA_CRP_FNR_Fis_Fur_PdhR	mdtF//
ArcA_CRP_FNR_Fis_IHF_NarL	ydhX//
ArcA_CRP_FNR_Fur	ybdZ//gltV//rplB//mglA//
ArcA_CRP_FNR_Fur_IHF	gatA//rrlD//manY//fimA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	cysJ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	xylH//
ArcA_CRP_FNR_IHF_NarL	sulA//
ArcA_CRP_FNR_NarL	fdnG//
ArcA_CRP_FadR	hycF//rrsH//
ArcA_CRP_FadR_HipB	hyfI//
ArcA_CRP_FadR_OmpR_PhoP	sgbE//
ArcA_CRP_Fis_Mlc_SoxS	nrdF//
ArcA_CRP_Fis_XylR	cysP//
ArcA_CRP_Fur_GadX_MqsA	fadD//
ArcA_CRP_GatR	fecD//acrF//ccmG//rrfH//rbsD//alaV//
ArcA_CRP_GlpR	pgaB//
ArcA_CRP_IHF	fiu//
ArcA_CRP_PuuR	sgbE//napB//ilvH//ssuA//rplC//
ArcA_CRP_RhaS	ftsZ//
ArcA_CRP_TreR	nuoK//lsrG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	dcuA//dsdA//
ArcA_Cra	srlA//
ArcA_Cra_FNR_H-NS_HypT	uxaB//ackA//
ArcA_CysB_FNR	ascB//
ArcA_FNR	csgE//mtr//ygbA//rplT//pstC//accC//ansB//gabT//nuoM//fliI//idnT//fucA//metK//xylR//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	malX//
ArcA_FNR_Fis_IHF_NarL	hyaB//mglA//lpxD//nhaR//hyfR//glyA//folA//gltW//prpC//hns//fabA//asnC//cbl//
ArcA_FNR_Fur_IHF	xylA//
ArcA_FNR_IHF	higB//ugpQ//feoA//
ArcA_FNR_IHF_NarL	hyaB//alaV//
ArcA_FNR_NarL	nfo//chbB//pck//lsrD//
ArcA_FNR_PhoP	hypB//
ArcA_FNR_PuuR	fixX//puuE//
ArcA_FadR	infB//hyfG//glnK//
ArcA_FadR_Fis	napC//mtlD//
ArcA_Fur_Lrp_ModE	fabB//napA//rplP//oppD//entB//
ArcA_GlcC_IHF_PdhR	aer//rpoE//lacA//dsdC//fpr//citX//
ArcA_LexA	yciG//paaD//
ArcA_LldR	nuoM//metL//moaC//
ArcA_NarL	murF//manX//entE//yaiA//gutM//atoA//cysI//fimF//
ArcA_NtrC_PhoP_RutR	paaC//hyfD//ccmE//yefM//waaY//chbF//bglF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	iclR//hyfI//garL//
ArgP_CRP_FNR_Fur_Nac	murF//
ArgP_DnaA	ydhY//hycC//mioC//
ArgP_Lrp	pdeR//guaA//
ArgP_LysR	glnK//
ArgP_PhoB	pyrC//
ArgR_CRP	higB//
ArgR_CRP_Fis	lacA//fiu//mhpF//baeS//prpR//mtr//narI//rbsB//
ArgR_Fis_IHF_PepA_PurR_RutR	dcuD//paaF//
ArgR_H-NS_NtrC	fliA//relE//casB//xylF//
ArgR_NtrC	ssuD//glcG//hycI//icd//fucA//
ArgR_PhoP	higA//
AscG_CRP	proX//hybE//putA//
AscG_CRP_PhoB_PrpR	ydeO//
AsnC_MraZ_Nac	ileT//
AsnC_Nac	melB//feoC//
AtoC_IHF	appC//glpB//cysB//rrfD//
BaeR_CpxR	gspC//paaH//gspD//hha//ycdZ//nuoH//rutC//
BaeR_CpxR_EvgA	cyaR//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	envZ//glpK//lacA//glpA//
BasR_CpxR_PdhR	dcuA//gltU//
BasR_Fis	sufD//
BasR_H-NS_IHF_NagC_NanR	moaE//
BasR_MarA_PutA	pheM//
BasR_PhoP	mtlA//
BasR_QseB	gspC//cusB//
CRP_CaiF_FNR	rutE//cysM//ynfH//hemL//
CRP_ChbR_NagC	pdeL//rbsR//fliE//norR//rplC//caiE//
CRP_ComR	appY//
CRP_CpxR	paaF//
CRP_CpxR_CytR	sdhA//
CRP_CpxR_CytR_DnaA_IHF	yciE//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	uxaB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	srlB//fdhF//caiE//napH//
CRP_Cra	alaU//cysM//araC//hyaF//nuoN//ydhX//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	katG//hmp//fucK//citC//
CRP_Cra_FNR_PdhR	acrB//
CRP_Cra_Fis	tauA//
CRP_Cra_Fis_GlcC	acrE//
CRP_Cra_Fis_MtlR	adhE//hybG//galM//
CRP_Cra_Mlc_NagC	ilvI//fepB//hybO//rpoH//nuoM//metH//
CRP_Cra_PrpR	lrp//proP//rrfC//nrfC//
CRP_CreB_Fis_MalT	acs//molR_1//ftsA//
CRP_CsiR_H-NS_Lrp	araA//fucU//
CRP_CsiR_H-NS_Lrp_Nac	tdcG//uhpT//treB//
CRP_CspA_Fis	pstC//
CRP_CytR	entC//rrlB//cusR//
CRP_CytR_DeoR	hypF//rsmH//
CRP_CytR_DeoR_Fis_ModE	uxuR//sucC//hpt//qseB//
CRP_CytR_Nac	lldP//
CRP_CytR_NsrR	setA//
CRP_DcuR_FNR_NarL	galS//
CRP_DinJ-YafQ	poxB//
CRP_DnaA_Fis_PurR	rutF//sgbU//
CRP_DpiA_ExuR	icd//
CRP_DsdC	hycH//mdtD//
CRP_EbgR	rpmC//fimB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	folA//narL//
CRP_ExuR	xylG//
CRP_ExuR_FNR	pncB//ssuE//
CRP_ExuR_OxyR_UxuR	nemR//dppB//
CRP_ExuR_UxuR	ilvL//
CRP_FNR	ytfE//
CRP_FNR_FhlA_HyfR	fiu//mlc//ihfA//gutM//ccmB//glmY//puuC//leuO//gltA//nrfB//gabD//ptsG//
CRP_FNR_Fis	malK//mdtE//csgA//
CRP_FNR_Fis_GlpR_IHF	ftsW//moaB//
CRP_FNR_Fis_H-NS_SlyA	gspJ//
CRP_FNR_GcvA_Lrp_PurR	xylF//cytR//nuoK//
CRP_FNR_H-NS_NarL	sucC//
CRP_FNR_IHF_TdcA_TdcR	rutA//dctR//dcuA//glyA//asr//ydeN//tolC//
CRP_FNR_NarL	nrdE//rnpB//zwf//
CRP_FeaR_NsrR	csgC//
