#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hyaB//sucB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	mdtD//napA//nuoN//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	nfuA//cydC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nrfA//tolC//
AcrR_FNR_Fur_SoxR	mdh//
AcrR_FNR_Fur_SoxR_SoxS	aslB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	gutM//
Ada_AidB_Lrp	idnK//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hisP//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ihfA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	metH//zraR//sgbH//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rrlC//ihfA//
AdiY_H-NS_IHF	osmE//
AgaR_CRP	cspE//gloA//sodB//ptsI//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	dgcZ//metE//rhaB//poxB//malY//dnaN//
AppY_ArcA_YdeO	murQ//galP//hupA//ftsI//
AraC_CRP	dmsA//puuC//lldP//uvrA//oppC//ilvX//gatB//ilvM//nuoH//
AraC_CRP_XylR	ileV//garP//acrA//
AraC_NagC	carA//acrB//
ArcA_BetI_Cra	gspI//gspM//narG//alaV//
ArcA_CRP_CaiF_FNR_H-NS	xylG//entF//katE//nanC//rpsO//fimB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	safA//csgA//fimD//nuoM//csgF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glpB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	araC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	moaB//hycH//
ArcA_CRP_Cra_Fis	ynfK//
ArcA_CRP_Cra_IHF_IclR	nikE//tauA//rbfA//
ArcA_CRP_DcuR	hypD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fimI//paaB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hokD//
ArcA_CRP_DnaA_FNR	hypA//
ArcA_CRP_DpiA_FNR_NarL	katE//uxaC//pspG//thrV//hybC//kbaZ//
ArcA_CRP_DpiA_FlhDC	nikE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	cusR//citD//
ArcA_CRP_FNR	ydhT//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sucC//mhpF//csgG//
ArcA_CRP_FNR_Fis_Fur_PdhR	dinJ//
ArcA_CRP_FNR_Fis_IHF_NarL	trg//
ArcA_CRP_FNR_Fur	argD//acnB//rpoH//lldR//
ArcA_CRP_FNR_Fur_IHF	nuoE//fhlA//ugpC//mraZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dinJ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	sgbU//
ArcA_CRP_FNR_IHF_NarL	tyrP//
ArcA_CRP_FNR_NarL	rpoE//
ArcA_CRP_FadR	gcvH//yaiA//
ArcA_CRP_FadR_HipB	garP//
ArcA_CRP_FadR_OmpR_PhoP	nuoB//
ArcA_CRP_Fis_Mlc_SoxS	yhiM//
ArcA_CRP_Fis_XylR	norV//
ArcA_CRP_Fur_GadX_MqsA	sufE//
ArcA_CRP_GatR	malT//dnaA//rrsG//codA//hyfD//tauC//
ArcA_CRP_GlpR	gadC//
ArcA_CRP_IHF	ydeN//
ArcA_CRP_PuuR	fucR//ybiT//hyfE//uxaC//pflB//
ArcA_CRP_RhaS	marR//
ArcA_CRP_TreR	fucA//proP//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	mlc//tnaA//
ArcA_Cra	gdhA//
ArcA_Cra_FNR_H-NS_HypT	glmY//sodA//
ArcA_CysB_FNR	ilvE//
