#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	uspA//fucP//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	lysP//osmY//entH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	gabD//purA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hybO//iclR//
AcrR_FNR_Fur_SoxR	metR//
AcrR_FNR_Fur_SoxR_SoxS	proV//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nuoH//
Ada_AidB_Lrp	cas1//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	safA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	napA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	argG//rhaR//sra//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fiu//fbaA//
AdiY_H-NS_IHF	dps//
AgaR_CRP	dinJ//acrF//nrfE//gdhA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	hdeB//entF//rrfB//hns//oppC//zinT//
AppY_ArcA_YdeO	betA//ahpF//cyoD//argD//
AraC_CRP	malS//narJ//yjbF//nuoM//waaZ//rhaD//nagC//galR//xylB//
AraC_CRP_XylR	pstA//truB//waaH//
AraC_NagC	murC//flgM//
ArcA_BetI_Cra	glnA//uidA//moaE//ynfH//
ArcA_CRP_CaiF_FNR_H-NS	rplC//frdB//gntU//treB//hybD//feoA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	frdC//rpsI//yiaJ//gadF//ygiA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glnP//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	xylH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	dppF//rrlE//
ArcA_CRP_Cra_Fis	proV//
ArcA_CRP_Cra_IHF_IclR	gntU//ccmE//thrV//
ArcA_CRP_DcuR	dpiB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	frdC//hcp//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rrfG//
ArcA_CRP_DnaA_FNR	sodB//
ArcA_CRP_DpiA_FNR_NarL	hybB//glnA//rpsJ//uxuA//torD//yjcH//
ArcA_CRP_DpiA_FlhDC	glnL//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ilvG_1//zinT//
ArcA_CRP_FNR	dctA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	entF//pck//fabZ//
ArcA_CRP_FNR_Fis_Fur_PdhR	yciG//
ArcA_CRP_FNR_Fis_IHF_NarL	thrV//
ArcA_CRP_FNR_Fur	uxuB//mazE//rbsC//amtB//
ArcA_CRP_FNR_Fur_IHF	ompC//acs//mtlD//spy//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dusB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fadD//
ArcA_CRP_FNR_IHF_NarL	ulaE//
ArcA_CRP_FNR_NarL	yeaR//
ArcA_CRP_FadR	dcuS//napA//
ArcA_CRP_FadR_HipB	cyoD//
ArcA_CRP_FadR_OmpR_PhoP	hyaA//
ArcA_CRP_Fis_Mlc_SoxS	ddlB//
ArcA_CRP_Fis_XylR	accB//
ArcA_CRP_Fur_GadX_MqsA	modB//
ArcA_CRP_GatR	katG//rplW//cspE//puuC//rrlD//nrfF//
ArcA_CRP_GlpR	narX//
ArcA_CRP_IHF	glnK//
ArcA_CRP_PuuR	rrsC//gatA//acrF//cyoE//proV//
ArcA_CRP_RhaS	yedX//
ArcA_CRP_TreR	ccmB//yaiA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cas2//soxS//
ArcA_Cra	pspA//
ArcA_Cra_FNR_H-NS_HypT	ompW//lsrB//
ArcA_CysB_FNR	murD//
ArcA_FNR	hyfC//malQ//yiaJ//mtlA//malM//glgA//sufS//modA//glmY//csgE//gspK//molR_1//citF//mpl//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fimB//
ArcA_FNR_Fis_IHF_NarL	rtcA//nuoJ//evgA//gspO//hdeA//ascB//dmsC//nanC//lgoR//murQ//yoaG//rhaD//rrfF//
ArcA_FNR_Fur_IHF	mraY//
ArcA_FNR_IHF	waaH//rhaR//glcE//
ArcA_FNR_IHF_NarL	hypD//ppiA//
ArcA_FNR_NarL	ulaC//agaA//narJ//gspO//
ArcA_FNR_PhoP	ssuB//
ArcA_FNR_PuuR	pgaB//pspE//
ArcA_FadR	pspG//cas2//entA//
ArcA_FadR_Fis	flhC//adiA//
ArcA_Fur_Lrp_ModE	tnaB//betB//nuoF//waaY//flhC//
ArcA_GlcC_IHF_PdhR	paaH//hycD//hybF//aceA//flhC//pstS//
ArcA_LexA	garL//puuD//
ArcA_LldR	tauA//nuoB//torC//
ArcA_NarL	alaV//ulaC//glnA//csgE//narG//rbsC//cydD//poxB//
ArcA_NtrC_PhoP_RutR	caiD//nuoC//sucC//frdC//marA//yafQ//oppB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	yfaE//fliZ//nuoL//
ArgP_CRP_FNR_Fur_Nac	murQ//
ArgP_DnaA	prpD//amtB//lldP//
ArgP_Lrp	araD//ybdZ//
ArgP_LysR	thrV//
ArgP_PhoB	gntX//
ArgR_CRP	metY//
ArgR_CRP_Fis	putP//modB//ydhW//murP//umpH//dcuB//lsrD//ldtB//
ArgR_Fis_IHF_PepA_PurR_RutR	rprA//safA//
ArgR_H-NS_NtrC	gcvT//glcE//rplB//mntP//
ArgR_NtrC	metB//tnaB//yeiL//lpxA//idnR//
ArgR_PhoP	feaR//
AscG_CRP	aspC//dpiA//gadC//
AscG_CRP_PhoB_PrpR	tyrP//
AsnC_MraZ_Nac	nanM//
AsnC_Nac	asr//cadA//
AtoC_IHF	rutD//sgrS//mtr//galT//
BaeR_CpxR	gspC//iclR//dmsB//nikR//rbfA//hemL//sulA//
BaeR_CpxR_EvgA	emrY//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cirA//glcF//fdnG//cas2//
BasR_CpxR_PdhR	cyoB//cydB//
BasR_Fis	puuR//
BasR_H-NS_IHF_NagC_NanR	phoU//
BasR_MarA_PutA	gatZ//
BasR_PhoP	srlE//
BasR_QseB	fecC//gcvH//
CRP_CaiF_FNR	thrV//aroL//fimD//idnR//
CRP_ChbR_NagC	cydA//waaH//iraM//tomB//rbsC//proP//
CRP_ComR	aceA//
CRP_CpxR	narX//
CRP_CpxR_CytR	phoU//
CRP_CpxR_CytR_DnaA_IHF	yrbL//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nirC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	yjbG//norV//nrdF//rplT//
CRP_Cra	exuR//hyfE//uxuA//narK//yqjH//casA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ydhT//ccmD//nfsA//iclR//
CRP_Cra_FNR_PdhR	sodA//
CRP_Cra_Fis	ybdZ//
CRP_Cra_Fis_GlcC	hyaF//
CRP_Cra_Fis_MtlR	cas2//ftsQ//proX//
CRP_Cra_Mlc_NagC	dnaN//gatA//carA//astB//fepA//nikE//
CRP_Cra_PrpR	hyfF//glcF//astE//hybB//
CRP_CreB_Fis_MalT	ssuC//nuoA//xylH//
CRP_CsiR_H-NS_Lrp	fliC//nrfG//
CRP_CsiR_H-NS_Lrp_Nac	flhC//rplD//csiE//
CRP_CspA_Fis	tauA//
CRP_CytR	argO//gatY//grcA//
CRP_CytR_DeoR	fes//fucU//
CRP_CytR_DeoR_Fis_ModE	nhaA//waaY//galR//ompW//
CRP_CytR_Nac	hokD//
CRP_CytR_NsrR	oppF//
CRP_DcuR_FNR_NarL	uxuR//
CRP_DinJ-YafQ	acnA//
CRP_DnaA_Fis_PurR	rutE//rrlE//
CRP_DpiA_ExuR	lsrB//
CRP_DsdC	yafQ//malX//
CRP_EbgR	chbF//narH//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rtcB//rpsS//
CRP_ExuR	csiD//
CRP_ExuR_FNR	fliZ//sroD//
CRP_ExuR_OxyR_UxuR	fimB//nrfD//
CRP_ExuR_UxuR	aslB//
CRP_FNR	gcvH//
CRP_FNR_FhlA_HyfR	ssuA//fdhF//fecC//ydhU//rrlH//molR_1//infB//uhpT//ybdZ//sodB//glcB//argO//
CRP_FNR_Fis	gabT//cydC//garL//
CRP_FNR_Fis_GlpR_IHF	fimE//rhaT//
CRP_FNR_Fis_H-NS_SlyA	ascB//
CRP_FNR_GcvA_Lrp_PurR	srlA//ynfH//ydhY//
CRP_FNR_H-NS_NarL	trg//
CRP_FNR_IHF_TdcA_TdcR	casB//patA//fliK//pck//mntP//rhaB//rplM//
CRP_FNR_NarL	lsrG//entC//nuoG//
CRP_FeaR_NsrR	cusA//
CRP_Fis	nmpC//betI//acnA//cydC//mhpA//
CRP_Fis_FlhDC_GalR_GalS	fumB//rplD//
CRP_Fis_FliZ_IHF_Lrp	rpsJ//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	gabP//hypD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hisP//torC//paaC//
CRP_Fis_IHF	chbR//dmsC//paaA//rplP//ilvG_2//
CRP_Fis_NanR	ascF//proW//malS//ynfE//yiaM//
CRP_Fis_NtrC	malI//carB//yciG//
CRP_Fis_XylR	sgbU//dppA//prpR//
CRP_FlhDC_GalR_GalS	yhiD//
CRP_FucR	rrsE//gspD//sufS//hyfC//gadX//puuD//ahpC//
CRP_Fur	dcuB//uxaC//argP//dpiB//lsrF//gcvT//nuoN//puuP//tauD//
CRP_Fur_HypT_PdhR	csgC//ulaB//astA//purD//deoC//
CRP_Fur_OxyR_SoxS	gcvT//
CRP_GalR_GalS	hisM//
CRP_GalR_GalS_H-NS_HU	fixX//ydeN//nanT//galK//
CRP_GalR_GalS_NagC	csgE//
CRP_GlpR	mdtF//entE//metI//
CRP_GntR	zraS//lrp//
CRP_GntR_IdnR	rtcA//baeS//dmsC//rseB//purD//yhcH//entH//
CRP_GntR_IscR	garP//
CRP_GutM_GutR_H-NS	cyoE//hyaC//ugpQ//chbF//glcG//proP//sbmC//
CRP_H-NS	udp//
CRP_H-NS_HipAB_HipB_NtrC	xylH//
CRP_H-NS_LacI	rhaT//srlD//dcuS//
CRP_H-NS_LeuO	araE//cydC//ugpA//katE//dcuA//hmp//fhlA//
CRP_H-NS_MqsA	deoD//
CRP_IHF	gltB//hdeB//gadE//fpr//
CRP_IHF_MprA_OmpR	citD//
CRP_IHF_NsrR	sodA//
CRP_IHF_PaaX	codA//hupA//gcvT//molR_1//uof//gutQ//dctR//relB//ydeN//glpK//pstB//rbsR//
CRP_IHF_UlaR	atoB//iraM//ilvL//gabT//fadL//adhE//
CRP_IHF_YiaJ	cas1//flgN//purD//acnA//uhpT//ybfN//moaA//gutQ//ydhW//hydN//
CRP_LexA	rbsA//
CRP_Lrp	nirD//acnB//putA//putP//
CRP_Lrp_Mlc	fimG//
CRP_Lrp_Nac	prpB//
CRP_LsrR	yedX//purM//rutA//cysJ//tomB//ftsI//dadX//lamB//gabD//
CRP_MalI	fimG//dcuS//pspC//
CRP_MalT	citX//yiaL//folA//
CRP_MalT_PhoP	guaB//
CRP_MelR	aspC//nuoF//rcnB//
CRP_MetJ	cusC//
CRP_MhpR	appX//manX//gnd//gloA//cydA//rrlH//
CRP_Mlc	tolC//modB//
CRP_ModE	srlR//relA//cas2//
CRP_MurR	dcuB//agaW//
CRP_Nac_NsrR_PhoB	hyfD//
CRP_NadR	ompC//
CRP_NagC	ilvL//carA//adiC//glcF//gltU//hyaF//
CRP_NagC_NanR	ydeM//nrdD//pncB//
CRP_NagC_PhoP	yjbF//
CRP_OxyR	hybC//
CRP_OxyR_UxuR	agaA//
CRP_PhoB	tpx//putP//galE//fadL//ulaF//glcF//
CRP_PhoP	mdh//ilvL//rpoS//
CRP_PutA	nagB//
CRP_RbsR	nrdA//lyxK//narI//nikA//metN//dgcZ//
CRP_RhaR_RhaS	acrF//glmY//
CRP_RhaS	ptsG//lsrR//fliG//
CRP_Rob	ilvA//
CRP_TorR	fimH//lpxD//mraZ//
CRP_UhpA_UvrY	galE//
CRP_UidR_UxuR	manX//mdh//lsrF//
CRP_UvrY	nrdA//
CRP_YehT	fucR//
CRP_ZraR	nanS//waaY//
CadC_FNR_H-NS_LeuO_MlrA	rcnB//
Cbl_CysB	lldD//pspB//glcF//exuT//
Cbl_CysB_FNR_IHF	gadE//fliH//fliE//fadD//nirC//
CdaR_FNR_Fis_Fur_H-NS	yjjQ//
CdaR_FNR_Fur_H-NS	lldR//ydeN//glpA//purN//
CpxR_CsgD_FliZ	nuoM//glpD//frdA//
CpxR_CysB	hypB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	zraS//
CpxR_GadE	ompF//sufE//hycE//pstS//
CpxR_H-NS	glpB//
CpxR_NsrR	xylB//
CpxR_RcsB	hyfH//
CpxR_TyrR	puuD//
Cra_FNR_Fis_Lrp_NarL	stpA//
Cra_FNR_Fur_MarA_Rob_SoxS	pspB//
Cra_FhlA_FlhDC	fliE//
Cra_GntR_KdgR	putP//
Cra_GntR_KdgR_PhoB	aroM//
Cra_MarA_SoxS	yiaL//
Cra_PdeL	pflB//
Cra_SgrR	ulaB//fau//ygiA//
Cra_TyrR	metQ//
CreB_NagC	gspI//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rpsO//
CsgD_FlhDC	higB//rrlA//citE//truB//araA//fimG//waaY//metL//lyxK//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	rrsG//treC//
CspA_Fis_GadX_H-NS	gntT//
CueR_FNR_ModE	ilvM//acnB//lsrK//fimE//dinI//
CusR_PhoB_YedW	fecC//xylB//gspF//ompW//glcC//argG//rimP//
CysB_H-NS	ydeO//sodB//fucA//lamB//csgE//
CysB_HypT_IHF	hpt//
CysB_IHF	lacY//rrlA//
CysB_NtrC	rrsE//
CysB_PhoP	hycI//
DcuR_FNR_NarL	gabD//feoC//dnaN//dcuC//
DinJ-YafQ_LexA	glcE//hemL//
DpiA_H-NS	rpsI//
DsdC_NsrR	cspI//
EvgA_FNR	purN//rhaB//
EvgA_H-NS	sufE//fliH//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	dppD//
EvgA_H-NS_PhoP_RcsB_YdeO	metN//
EvgA_PhoP_RcsB_YdeO	skp//
ExuR_UxuR	dnaN//araG//
FNR_FhlA_IHF_NsrR	nrfC//ppiA//citF//fixC//hybF//
FNR_FhlA_NarL_NarP	murF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nuoC//yhjA//modB//exuR//acnA//torA//lsrF//
FNR_Fis_IHF_ModE_NarL	purA//slp//tnaB//
FNR_Fis_IHF_NarL	moeB//
FNR_Fis_IHF_NarL_RstA	galT//moeA//mhpD//csgA//
FNR_FlhDC	entA//
FNR_FlhDC_IscR_ModE_NarL_NarP	yjbF//murG//tyrR//infB//glnD//rutD//folA//
FNR_FlhDC_ModE_NarL_NarP	nusA//ilvG_2//iclR//bglJ//chiP//lsrR//nrdH//ynfF//
FNR_Fur	aroA//accB//
FNR_Fur_GadE	flhD//
FNR_Fur_GadX_NtrC	lpxA//ccmA//
FNR_Fur_H-NS	dppB//yiaM//xylF//gadY//
FNR_Fur_MetR_NsrR	gatA//
FNR_Fur_Nac_NtrC	nrdB//
FNR_Fur_NagC	murQ//folA//uxaB//
FNR_Fur_OxyR	xylF//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fiu//
FNR_H-NS	lsrR//gltD//
FNR_H-NS_NrdR	fliA//csgC//
FNR_IHF	hybB//gatD//csgD//rrfA//infB//
FNR_IHF_Lrp_YeiL	entF//
FNR_IHF_NarL_NarP_NorR	srlR//rob//
FNR_IHF_PhoB	aroG//hlyE//caiF//fepE//kbaZ//
FNR_MalT	csgC//nuoF//
FNR_ModE	tdcD//rutD//
FNR_NarL	rplP//yhjA//hns//tcyJ//fumB//fbaA//
FNR_NarL_NarP	ytfE//ssuB//flhD//gntU//hupA//chbR//mraY//hdeA//tolC//
FNR_NarL_NarP_NsrR	fimC//
FNR_NarL_NarP_NsrR_OxyR	osmY//srlE//
FNR_NarL_NikR	gspC//murG//ulaD//gspO//oxyR//gntT//
FNR_NsrR	nrdE//yefM//pyrD//
FNR_OxyR	fhlA//
FNR_PurR	fimG//moeB//
FNR_YqjI	ogt//
FabR_FadR	hypC//purN//
FadR_IHF	dusB//
FadR_IclR	lgoR//
FhlA_FlhDC	yecR//
FhlA_IHF_ModE_NsrR	gspI//hyfC//ldtB//ilvH//cytR//ileV//rrsE//glcA//feoA//
FhlA_IHF_NsrR	rutF//
Fis_Fur	ybdN//
Fis_H-NS	aceK//
Fis_H-NS_IHF_MntR_OxyR	ydhY//
Fis_H-NS_Lrp	dctR//puuR//sbmC//fumC//dcuR//caiC//manZ//proV//grcA//astB//uxuB//ccmG//ptsH//ydhU//sgbH//dps//entF//rpoE//ilvE//micF//infB//gltV//gdhA//nrfE//
Fis_H-NS_Lrp_StpA	lsrK//udp//
Fis_IHF	ahpF//
Fis_IHF_NtrC	sodA//aceA//
Fis_IHF_OmpR_RcsB	entH//
