#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	prfA//nrdA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	proX//yecR//dppD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	hyaC//accC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ulaC//lsrA//
AcrR_FNR_Fur_SoxR	malY//
AcrR_FNR_Fur_SoxR_SoxS	nfo//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	molR_1//
Ada_AidB_Lrp	astA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	dinJ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	gatA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ftsW//modB//pheM//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	tdcA//purM//
AdiY_H-NS_IHF	araC//
AgaR_CRP	yjiY//atoA//ilvI//pspE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	cyoA//ydeM//csiE//adhE//fpr//csgE//
AppY_ArcA_YdeO	rprA//ftsQ//puuP//udp//
AraC_CRP	sdhC//pdeR//hyfE//rrsD//murF//cydD//fabA//ubiA//qseC//
AraC_CRP_XylR	gadE//gatD//hemL//
AraC_NagC	napD//rutE//
ArcA_BetI_Cra	ugpB//glcD//waaH//ileT//
ArcA_CRP_CaiF_FNR_H-NS	malK//modA//fucK//araB//chbG//mtlA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dppD//rbsC//idnD//norR//ccmC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glpT//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	betB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rrfG//ftsQ//
ArcA_CRP_Cra_Fis	chbB//
ArcA_CRP_Cra_IHF_IclR	lsrC//nanC//cydD//
ArcA_CRP_DcuR	yjbF//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fau//ytfE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ulaC//
ArcA_CRP_DnaA_FNR	dcuD//
ArcA_CRP_DpiA_FNR_NarL	baeS//rutC//flhD//cas1//hycH//rrsC//
ArcA_CRP_DpiA_FlhDC	eda//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nrfG//crr//
ArcA_CRP_FNR	ccmA//
