#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	entF//uxaA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rrlE//lpxA//murF//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rrsC//serA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	galK//fabB//
AcrR_FNR_Fur_SoxR	fepE//
AcrR_FNR_Fur_SoxR_SoxS	mazG//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	chbB//
Ada_AidB_Lrp	gltB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	emrK//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	mdtE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	garL//hypD//prpB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fecE//tyrP//
AdiY_H-NS_IHF	dps//
AgaR_CRP	nrfE//malX//tauA//aspC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	uxuR//yciE//dmsA//dppF//ompC//citD//
AppY_ArcA_YdeO	ccmH//sdhA//nirC//entC//
AraC_CRP	dmsB//hipB//dmsD//gadY//ompC//sgbH//ubiC//nikR//hisJ//
AraC_CRP_XylR	treB//waaY//ynfH//
AraC_NagC	hupB//pdeR//
ArcA_BetI_Cra	gabT//hipA//ahpC//paaC//
ArcA_CRP_CaiF_FNR_H-NS	pstB//ulaA//mhpC//fixB//hipB//tdcB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	lysP//lldD//csgD//araJ//uidB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	chbC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ompC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	yaiA//fpr//
ArcA_CRP_Cra_Fis	glpA//
ArcA_CRP_Cra_IHF_IclR	nrdF//gcvT//nuoI//
ArcA_CRP_DcuR	rplV//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fbaA//exuR//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gltW//
ArcA_CRP_DnaA_FNR	sgrS//
ArcA_CRP_DpiA_FNR_NarL	adiC//paaE//xylR//casC//sufS//nrdB//
ArcA_CRP_DpiA_FlhDC	nhaA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	csiE//casC//
ArcA_CRP_FNR	astE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ydhU//nanK//sucC//
ArcA_CRP_FNR_Fis_Fur_PdhR	gspI//
ArcA_CRP_FNR_Fis_IHF_NarL	xylA//
ArcA_CRP_FNR_Fur	pstA//nuoN//nrdA//oppC//
ArcA_CRP_FNR_Fur_IHF	rplP//gcvH//aidB//rtcA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ftsZ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	waaY//
ArcA_CRP_FNR_IHF_NarL	uxuB//
ArcA_CRP_FNR_NarL	entE//
ArcA_CRP_FadR	ccmA//dppA//
ArcA_CRP_FadR_HipB	garL//
ArcA_CRP_FadR_OmpR_PhoP	ssuA//
ArcA_CRP_Fis_Mlc_SoxS	rcsA//
ArcA_CRP_Fis_XylR	hycF//
ArcA_CRP_Fur_GadX_MqsA	chbG//
ArcA_CRP_GatR	argD//cusC//malI//mdtA//soxS//aceA//
ArcA_CRP_GlpR	frdD//
ArcA_CRP_IHF	fecA//
ArcA_CRP_PuuR	cyoD//fis//hyaB//fadA//ilvG_2//
ArcA_CRP_RhaS	rrlE//
ArcA_CRP_TreR	csgA//tomB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	acnA//umpH//
ArcA_Cra	nrdB//
ArcA_Cra_FNR_H-NS_HypT	sodA//yiaM//
ArcA_CysB_FNR	ihfA//
ArcA_FNR	glyA//casB//sdhC//cas1//yrbL//fadB//nac//frdC//ybiT//nanK//hypE//poxB//fdnG//yrbL//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rpsI//
ArcA_FNR_Fis_IHF_NarL	pstC//ppiA//acnB//metQ//rpsO//ulaF//tam//uxuR//sufB//fucI//csgC//nfsA//ftsL//
ArcA_FNR_Fur_IHF	casD//
ArcA_FNR_IHF	citE//proX//tnaB//
ArcA_FNR_IHF_NarL	fimC//marA//
ArcA_FNR_NarL	gloA//citF//fdhF//chbR//
ArcA_FNR_PhoP	hybC//
ArcA_FNR_PuuR	paaG//hpt//
ArcA_FadR	aceA//cydC//nagC//
ArcA_FadR_Fis	nanM//hyfC//
ArcA_Fur_Lrp_ModE	casB//mtr//nfo//hokD//nagC//
ArcA_GlcC_IHF_PdhR	gntT//ftnA//rbsA//acrF//rrlG//gspC//
ArcA_LexA	nuoE//chbF//
ArcA_LldR	cadB//fepE//chbC//
ArcA_NarL	ccmG//evgA//ascB//hydN//ubiC//dpiA//srlR//ogt//
ArcA_NtrC_PhoP_RutR	appX//xylH//citF//nikC//cusS//gntK//dppF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	mhpE//cusB//ptsG//
ArgP_CRP_FNR_Fur_Nac	nfsA//
ArgP_DnaA	dsdA//hycC//cydB//
ArgP_Lrp	ssuC//hdeD//
ArgP_LysR	puuR//
ArgP_PhoB	hdeD//
ArgR_CRP	frdC//
ArgR_CRP_Fis	casA//bamE//ssuE//rpsC//rbsK//srlA//uspA//rtcA//
ArgR_Fis_IHF_PepA_PurR_RutR	paaD//ilvH//
ArgR_H-NS_NtrC	osmY//ubiA//yhcH//asnC//
ArgR_NtrC	ydeN//pgaB//gatZ//hemA//fimF//
ArgR_PhoP	cusB//
AscG_CRP	lsrB//sgrT//zinT//
AscG_CRP_PhoB_PrpR	hycF//
AsnC_MraZ_Nac	cusA//
AsnC_Nac	gabT//nfuA//
AtoC_IHF	srlA//higB//recF//xylG//
BaeR_CpxR	nrfG//sdhA//astB//idnD//cadA//chbR//fdhF//
BaeR_CpxR_EvgA	zwf//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cyaR//pyrC//micF//srlD//
BasR_CpxR_PdhR	rpmC//higA//
BasR_Fis	lldP//
BasR_H-NS_IHF_NagC_NanR	argO//
BasR_MarA_PutA	bglJ//
BasR_PhoP	paaB//
BasR_QseB	srlD//narX//
CRP_CaiF_FNR	nemR//cytR//fadI//hyfF//
CRP_ChbR_NagC	hyfR//lsrA//pgaA//fbaA//cbl//fecA//
CRP_ComR	argD//
CRP_CpxR	rpoE//
CRP_CpxR_CytR	lamB//
CRP_CpxR_CytR_DnaA_IHF	mnmG//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	hybB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	ybiT//sucB//guaB//paaD//
CRP_Cra	paaI//gyrA//rtcB//rrlH//rpsJ//lacA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	chbR//tdcB//soxR//sgbU//
CRP_Cra_FNR_PdhR	gadF//
CRP_Cra_Fis	tpx//
CRP_Cra_Fis_GlcC	fliF//
CRP_Cra_Fis_MtlR	hyfJ//ydhV//recF//
CRP_Cra_Mlc_NagC	astD//rpsO//yaiA//fliA//ynfK//cspI//
CRP_Cra_PrpR	paaZ//cydA//mdtD//metB//
CRP_CreB_Fis_MalT	hyfH//lgoR//cadB//
CRP_CsiR_H-NS_Lrp	idnD//napH//
CRP_CsiR_H-NS_Lrp_Nac	mdtB//accB//lacZ//
CRP_CspA_Fis	entA//
CRP_CytR	gspD//rrfA//csgE//
CRP_CytR_DeoR	gcvT//dppF//
CRP_CytR_DeoR_Fis_ModE	dmsD//araE//rrlC//glcD//
CRP_CytR_Nac	caiT//
CRP_CytR_NsrR	murQ//
CRP_DcuR_FNR_NarL	rpsJ//
CRP_DinJ-YafQ	yjjQ//
