#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nrfD//fdnI//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	pgaB//gloA//glpA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	appC//fpr//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	bhsA//hybO//
AcrR_FNR_Fur_SoxR	gatY//
AcrR_FNR_Fur_SoxR_SoxS	codB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nmpC//
Ada_AidB_Lrp	murG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	prpB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	atoB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	dppF//ftsZ//fucO//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	creD//uxuB//
AdiY_H-NS_IHF	katE//
AgaR_CRP	carB//fhlA//ynfH//acrZ//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	garK//gspK//icd//idnR//aceF//fliC//
AppY_ArcA_YdeO	nuoC//frdB//chbF//ileU//
AraC_CRP	hemL//sufD//feaR//citG//csgG//betA//idnR//deoD//tdcA//
AraC_CRP_XylR	ugpQ//yjbE//hyfE//
AraC_NagC	nusA//ilvG_2//
ArcA_BetI_Cra	fucI//ahpC//amtB//glcG//
ArcA_CRP_CaiF_FNR_H-NS	dppB//rseB//cysB//soxS//dinJ//cytR//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	araH//ptsH//uxuA//xylA//zraS//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hycH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hycE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lhgO//prpR//
ArcA_CRP_Cra_Fis	chbB//
ArcA_CRP_Cra_IHF_IclR	rplB//uxaB//metI//
ArcA_CRP_DcuR	cspD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	pspE//cysI//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ddlB//
ArcA_CRP_DnaA_FNR	ydhT//
ArcA_CRP_DpiA_FNR_NarL	gatD//mdtA//murF//garR//sucD//dcuS//
ArcA_CRP_DpiA_FlhDC	csgA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	glgP//yiaM//
ArcA_CRP_FNR	betT//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	galT//frdD//treC//
ArcA_CRP_FNR_Fis_Fur_PdhR	lldR//
ArcA_CRP_FNR_Fis_IHF_NarL	narG//
ArcA_CRP_FNR_Fur	baeR//cirA//modC//araC//
ArcA_CRP_FNR_Fur_IHF	rpsJ//moeB//grcA//xylB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	glgC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	aroP//
ArcA_CRP_FNR_IHF_NarL	nirC//
ArcA_CRP_FNR_NarL	gyrA//
ArcA_CRP_FadR	pdeR//metE//
ArcA_CRP_FadR_HipB	yqjI//
ArcA_CRP_FadR_OmpR_PhoP	fumC//
ArcA_CRP_Fis_Mlc_SoxS	nupG//
ArcA_CRP_Fis_XylR	nupC//
ArcA_CRP_Fur_GadX_MqsA	zraS//
ArcA_CRP_GatR	rhaS//sdhA//fadA//paaK//mdtC//alaV//
ArcA_CRP_GlpR	nemA//
ArcA_CRP_IHF	nagB//
ArcA_CRP_PuuR	hisQ//malF//tdcG//relA//acrF//
ArcA_CRP_RhaS	hypE//
ArcA_CRP_TreR	astC//mazE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pncB//gutQ//
ArcA_Cra	gadB//
ArcA_Cra_FNR_H-NS_HypT	mtlA//hycC//
ArcA_CysB_FNR	paaE//
ArcA_FNR	tdcC//hycD//ccmC//ilvH//serC//yhiM//sodB//dmsB//pyrD//flhC//degP//rpsC//nikD//adhE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	dcuR//
