#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nhaR//nanM//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	sbmC//yeaR//yciF//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	cysJ//sodB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	stpA//caiT//
AcrR_FNR_Fur_SoxR	gabD//
AcrR_FNR_Fur_SoxR_SoxS	mhpC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ulaD//
Ada_AidB_Lrp	ompR//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	focB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	yoaG//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	feaR//hybF//ompC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hyfA//higA//
AdiY_H-NS_IHF	codA//
AgaR_CRP	fnr//tdcD//prpE//cysH//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	nrfA//rbsC//araE//oppD//dsdA//appX//
AppY_ArcA_YdeO	fixA//entE//napG//dcuA//
AraC_CRP	dadA//ybjN//cyaR//araB//carB//glpQ//alaV//uxuR//fes//
AraC_CRP_XylR	hypD//lacY//mraY//
AraC_NagC	rbsD//sucA//
ArcA_BetI_Cra	hyfD//dsdA//gatZ//caiE//
ArcA_CRP_CaiF_FNR_H-NS	aroL//torD//murD//fucO//micF//nagC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fdnI//betA//lpxD//glcE//codB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	chiP//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	yhiM//
