#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mdtA//dcuC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	fhuF//paaA//glcA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	cspA//dppD//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	frdC//hisM//
AcrR_FNR_Fur_SoxR	tdcB//
AcrR_FNR_Fur_SoxR_SoxS	rpsC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	osmE//
Ada_AidB_Lrp	yhiM//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	proW//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	atoD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	rpoE//pgaA//narL//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	cysP//glnD//
AdiY_H-NS_IHF	dmsB//
AgaR_CRP	iraM//cspI//galM//gspC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	nikR//fecD//nuoJ//hyfD//mdtD//hyfD//
AppY_ArcA_YdeO	fabZ//cspD//csiE//fliI//
AraC_CRP	fadE//ahpF//focB//nuoF//bolA//tpx//mntH//torD//nrdD//
AraC_CRP_XylR	prmC//nuoH//fabB//
AraC_NagC	gltD//gloA//
ArcA_BetI_Cra	ygiC//xylF//cadC//hypA//
ArcA_CRP_CaiF_FNR_H-NS	tauB//tnaC//lsrG//sroD//relE//rpsQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ddlB//araC//oppD//araJ//pstC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	entB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	torC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fliH//pspA//
ArcA_CRP_Cra_Fis	hemL//
ArcA_CRP_Cra_IHF_IclR	ssuB//sulA//tolC//
ArcA_CRP_DcuR	fadH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	casD//torC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	cspD//
ArcA_CRP_DnaA_FNR	lpxD//
ArcA_CRP_DpiA_FNR_NarL	nrfE//moaB//mdtF//ileT//rhaA//fimH//
ArcA_CRP_DpiA_FlhDC	ugpB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	frdC//asr//
ArcA_CRP_FNR	nuoB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	atoE//rpoE//csiE//
ArcA_CRP_FNR_Fis_Fur_PdhR	pyrC//
ArcA_CRP_FNR_Fis_IHF_NarL	manX//
ArcA_CRP_FNR_Fur	phoQ//ascF//metN//ilvE//
ArcA_CRP_FNR_Fur_IHF	osmY//iclR//gatY//rseA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyaD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rbsA//
ArcA_CRP_FNR_IHF_NarL	lsrG//
ArcA_CRP_FNR_NarL	uidB//
ArcA_CRP_FadR	cusA//dps//
ArcA_CRP_FadR_HipB	osmE//
ArcA_CRP_FadR_OmpR_PhoP	yeiL//
ArcA_CRP_Fis_Mlc_SoxS	mdtE//
ArcA_CRP_Fis_XylR	xylG//
ArcA_CRP_Fur_GadX_MqsA	citE//
ArcA_CRP_GatR	atoA//fucR//mntP//qseC//hisQ//slp//
ArcA_CRP_GlpR	tauD//
ArcA_CRP_IHF	hisJ//
ArcA_CRP_PuuR	ansB//glcE//exuR//murD//citF//
