re100	CATALYSIS	EntB-EntD-EntF-EntE
re101	CATALYSIS	EntB-EntD-EntF-EntE
re17	CATALYSIS	AccA-AccD
re17	INHIBITION	(2E)-dec-2-enoyl-[acp]	REG0-10525
re17	INHIBITION	(2E)-dodec-2-enoyl-[acp]	REG0-10525
re17	INHIBITION	(2E,11Z)-octadeca-2,11-dienoyl-[acp]	REG0-10525
re17	INHIBITION	(3R)-3-hydroxy cis delta7-tetradecenoyl-[acp]	REG0-10525
re17	INHIBITION	(3R)-3-hydroxy cis delta9-hexadecenoyl-[acp]	REG0-10525
re17	INHIBITION	(3R)-3-hydroxy-cis-vaccenoyl-[acp]	REG0-10525
re17	INHIBITION	(3R)-3-hydroxyglutaryl-[acp] methyl ester	REG0-10525
re17	INHIBITION	(5Z)-dodec-5-enoyl-[acp]	REG0-10525
re17	INHIBITION	18:0-ACP	REG0-10525
re17	INHIBITION	2,3,4-saturated fatty acyl-[acp]	REG0-10525
re17	INHIBITION	2,3-dihydroxybenzoyl-EntB	REG0-10525
re17	INHIBITION	3-hydroxypimeloyl-[acp] methyl ester	REG0-10525
re17	INHIBITION	3-ketopimelyl-[acp] methyl ester	REG0-10525
re17	INHIBITION	3-oxo-cis-delta7-tetradecenoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-cis-delta9-hexadecenoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-cis-vaccenoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-decanoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-dodecanoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-glutaryl-[acp] methyl ester	REG0-10525
re17	INHIBITION	3-oxo-hexanoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-myristoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-octanoyl-[acp]	REG0-10525
re17	INHIBITION	3-oxo-palmitoyl-[acp]	REG0-10525
re17	INHIBITION	AcpP	REG0-10525
re17	INHIBITION	CH3(CH2)xCH=CHCO-S-ACP	REG0-10525
