# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Mon Nov 26 08:19:22 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//complete_gus/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
AcrR_neg	2	AcrA-TolC-AcrB,AcrD-AcrA-TolC,	0		6	*re16,*re19,*re14,*re17,*re20,*re18,*	6	6	0.0
Ada_neg	2	Ada,AlkB,	2	Ada,AlkB,	2	*re10,re11,re12,re13,re8,re9,*re4,re5,re6,*	9	0	0.7
Ada_pos	4	AlkB,AlkA,Ada,AidB,	2	AlkB,Ada,	4	*re6,re7,re8,*re14,re15,re16,re17,re18,re19,*re12,*re10,*	11	0	0.3
AdiY_pos	4	GadC,GadB,AdiA,GadA,	4	GadC,GadB,AdiA,GadA,	1	*re10,re12,re15,*	3	1	1.0
AgaR_neg	1	KbaY-KbaZ,	0		1	*re25,*	1	0	0.0
AidB_neg	1	AidB,	0		1	*re3,*	1	0	0.0
AlaS-L-alanine_neg	1	AlaS,	0		1	*re3,*	1	0	0.0
AllR-allantoin_neg	6	GlxK,Hyi,AllA,Gcl,GlxR,AllB,	6	GlxR,Gcl,AllB,Hyi,GlxK,AllA,	1	*re11,re16,re20,re18,re22,re25,re13,*	6	0	1.0
AllS-allantoin_pos	3	AllE,AllD,AllC,	3	AllE,AllD,AllC,	1	*re5,re9,re7,*	3	0	1.0
AlsR_neg	3	RpiB,AlsA-AlsC-AlsB,AlsE,	2	RpiB,AlsE,	3	*re9,*re17,*re13,re16,*	4	1	0.4
AppY_pos	2	AppA,AppC-AppB,	1	AppA,	3	*re12,*re13,re14,re15,re16,re17,*re20,*	7	1	0.2
AraC-arabinose_neg	5	AraB,AraA,AraD,XylB,XylA,	5	XylA,XylB,AraD,AraB,AraA,	2	*re10,re12,re15,re19,re17,*re20,*	6	0	0.8
AraC-arabinose_pos	6	AraD,YgeA,AraG-AraH-AraF,AraE,AraB,AraA,	5	AraA,AraB,AraG-AraH-AraF,AraE,AraD,	2	*re26,*re12,re14,re17,re19,*	5	1	0.7
AraC_neg	3	AraD,AraA,AraB,	3	AraD,AraA,AraB,	1	*re11,re8,re6,*	3	0	1.0
AraC_pos	3	AraD,AraA,AraB,	3	AraD,AraB,AraA,	1	*re11,re8,re6,*	3	0	1.0
ArgP-arginine_neg	0		0		0	*	0	0	-0.0
ArgP-arginine_pos	1	ArgO,	0		2	*re3,*re4,*	2	2	0.0
ArgP_pos	8	LysP,NrdA-NrdB,RecF-RecR-RecO,DapD,LysA,DapB,LysC,GdhA,	6	LysP,LysC,DapB,LysA,DapD,NrdA-NrdB,	4	*re30,re31,re32,re33,re34,*re38,*re14,re16,re41,re40,re23,re27,re25,*re21,*	12	1	0.5
ArgR-L-arginine_neg	18	ArgE,ArtJ-ArtQ-ArtM-ArtP,HisP-HisM-HisQ-HisJ,HisQ-HisP-HisM-ArgT,CarB-CarA,ArgD,Pnp,ArgI,PNPase,LysO,ArgA,ArgH,ArgC,NAGS,ArgF,TruB,ArgB,ArgG,	13	ArgI,ArgG,ArgB,HisQ-HisP-HisM-ArgT,ArtJ-ArtQ-ArtM-ArtP,ArgA,ArgE,ArgD,ArgF,ArgC,NAGS,CarB-CarA,ArgH,	6	*re74,*re78,*re89,*re88,*re97,*re35,re38,re40,re42,re43,re64,re47,re45,re77,re49,re51,re58,re66,re65,*	19	4	0.6
ArgR-L-arginine_pos	5	AstD,AstA,AstC,AstB,AstE,	5	AstA,AstC,AstD,AstB,AstE,	1	*re11,re12,re16,re14,re9,re7,*	6	0	1.0
ArsR_neg	2	ArsC,ArsB,	2	ArsB,ArsC,	2	*re5,*re6,re8,*	3	2	0.7
