# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Fri May 25 17:17:46 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_strong/GUs_SRs/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
AcrR	0		0		0	*	0	0	-0.0
Ada	4	AlkB,AidB,Ada,AlkA,	1	AlkB,	4	*re12,re13,re14,re15,*re6,*re10,*re8,*	7	0	0.1
AdiY	4	GadB,GadC,GadA,AdiA,	4	GadB,GadC,GadA,AdiA,	1	*re10,re12,re15,*	3	1	1.0
AgaR	1	KbaY-KbaZ,	0		1	*re25,*	1	0	0.0
AidB	1	AidB,	0		1	*re3,*	1	0	0.0
AlaS	1	AlaS,	0		1	*re3,*	1	0	0.0
AraC	4	AraE,AraA,AraD,AraB,	4	AraE,AraA,AraD,AraB,	1	*re10,re13,re8,re15,*	4	1	1.0
ArgP	7	LysP,LysA,GdhA,RecF-RecR-RecO,NrdA-NrdB,LysC,DapD,	5	LysP,LysA,LysC,NrdA-NrdB,DapD,	4	*re35,*re18,*re27,re28,re29,re30,re31,*re13,re37,re38,re20,re24,re22,*	11	1	0.5
ArgR	1	LysO,	0		1	*re10,*	1	1	0.0
AtoC	3	AtoB,AtoA-AtoD,AtoE,	3	AtoB,AtoA-AtoD,AtoE,	1	*re12,re7,re9,*	3	1	1.0
BaeR	1	AcrD-AcrA-TolC,	0		1	*re4,*	1	1	0.0
BasR	3	PutA,CsgE-CsgG,DgkA,	1	PutA,	3	*re17,*re26,re33,re27,*re22,*	4	1	0.2
BirA	5	BioF,BioC,BioD,BioA,BioB,	5	BioF,BioC,BioD,BioA,BioB,	1	*re11,re17,re7,re13,re15,re16,re9,*	6	0	1.0
BluR	0		0		0	*	0	0	-0.0
CadC	2	CadA,CadB,	2	CadA,CadB,	1	*re4,re6,re7,*	3	2	1.0
CaiF	5	CaiD,CaiB,CaiA,CaiT,CaiC,	5	CaiD,CaiB,CaiA,CaiT,CaiC,	1	*re12,re14,re16,re18,re21,*	5	1	1.0
Cbl	5	TauA-TauC-TauB,SsuE,SsuA-SsuC-SsuB,SsuD,TauD,	4	TauA-TauC-TauB,SsuE,SsuD,TauD,	2	*re12,*re16,re17,re18,re19,re21,re28,re24,*	8	2	0.7
CecR	0		0		0	*	0	0	-0.0
ChbR	3	ChbA-ChbC-ChbB,ChbG,ChbF,	3	ChbA-ChbC-ChbB,ChbG,ChbF,	1	*re10,re15,re9,re17,re14,re18,*	6	2	1.0
ComR	0		0		0	*	0	0	-0.0
CpxR	10	LdtD,DgcZ,RdoA,PpiA,LdtC,AcrD-AcrA-TolC,DsbA,AroG,TolC-MdtC-MdtB-MdtA,CsgE-CsgG,	2	LdtD,LdtC,	8	*re45,*re73,re74,re75,re77,re78,*re65,*re60,*re94,*re43,*re67,*re92,*	12	2	0.1
Cra	16	Pck,FbaA,Epd,Icd,Edd,AceK,EIIMtl,Pgk,AceB,AceA,MtlD,HypF,Eda,Eno,MtlA,PfkA,	16	Pck,Epd,FbaA,Icd,Edd,AceK,EIIMtl,Pgk,AceB,AceA,MtlD,HypF,Eda,PfkA,MtlA,Eno,	3	*re42,re43,re44,*re19,re21,re30,re28,re29,re32,re39,re40,re37,re59,re69,re60,re54,re50,re51,re66,re70,re46,re47,re48,re57,re34,re65,re67,re68,re63,re64,re62,*re23,re24,*	25	2	0.9
CsgD	2	CsgE-CsgG,WrbA,	0		4	*re40,*re42,*re41,*re23,*	4	1	0.0
CspA	0		0		0	*	0	0	-0.0
CueR	2	CueO,CopA,	2	CueO,CopA,	1	*re4,re6,re7,re8,*	4	1	1.0
CusR	1	CusC-CusB-CusF-CusA,	0		2	*re9,*re10,*	2	2	0.0
CynR	3	CynT,CynS,CynX,	3	CynT,CynS,CynX,	1	*re11,re7,re12,re9,*	3	1	1.0
CysB	8	TauA-TauC-TauB,SsuA-SsuC-SsuB,SsuE,TauD,Sbp-CysW-CysU-CysA,CysA-CysW-CysU-CysP,CysM,SsuD,	5	TauA-TauC-TauB,SsuE,TauD,CysM,SsuD,	7	*re25,re26,*re21,*re22,*re32,*re19,*re36,re37,re38,re39,re41,re48,re44,*re20,*	14	6	0.4
CytR	9	Udp,Tsx,DeoD,Cdd,DeoC,DeoB,PpiA,NupG,DeoA,	7	Udp,DeoD,Cdd,DeoC,DeoB,NupG,DeoA,	3	*re45,*re33,*re13,re14,re18,re17,re20,re23,re27,re26,re21,re25,re28,re29,re31,re30,re42,re52,re50,re34,re51,re40,re38,re36,re35,re37,re39,re41,re43,*	27	11	0.6
Dan	2	TtdT,TtdA-TtdB,	2	TtdT,TtdA-TtdB,	1	*re11,re7,*	2	1	1.0
DcuR	4	DctA,FrdA-FrdB-FrdC-FrdD,DcuB,FumB,	4	DctA,FrdA-FrdB-FrdC-FrdD,DcuB,FumB,	3	*re12,re19,re16,re18,re20,re13,re21,re15,re26,re31,re32,*re14,*re11,*	13	10	0.7
DicA	0		0		0	*	0	0	-0.0
DinJ-YafQ	1	YafQ,	0		1	*re8,*	1	0	0.0
DnaA	6	NrdA-NrdB,GuaB,PolA,RecF-RecR-RecO,GuaA,AldA,	4	NrdA-NrdB,GuaB,PolA,GuaA,	5	*re38,*re33,*re13,*re14,*re19,re20,re21,re23,re35,re34,re41,re26,re27,re28,re29,re30,*	15	0	0.4
DpiA	5	CitG,ExuT,CitX,Mdh,CitC,	3	CitG,CitX,CitC,	4	*re12,re20,re18,*re25,*re24,*re27,*	6	2	0.4
EvgA	1	TolC-MdtE-MdtF,	0		1	*re8,*	1	1	0.0
ExuR	0		0		0	*	0	0	-0.0
FadR	9	FadI,FabH,FadD,FadH,FabD,FadE,FadJ,FabG,FabB,	8	FadI,FabH,FadD,FabD,FadE,FadJ,FabG,FabB,	3	*re52,*re13,re14,re15,re16,re17,re18,re19,re20,re21,re22,re23,re24,re25,re26,re28,re31,re37,re38,re43,re45,re46,re48,re50,re54,re61,re57,re58,re59,re60,re66,re68,re72,re74,re30,re75,re73,re32,re71,re35,re70,re34,re69,re33,re40,re76,re67,re39,re41,re65,re36,re42,*re62,*	41	0	0.7
FeaR	2	FeaB,TynA,	2	FeaB,TynA,	1	*re4,re7,re6,re8,re9,*	5	0	1.0
