# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Wed May  9 22:37:24 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/GUs_SRs/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
Ada-Methylated	4	AlkB,AidB,Ada,AlkA,	1	AlkB,	4	*re12,re13,re14,re15,*re6,*re10,*re8,*	7	0	0.1
AlaS-L-alanine	1	AlaS,	0		1	*re3,*	1	0	0.0
AllS-allantoin	3	AllC,AllD,AllE,	3	AllC,AllD,AllE,	1	*re5,re9,re7,*	3	0	1.0
AraC-L-arabinose	7	AraE,XylB,AraA,XylA,AraD,AraG-AraH-AraF,AraB,	7	AraE,XylB,AraA,XylA,AraD,AraG-AraH-AraF,AraB,	2	*re16,re18,re21,re32,re30,re23,*re33,*	7	1	0.9
ArcA-Phosphorylated	97	PflB,FumC,UvrB-UvrC-UvrA,RutD,PuuE,AcnB,Ndh,RutE,FadL,Lpd,GatY-GatZ,LldD,RutA,FocA,PuuD,BetA,CaiB,OppB-OppC-OppD-OppF-MppA,OppC-OppD-OppF-OppB-OppA,Icd,NuoA-NuoH-NuoJ-NuoK-NuoL-NuoM-NuoN-NuoI-NuoG-NuoF-NuoE-NuoC-NuoB,CaiD,FadD,GlpD,GatD,SodA,AceA,MoeB,MoeA,FumA,GltA,FadE,AceE,XylG-XylH-XylF,Pta,GatC-GatB-GatA,UbiC,TreC,CitC,GlpA-GlpB-GlpC,AppC-AppB,DcuC,AcnA,PuuC,AceE-AceF-Lpd,CydD-CydC,RutG,PuuB,CadA,RutB,AceK,CyoE,SucD-SucC,AppA,SucA-SucB-Lpd,Mdh,SucB,FadA,FadB,CaiT,Lpd-GcvP-GcvH-GcvT,PuuA,RhaT,PtsG-Crr,BetT,DcuB,CitG,FadI,AceF,CaiA,HemA,CaiC,GlcA,GlcD-GlcE-GlcF,DctA,CadB,AckA,CitX,RutC,HybA-HybB-HybO-HybC,SucA,CydA-CydB-CydX,Tpx,UbiA,PuuP,BetB,CyoD-CyoA-CyoB-CyoC,LldP,AceB,TreB-Crr,PrmC,FadH,GlcB,AldA,FadJ,YdeA,FumB,	84	PflB,FumC,RutD,PuuE,AcnB,Ndh,RutE,Lpd,GatY-GatZ,LldD,RutA,FocA,PuuD,CaiB,BetA,Icd,CaiD,NuoA-NuoH-NuoJ-NuoK-NuoL-NuoM-NuoN-NuoI-NuoG-NuoF-NuoE-NuoC-NuoB,FadD,GlpD,GatD,SodA,AceA,MoeA,MoeB,FumA,GltA,FadE,AceE,Pta,GatC-GatB-GatA,UbiC,CitC,TreC,GlpA-GlpB-GlpC,AppC-AppB,DcuC,AcnA,PuuC,AceE-AceF-Lpd,RutG,CadA,PuuB,CyoE,RutB,AceK,SucD-SucC,SucA-SucB-Lpd,Mdh,SucB,FadA,FadB,CaiT,Lpd-GcvP-GcvH-GcvT,PuuA,PtsG-Crr,BetT,DcuB,CitG,FadI,AceF,CaiA,GlcA,GlcD-GlcE-GlcF,CaiC,CadB,DctA,AckA,CitX,RutC,HybA-HybB-HybO-HybC,SucA,CydA-CydB-CydX,UbiA,PuuP,LldP,BetB,CyoD-CyoA-CyoB-CyoC,AceB,TreB-Crr,GlcB,AldA,FadJ,FumB,	24	*re521,*re252,*re192,re193,*re413,*re201,*re450,*re392,*re500,*re426,*re372,*re207,*re210,re339,re321,re335,re354,re391,re397,re525,re390,re396,re313,re314,re432,re433,re503,re505,re318,*re515,*re512,*re449,*re179,re181,re187,re183,re184,re185,re188,re189,re231,re229,re227,re215,re217,re220,re329,re203,re325,re368,re204,re324,re422,re278,re279,re283,re282,re285,re287,re288,re293,re291,re238,re195,re428,re341,re199,re198,re363,re222,re224,re225,re365,re364,re376,re377,re374,re378,re423,re304,re429,re196,re497,re268,re270,re271,re264,re306,re267,re273,re272,re265,re523,re384,re307,re309,re524,re380,re381,re373,re382,re437,re435,re442,re440,re444,re446,re468,re469,re471,re472,re473,re475,re477,re479,re439,re489,re482,re522,re246,re244,re261,re388,re507,re509,re526,re284,re286,re289,re233,re236,re386,*re206,*re344,*re416,*re263,*re300,*re295,*re253,*re266,*	135	37	0.7
ArgP-L-arginine	11	NrdA-NrdB,DapD,DapB,LysC,Map,ArgO,GlnD,LysP,LysA,RecF-RecR-RecO,GdhA,	7	NrdA-NrdB,DapD,DapB,LysC,GlnD,LysP,LysA,	7	*re28,*re21,re23,re54,re53,re34,re38,re36,*re30,re31,re32,*re40,*re18,*re51,*re43,re44,re45,re46,re47,*	17	2	0.4
ArgR-L-arginine	23	ArgF,HisP-HisM-HisQ-HisJ,ArtJ-ArtQ-ArtM-ArtP,ArgB,LysO,AstA,ArgG,ArgH,ArgD,HisQ-HisP-HisM-ArgT,TruB,ArgI,NAGS,ArgA,ArgC,PNPase,ArgE,CarB-CarA,AstE,Pnp,AstD,AstC,AstB,	18	ArgF,ArtJ-ArtQ-ArtM-ArtP,ArgB,AstA,ArgG,ArgH,ArgD,HisQ-HisP-HisM-ArgT,ArgI,NAGS,ArgA,ArgC,ArgE,CarB-CarA,AstE,AstD,AstC,AstB,	6	*re94,*re41,re44,re46,re48,re49,re77,re75,re73,re57,re55,re53,re51,re62,re84,re81,re79,re85,re86,re63,*re106,*re64,*re105,*re114,*	24	4	0.6
AtoC-phosphorylated	3	AtoA-AtoD,AtoE,AtoB,	3	AtoA-AtoD,AtoE,AtoB,	1	*re12,re7,re9,*	3	1	1.0
BaeR-Phosphorylated	2	AcrD-AcrA-TolC,TolC-MdtC-MdtB-MdtA,	0		1	*re11,*	1	1	0.0
BirA-bio-5-AMP	5	BioD,BioB,BioF,BioA,BioC,	5	BioD,BioB,BioF,BioA,BioC,	1	*re11,re17,re7,re13,re15,re16,re9,*	6	0	1.0
