# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Sun Nov 25 15:18:35 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//complete_gus/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
AcrR	2	AcrA-TolC-AcrB,AcrD-AcrA-TolC,	0		6	*re20,*re18,*re17,*re19,*re16,*re14,*	6	6	0.0
Ada	4	AidB,AlkA,Ada,AlkB,	2	Ada,AlkB,	4	*re12,*re6,re7,re8,*re14,re15,re16,re17,re18,re19,*re10,*	11	0	0.3
AdiY	4	AdiA,GadC,GadB,GadA,	4	GadA,GadB,GadC,AdiA,	1	*re10,re12,re15,*	3	1	1.0
AgaR	1	KbaY-KbaZ,	0		1	*re25,*	1	0	0.0
AidB	1	AidB,	0		1	*re3,*	1	0	0.0
AlaS-L-alanine	1	AlaS,	0		1	*re3,*	1	0	0.0
AllR-allantoin	6	GlxR,AllA,Gcl,Hyi,AllB,GlxK,	6	Gcl,GlxR,AllA,GlxK,AllB,Hyi,	1	*re11,re16,re20,re18,re22,re25,re13,*	6	0	1.0
AllS-allantoin	3	AllC,AllE,AllD,	3	AllD,AllE,AllC,	1	*re5,re9,re7,*	3	0	1.0
AlsR	3	RpiB,AlsE,AlsA-AlsC-AlsB,	2	RpiB,AlsE,	3	*re13,re16,*re9,*re17,*	4	1	0.4
AppY	2	AppC-AppB,AppA,	1	AppA,	3	*re12,*re20,*re13,re14,re15,re16,re17,*	7	1	0.2
AraC	3	AraA,AraB,AraD,	3	AraA,AraD,AraB,	1	*re11,re8,re6,*	3	0	1.0
AraC-arabinose	8	AraA,AraG-AraH-AraF,AraB,AraE,YgeA,XylA,XylB,AraD,	7	AraG-AraH-AraF,AraA,XylA,AraE,AraB,XylB,AraD,	3	*re37,*re33,*re16,re18,re21,re32,re30,re23,*	8	1	0.7
ArgP	8	RecF-RecR-RecO,LysP,DapD,DapB,LysC,GdhA,LysA,NrdA-NrdB,	6	DapB,LysC,LysA,NrdA-NrdB,LysP,DapD,	4	*re38,*re14,re16,re41,re40,re23,re27,re25,*re21,*re30,re31,re32,re33,re34,*	12	1	0.5
ArgP-arginine	1	ArgO,	0		2	*re5,*re4,*	2	2	0.0
ArgR-L-arginine	23	ArgC,NAGS,Pnp,AstD,HisQ-HisP-HisM-ArgT,AstC,ArgA,ArgD,ArgH,ArgE,TruB,HisP-HisM-HisQ-HisJ,ArtJ-ArtQ-ArtM-ArtP,ArgB,ArgI,CarB-CarA,ArgG,AstB,AstE,ArgF,AstA,LysO,PNPase,	18	ArgF,AstA,AstE,ArgG,CarB-CarA,AstB,ArgI,ArgB,ArtJ-ArtQ-ArtM-ArtP,ArgE,AstC,ArgD,ArgA,ArgH,HisQ-HisP-HisM-ArgT,AstD,ArgC,NAGS,	6	*re40,re43,re45,re47,re48,re72,re70,re68,re56,re54,re52,re50,re92,re79,re76,re74,re80,re81,re63,*re104,*re93,*re112,*re103,*re89,*	24	4	0.6
ArsR	2	ArsB,ArsC,	2	ArsB,ArsC,	2	*re6,re8,*re5,*	3	2	0.7
AscG	2	AscB,AscF,	2	AscB,AscF,	1	*re10,re11,re12,re8,re7,*	5	3	1.0
AsnC	2	AsnA,MnmE-MnmG,	2	MnmE-MnmG,AsnA,	1	*re11,re12,re13,re6,*	4	0	1.0
AtoC-Phosphorylated	3	AtoE,AtoB,AtoA-AtoD,	3	AtoA-AtoD,AtoB,AtoE,	1	*re12,re7,re9,*	3	1	1.0
BCCP	1	AccC,	0		1	*re6,*	1	0	0.0
BaeR-Phosphorylated	2	TolC-MdtC-MdtB-MdtA,AcrD-AcrA-TolC,	0		3	*re16,*re11,*re17,*	3	3	0.0
BasR-Phosphorylated	3	PutA,CsgE-CsgG,DgkA,	1	PutA,	3	*re17,*re22,*re26,re33,re27,*	4	1	0.2
BetI	3	BetB,BetT,BetA,	3	BetB,BetA,BetT,	1	*re10,re6,re13,re7,re8,*	5	1	1.0
BirA-biotinyl-5-adenylate	5	BioF,BioA,BioD,BioC,BioB,	5	BioB,BioC,BioD,BioA,BioF,	1	*re10,re11,re13,re19,re7,re15,re17,re18,re9,*	8	0	1.0
BluR	0		0		0	*	0	0	-0.0
BolA	2	AmpC,DacC,	1	DacC,	2	*re4,*re6,re7,re8,re9,*	5	0	0.3
BtsR-Phosphorylated	1	BtsT,	0		1	*re3,*	1	1	0.0
CadC	3	CadA,CadB,LdcI,	3	CadA,CadB,LdcI,	1	*re5,re8,re9,*	3	2	1.0
CaiF-L-carnitine	5	CaiB,CaiT,CaiC,CaiA,CaiD,	5	CaiD,CaiC,CaiA,CaiT,CaiB,	1	*re12,re14,re16,re18,re21,*	5	1	1.0
Cbl	5	SsuD,SsuE,TauA-TauC-TauB,SsuA-SsuC-SsuB,TauD,	4	SsuD,SsuE,TauA-TauC-TauB,TauD,	2	*re12,*re16,re17,re18,re19,re21,re28,re24,*	8	2	0.7
CdaR	9	GarD,RNA:RnpB,GudD,GarK,GudP,GarR,RnpB,GarL,GarP,	9	GarP,GarL,GudP,RnpB,GarR,GarK,RNA:RnpB,GarD,GudD,	2	*re13,re17,re23,re15,re19,re24,re26,re20,re27,re21,*re31,re32,*	12	3	0.9
CecR	1	YbhS-YbhR-YbhF,	0		1	*re9,*	1	1	0.0
ChbR	3	ChbG,ChbF,ChbA-ChbC-ChbB,	3	ChbA-ChbC-ChbB,ChbG,ChbF,	1	*re10,re15,re9,re17,re14,re18,*	6	2	1.0
ChbR-N-monoacetylchitobiose-6-phosphate	3	ChbG,ChbF,ChbA-ChbC-ChbB,	3	ChbA-ChbC-ChbB,ChbF,ChbG,	1	*re10,re15,re9,re17,re14,re18,*	6	2	1.0
ComR	0		0		0	*	0	0	-0.0
CpxR-Phosphorylated	21	Dsf,LpxA,LdtD,SbmA,OmpC,PpiA,Slt,DegP,FabZ,OmpF,LpxD,AcrD-AcrA-TolC,DgcZ,Ung,TolC-MdtC-MdtB-MdtA,SrkA,AroG,LdtC,DsbC,BacA,CsgE-CsgG,	5	LdtC,LpxD,FabZ,LdtD,LpxA,	60	*re174,*re193,*re103,*re144,*re110,*re164,*re216,*re105,*re170,*re160,*re157,*re98,*re163,*re223,*re177,*re159,*re180,*re168,*re190,*re172,*re167,*re188,*re197,*re189,*re173,*re181,*re178,*re215,*re77,*re145,*re76,*re219,*re114,re231,re232,re115,re233,re116,re119,re124,re136,re120,re138,re234,re237,re238,re241,re236,re118,re121,re239,re122,re240,re123,re235,re117,*re211,*re112,re230,re113,*re166,*re183,*re156,*re187,*re192,*re179,*re182,*re107,*re162,*re186,*re185,*re191,*re129,re130,re131,re133,re134,*re169,*re171,*re176,*re158,*re74,*re214,*re72,*re175,*re155,*re165,*re184,*re161,*	77	44	0.1
Cra	59	PpsA,FbaB,MtlD,BetB,CsgE-CsgG,CyoD-CyoA-CyoB-CyoC,AdhE,SucA-SucB-Lpd,AceE-AceF-Lpd,BetT,Icd,Glk,CydA-CydB-CydX,SetA,GapA,Zwf,PoxB,Edd,Epd,PfkA,MtlA,FruB-FruA,FruK,CyoE,NirC,Pgk,AroP,HypF,PrpB,PrpC,Pck,TpiA,AceB,TreB-Crr,AcnA,Eda,Lpd,AceK,PrpE,MurP-Crr,AceF,AceA,Eno,BetA,AceE,CysG,PrpD,Lpd-GcvP-GcvH-GcvT,GpmM,PykF,PdeL,Mpl,EIIMtl,PtsG-Crr,NirD-NirB,FbaA,Ppc,AcnB,ManZ-ManY-ManX,	55	AcnA,Eda,TreB-Crr,AceB,TpiA,AceK,PrpE,Lpd,Pgk,NirC,CyoE,Pck,PrpC,HypF,PrpB,EIIMtl,PtsG-Crr,Mpl,ManZ-ManY-ManX,AcnB,FbaA,Ppc,NirD-NirB,AceE,CysG,PrpD,Eno,BetA,AceF,AceA,MurP-Crr,PykF,GpmM,Lpd-GcvP-GcvH-GcvT,AceE-AceF-Lpd,SucA-SucB-Lpd,AdhE,CyoD-CyoA-CyoB-CyoC,FbaB,PpsA,BetB,MtlD,MtlA,PfkA,Epd,FruK,FruB-FruA,Glk,CydA-CydB-CydX,Icd,BetT,Edd,Zwf,GapA,PoxB,	14	*re267,*re94,re95,*re102,*re100,re254,re153,re154,re155,re189,re190,re191,re198,re105,re104,re248,re199,re195,re200,re256,re237,re159,re183,re245,re177,re165,re166,re163,re242,re271,re175,re172,re170,re171,re212,re123,re124,re126,re128,re207,re208,re209,re210,re181,re211,re223,re224,re227,re243,re180,re275,re278,re279,re250,re252,re247,re137,re202,re203,re194,re204,re232,re234,re85,re265,re277,re86,re87,re90,re257,re261,re145,re185,re186,re187,re83,re276,re81,re97,re98,re89,re280,re91,re259,re157,*re109,*re147,re148,re149,re150,re151,*re220,re221,*re193,*re103,*re111,re112,re113,re115,re118,re196,*re107,*re132,*re108,*re239,*	100	23	0.8
CreB-Phosphorylated	2	MalK-MalF-MalG-MalE,TalA,	0		4	*re15,*re11,*re10,*re9,*	4	3	0.0
CsgD	5	DgcC,WrbA,TcyN-TcyL-TcyJ,CsgE-CsgG,PepD,	2	PepD,TcyN-TcyL-TcyJ,	13	*re60,re64,*re58,*re72,*re71,*re66,*re39,*re68,*re59,*re63,*re35,*re67,*re70,*re65,*	14	7	0.1
CsiR	4	GabD,LhgO,GabT,GabP,	4	GabT,GabP,GabD,LhgO,	1	*re10,re12,re13,re15,re8,*	5	1	1.0
CspA	1	GyrA-GyrB,	0		1	*re5,*	1	0	0.0
CueR-Cu	5	MoaC,MoaD-MoaE,CueO,MoaA,CopA,	5	CopA,CueO,MoaA,MoaD-MoaE,MoaC,	2	*re11,re12,re13,re14,re9,*re16,re19,re22,*	8	1	0.8
CusR-Pasp	4	CyoE,CusC-CusB-CusF-CusA,YedX,CyoD-CyoA-CyoB-CyoC,	0		5	*re24,*re31,*re15,*re16,*re29,*	5	3	0.0
CynR	0		0		0	*	0	0	-0.0
CynR-cyanate	3	CynS,CynT,CynX,	3	CynS,CynX,CynT,	1	*re5,re10,re7,re9,*	3	1	1.0
