# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Mon May 14 20:52:25 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/GUs_SRs/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
AccB	2	AccC,AccD-AccA-AccC-AccB,	2	AccC,AccD-AccA-AccC-AccB,	1	*re5,re7,*	2	0	1.0
AcrR	2	AcrD-AcrA-TolC,AcrA-TolC-AcrB,	0		2	*re14,*re16,*	2	2	0.0
Ada	4	AlkB,AidB,Ada,AlkA,	1	AlkB,	4	*re12,re13,re14,re15,*re6,*re10,*re8,*	7	0	0.1
AdiY	4	GadB,GadC,GadA,AdiA,	4	GadB,GadC,GadA,AdiA,	1	*re10,re12,re15,*	3	1	1.0
AgaR	1	KbaY-KbaZ,	0		1	*re25,*	1	0	0.0
AidB	1	AidB,	0		1	*re3,*	1	0	0.0
AlaS	1	AlaS,	0		1	*re3,*	1	0	0.0
AllR	6	Hyi,AllA,Gcl,GlxR,GlxK,AllB,	6	Hyi,AllA,Gcl,GlxR,AllB,GlxK,	1	*re11,re16,re20,re18,re22,re25,re13,*	6	0	1.0
AllS	3	AllC,AllD,AllE,	3	AllC,AllD,AllE,	1	*re5,re9,re7,*	3	0	1.0
AlsR	3	AlsE,AlsA-AlsC-AlsB,RpiB,	2	AlsE,RpiB,	3	*re16,*re9,*re13,re15,*	4	1	0.4
AppY	2	AppC-AppB,AppA,	0		3	*re12,*re16,*re13,*	3	1	0.0
AraC	7	AraE,XylB,AraA,XylA,AraD,AraG-AraH-AraF,AraB,	7	AraE,XylB,AraA,XylA,AraD,AraG-AraH-AraF,AraB,	2	*re16,re18,re21,re32,re30,re23,*re33,*	7	1	0.9
ArgP	9	LysP,NrdA-NrdB,DapB,GdhA,LysA,RecF-RecR-RecO,ArgO,LysC,DapD,	6	LysP,LysA,LysC,NrdA-NrdB,DapD,DapB,	5	*re35,re36,re37,re38,re39,*re43,*re19,re21,re46,re45,re28,re32,re30,*re16,*re26,*	13	2	0.5
ArgR	23	PNPase,ArgE,ArgD,CarB-CarA,ArgF,HisP-HisM-HisQ-HisJ,AstA,HisQ-HisP-HisM-ArgT,ArgG,AstE,Pnp,TruB,AstD,AstC,ArgB,ArtJ-ArtQ-ArtM-ArtP,ArgI,LysO,NAGS,ArgA,ArgH,ArgC,AstB,	18	ArgE,ArgD,CarB-CarA,ArgF,AstA,HisQ-HisP-HisM-ArgT,ArgG,AstE,AstD,AstC,ArtJ-ArtQ-ArtM-ArtP,ArgB,ArgI,NAGS,ArgA,ArgH,ArgC,AstB,	6	*re104,*re89,*re40,re43,re45,re47,re48,re72,re70,re68,re56,re54,re52,re50,re92,re79,re76,re74,re80,re81,re63,*re93,*re112,*re103,*	24	4	0.6
ArsR	2	ArsC,ArsB,	2	ArsC,ArsB,	1	*re5,re7,*	2	1	1.0
