# From /Users/Daniela/Documents/CCG/datasets/GOs/scripts/get_uniq_lowest_levels_v2.pl on Tue Oct  2 15:34:09 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/v2/all_go_levels_extended.txt
GO ID	GO level	Total Genes	Genes in GO	GO name
GO:0008150	1	2981	aaeA,aaeB,aaeR,aas,abgA,abgB,abgR,abgT,abpA,abpB,accA,accB,accC,accD,aceA,aceB,aceF,aceK,ackA,acnA,acnB,acpH,acpP,acpS,acpT,acrA,acrB,acrD,acrE,acrF,acrR,acrZ,acs,actP,ada,add,ade,adeD,adeP,adeQ,adhE,adhP,adiA,adiC,adiY,adk,aer,aes,afuB,afuC,agaA,agaB,agaC,agaD,agaI,agaR,agaS,agaV,agaW,agp,ahpC,ahr,aidB,ais,alaA,alaC,alaE,alaS,aldA,aldB,alkA,alkB,allB,allC,allD,allR,allS,alpA,alr,alsA,alsB,alsC,alsE,alsK,amiA,amiB,amiC,amiD,ampD,ampE,ampG,ampH,amtB,amyA,ansA,ansB,apaH,aphA,appA,appB,appC,appY,apt,aqpZ,araA,araB,araC,araD,araE,araF,araG,araH,arcA,arcB,arcC,arfA,arfB,argA,argB,argC,argD,argE,argF,argG,argH,argI,argK,argO,argP,argR,argS,argT,ariR,arnA,arnB,arnD,arnE,arnF,arnT,aroA,aroB,aroC,aroD,aroE,aroF,aroG,aroH,aroK,aroL,aroP,arsB,arsC,arsR,artI,artJ,artM,artP,artQ,ascB,ascF,ascG,asd,aslB,asmA,asnA,asnB,asnC,asnS,aspA,aspC,aspS,asr,astB,astC,atoB,atoC,atoS,atpA,atpB,atpC,atpD,atpE,atpF,atpG,atpH,avtA,azoR,bacA,baeR,baeS,bamA,bamB,bamC,bamD,bamE,barA,basR,basS,bcp,bcr,bcsA,bcsQ,bdcA,bdcR,bdm,bepA,betA,betB,betI,betT,bfr,bglA,bglB,bglF,bglH,bglJ,bglX,bhsA,bioA,bioB,bioC,bioD,bioD1,bioD2,bioF,bioH,bioP,bipA,birA,bisC,blc,blr,bluF,bluR,bolA,borD,brnQ,bsmA,bssR,bssS,btuB,btuC,btuD,btuE,btuF,btuR,cadA,cadB,cadC,caiB,caiD,caiE,caiF,caiT,carA,carB,cas1,cas2,cas3,casA,casB,casC,casD,casE,cbeA,cbl,cbpM,cbrA,cbrC,cbtA,cca,ccmA,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,cdaR,cdd,cdgI,cdh,cdsA,cecR,cedA,cfa,chaA,chaC,chbA,chbB,chbC,chbF,chbG,chbR,cheA,cheB,cheR,cheW,cheY,cheZ,chiP,cho,chpB,chpS,cirA,citC,citE,citG,citT,citX,clcA,clcB,clpA,clpB,clpP,clpS,clpX,clsA,clsB,clsC,cmk,cmoA,cmoB,cmoM,cmtA,cmtB,cnu,coaA,coaD,coaE,cobB,cobC,cobS,cobT,cobU,codA,codB,cof,comR,copA,corA,cpdA,cpdB,cpoB,cpsB,cpsG,cptB,cpxA,cpxP,cpxR,cra,crcB,creB,creC,crfC,crl,crp,crr,csdA,csdE,csgA,csgB,csgD,csgE,csgF,csgG,csiD,csiR,cspA,cspB,cspC,cspD,cspE,cspG,cspI,csrA,csrD,cstA,cueO,cueR,curA,cusA,cusB,cusC,cusF,cusR,cusS,cutA,cutC,cvpA,cvrA,cyaA,cyaY,cycA,cydA,cydB,cydC,cydD,cynS,cynT,cynX,cyoA,cyoB,cyoC,cyoD,cyoE,cysA,cysB,cysC,cysD,cysE,cysG,cysH,cysI,cysK,cysM,cysN,cysP,cysQ,cysS,cysU,cysW,cysZ,cytR,dacA,dacB,dacC,dacD,dadA,dam,dapA,dapB,dapD,dapF,dauA,dbpA,dcd,dcm,dcp,dctA,dctR,dcuA,dcuB,dcuC,dcuD,dcuR,dcuS,dcyD,ddlA,ddlB,ddpA,ddpX,deaD,decR,dedD,def,degP,degQ,degS,deoA,deoB,deoC,deoD,deoR,der,dfp,dgcE,dgcF,dgcJ,dgcM,dgcN,dgcQ,dgcT,dgcZ,dgkA,dgoA,dgoD,dgoK,dgoR,dgoT,dgt,dhaK,dhaL,dhaM,dhaR,diaA,dicA,dicB,dicC,dinB,dinD,dinG,dinI,dinJ,dinQ,djlC,dkgA,dkgB,dld,dmlA,dmlR,dmsA,dmsB,dmsC,dnaA,dnaB,dnaC,dnaE,dnaG,dnaJ,dnaK,dnaN,dnaQ,dnaT,dnaX,dosP,dpiA,dpiB,dppA,dppB,dppC,dppD,dppF,dps,dsbA,dsbB,dsbC,dsbD,dsbG,dsdA,dsdC,dsdX,dtd,dtpA,dtpB,dtpC,dtpD,dusB,dusC,dut,dxr,dxs,eamA,eamB,ebgA,ebgR,eco,ecpR,eda,edd,efeO,efp,elaA,elaB,elaD,elbB,elfA,elfC,elfD,elfG,elyC,emrB,emrD,emrE,emrK,emrY,endA,eno,entA,entB,entC,entD,entE,entF,entH,entS,envC,envR,envY,envZ,epd,epmA,epmB,epmC,eptA,eptB,eptC,era,erfK,erpA,essD,etk,etp,ettA,eutA,eutB,eutD,eutK,eutN,eutR,evgA,evgS,exbB,exbD,exoX,exuR,exuT,fabA,fabB,fabD,fabG,fabH,fabI,fabR,fabZ,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadK,fadL,fadM,fadR,fau,fbaA,fbp,fcl,fdhD,fdhE,fdhF,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,fdrA,fdx,feaB,feaR,fecA,fecB,fecC,fecD,feoA,feoB,feoC,fepA,fepB,fepC,fepD,fepE,fepG,fes,fetA,fetB,ffh,fhlA,fhuB,fhuC,fhuD,fhuF,fic,fieF,fimA,fimB,fimC,fimD,fimE,fimF,fimG,fimH,fimI,fimZ,fis,fiu,fixA,fixB,fixC,fklB,fkpA,fkpB,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgM,flhA,flhC,flhD,flhE,fliA,fliD,fliG,fliK,fliL,fliM,fliS,fliT,fliZ,fmt,fnr,focA,focB,folA,folC,folD,folE,folM,folP,folX,fpr,frc,frdA,frdB,frdC,frdD,fre,frlA,frlB,frlC,frlR,frmA,frmB,frmR,frr,frsA,fruA,fruB,fruK,frvA,frvB,frvR,frwB,frwC,frwD,fryA,fryB,fryC,fsr,ftnA,ftnB,ftp,ftsA,ftsB,ftsE,ftsH,ftsI,ftsK,ftsL,ftsN,ftsP,ftsQ,ftsW,ftsX,ftsY,ftsZ,fucA,fucI,fucK,fucO,fucP,fumA,fumB,fumC,fur,gabD,gabP,gabT,gadA,gadB,gadC,gadE,gadW,gadX,galE,galF,galK,galM,galP,galR,galS,galT,galU,gapA,gapC,garD,garK,garL,garP,garR,gatA,gatB,gatC,gatD,gatY,gatZ,gcd,gcl,gcvA,gcvH,gcvP,gcvR,gcvT,gdhA,gfcE,ggt,ghoS,ghoT,ghrB,ghxP,ghxQ,glcA,glcB,glcC,glcD,glcE,glcF,gldA,glgA,glgB,glgC,glgP,glgS,glgX,glk,glmM,glmS,glmU,glnA,glnB,glnD,glnE,glnH,glnK,glnL,glnP,glnQ,glnS,gloA,gloB,gloC,glpA,glpB,glpC,glpD,glpF,glpG,glpK,glpR,glpT,glpX,glrK,glrR,glsA,glsA1,glsA2,glsB,gltB,gltD,gltI,gltK,gltL,gltP,gltS,gltX,gluQ,glvB,glvC,glxK,glxR,glyA,glyS,gmd,gmhB,gmk,gnd,gnsB,gntK,gntP,gntR,gntT,gntU,gor,gph,gpmA,gpmM,gpp,gppA,gpr,gpsA,gpt,grcA,greA,greB,groL,groS,grpE,grxD,gshA,gshB,gsiA,gsiB,gsiC,gsiD,gspE,gspF,gspI,gspJ,gstA,gstB,guaA,guaB,guaC,guaD,gudD,gudP,gudX,gutM,gutQ,gyrA,gyrB,hcaB,hcaC,hcaD,hcaE,hcaF,hcaR,hcaT,hchA,hcp,hda,hdeA,hdeB,hdeD,hdfR,hdhA,helD,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hexR,hflC,hflD,hflK,hflX,hfq,hha,hicA,hicB,higA,higB,hinT,hipA,hipB,hisA,hisB,hisC,hisD,hisF,hisG,hisH,hisI,hisM,hisP,hisQ,hisS,hiuH,hldE,hlyE,hmp,hns,hofC,hofM,hofN,hofO,hofP,hofQ,hokB,hokE,holA,holB,holC,holD,holE,hpf,hprR,hprS,hpt,hrpA,hrsA,hscA,hscB,hscC,hsdM,hsdR,hslJ,hslO,hslR,hslU,hslV,hsrA,htpG,htpX,htrE,hupA,hupB,hxpA,hxpB,hyaA,hyaB,hyaC,hyaD,hybA,hybB,hybC,hybD,hybE,hybF,hybG,hybO,hycA,hycB,hycH,hycI,hyfA,hyfC,hyfF,hyfR,hyi,hypA,hypB,hypC,hypD,hypE,hypF,hypT,iaaA,iap,ibaG,ibpA,ibpB,ibsA,ibsB,ibsC,ibsD,ibsE,icd,iclR,idi,idnD,idnK,idnO,idnT,ihfA,ihfB,ileS,ilvA,ilvB,ilvC,ilvD,ilvE,ilvH,ilvI,ilvL,ilvM,ilvN,infB,infC,insA-1,insA-2,insB-2,insB-4,insE-1,insF-1,insH-5,insH-6,insI-1,insI-2,insI1,insI3,insI4,insK,intA,intE,intF,intQ,intS,intZ,iraD,iraM,iraP,iscA,iscR,iscS,iscU,iscX,ispA,ispB,ispF,ispG,ispH,ispU,ivbL,ivy,katE,katG,kbaY,kbaZ,kbp,kch,kdgK,kdgR,kdgT,kdpA,kdpB,kdpC,kdpD,kdpE,kdpF,kdsA,kdsB,kdsC,kdsD,kduD,kduI,kefB,kefC,kefF,kefG,kgtP,kilR,kup,lacI,lacY,lacZ,lamB,lapA,lapB,lasT,ldcA,ldcC,ldhA,ldrA,ldrB,ldrD,ldtA,ldtB,ldtC,ldtD,ldtE,lepA,lepB,leuA,leuB,leuC,leuD,leuE,leuO,leuS,lexA,lgoD,lgoR,lgoT,lgt,lhr,ligA,ligB,lipA,lipB,lit,livF,livG,livH,livJ,livK,livM,lldD,lldP,lldR,lnt,lolA,lolB,lolC,lolD,lolE,lon,lpcA,lpd,lplA,lplT,lpoA,lpoB,lpp,lptA,lptB,lptC,lptD,lptE,lptF,lptG,lpxB,lpxC,lpxD,lpxH,lpxK,lpxL,lpxM,lpxP,lpxT,lrhA,lrp,lspA,lsrA,lsrB,lsrC,lsrD,lsrG,lsrK,lsrR,ltaE,luxS,lysA,lysC,lysO,lysP,lysR,lysS,lysU,lyxK,maa,macA,macB,maeA,mak,malE,malF,malG,malI,malK,malP,malQ,malS,malX,malY,malZ,manA,manX,manY,manZ,maoP,map,marA,marR,matP,mazF,mazG,mcbA,mcbR,mcrA,mcrB,mdaB,mdfA,mdh,mdlA,mdlB,mdoD,mdoG,mdtA,mdtB,mdtC,mdtD,mdtE,mdtF,mdtG,mdtI,mdtJ,mdtK,mdtL,mdtM,mdtN,mdtO,mdtP,mdtQ,melA,melB,melR,menA,menB,menC,menD,menE,menF,menH,menI,mepA,mepH,mepM,mepS,metB,metC,metE,metF,metG,metH,metI,metK,metL,metN,metQ,metR,mfd,mglA,mglB,mglC,mgrB,mgsA,mgtA,mgtL,mhpA,mhpB,mhpC,mhpD,mhpR,mhpT,miaA,miaB,minC,minD,minE,mioC,mipA,mlaB,mlaC,mlaD,mlaE,mlaF,mlc,mliC,mltA,mltB,mltC,mltD,mltF,mltG,mmuM,mmuP,mnaT,mngA,mngB,mngR,mnmA,mnmC,mnmE,mnmG,mntH,mntP,mntR,mntS,moaA,moaB,moaC,moaD,moaE,mobA,mocA,modA,modB,modC,moeA,moeB,mog,motA,mpaA,mppA,mprA,mqsA,mqsR,mraY,mraZ,mrcA,mrcB,mrdA,mrdB,mreB,mreC,mreD,mrp,mrr,msbA,mscK,mscL,mscM,mscS,msrA,msrB,msrC,msrP,msrQ,mtfA,mtgA,mtlA,mtlD,mtlR,mtn,mtnN,mtr,mug,mukB,murA,murB,murC,murD,murE,murF,murG,murI,murJ,murP,murQ,murR,mutH,mutL,mutM,mutS,mutT,mutY,mzrA,nac,nadA,nadB,nadC,nadD,nadE,nadK,nagA,nagB,nagC,nagD,nagE,nagK,nagZ,nanA,nanC,nanE,nanK,nanR,nanS,nanT,napA,napB,napC,napD,napF,narG,narH,narI,narJ,narK,narL,narP,narQ,narU,narV,narW,narX,narY,narZ,ndh,ndk,nei,nemA,nemR,nepI,nfi,nfo,nfsB,nfuA,nhaA,nhaB,nhaR,nhoA,nikA,nikB,nikC,nikD,nikE,nikR,nimR,nimT,nirB,nirC,nirD,nlpA,nlpD,nlpE,nlpI,nmpC,norR,norV,norW,npr,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,nrdH,nrdI,nrdR,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,nsrR,nth,nudB,nudC,nudF,nudG,nuoB,nuoE,nuoF,nuoG,nuoH,nuoI,nuoL,nuoM,nuoN,nupC,nupG,nupX,nusA,nusG,obgE,ogrK,ogt,ompA,ompC,ompF,ompG,ompL,ompN,ompR,ompT,ompW,opgB,opgC,opgD,opgE,opgG,opgH,oppA,oppB,oppC,oppD,oppF,orn,ortT,osmC,osmE,osmF,osmY,otsA,otsB,oxc,oxyR,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,pabA,pabB,pabC,pagP,pal,panB,panC,panD,panE,panF,panZ,paoC,parC,parE,patA,patD,patZ,pbpC,pbpG,pck,pckA,pcm,pcnB,pdeD,pdeF,pdeH,pdeK,pdeL,pdeR,pdhR,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pepA,pepB,pepD,pepN,pepQ,pepT,perR,pfkA,pfkB,pflA,pflB,pflC,pgaA,pgaB,pgaC,pgaD,pgi,pgk,pgl,pgm,pgpA,pgpB,pgpC,pgrR,pgsA,pheA,pheM,pheP,pheS,pheT,phnC,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP,phoA,phoB,phoE,phoP,phoQ,phoR,phoU,phr,pinE,pinQ,pinR,pitA,pitB,plaP,pldB,pliG,plsB,plsC,plsX,pmbA,pncB,pnp,pntA,pntB,pnuC,polA,polB,potA,potB,potC,potD,potE,potF,potG,potH,potI,poxB,ppc,pphA,pphB,ppiA,ppiC,ppiD,ppk,pppA,ppsA,ppsR,ppx,prc,preA,preT,prfA,prfB,prfC,priA,priB,priC,prkB,prlC,prlF,prmA,prmB,prmC,proA,proB,proC,proP,proQ,proS,proV,proW,proX,prpB,prpC,prpD,prpR,prs,psd,pspA,pspC,pspD,pspF,pspG,pstA,pstB,pstC,pstS,psuG,psuT,pta,pth,ptrA,ptsG,ptsH,ptsI,ptsN,ptsP,purA,purB,purC,purD,purF,purL,purN,purR,purT,purU,putA,putP,puuA,puuB,puuC,puuD,puuE,puuP,puuR,pykA,pykF,pyrB,pyrC,pyrD,pyrE,pyrF,pyrG,pyrH,pyrL,qorA,qseB,qseC,queA,queC,queD,queE,queF,queG,radA,radD,raiA,ralR,rapA,rapZ,rarA,rarD,ratA,ravA,rayT,rbbA,rbfA,rbn,rbsA,rbsB,rbsC,rbsD,rbsK,rbsR,rcdA,rclA,rclB,rclC,rclR,rcnA,rcnB,rcnR,rcsA,rcsB,rcsC,rcsD,rcsF,rdgB,rdgC,recA,recB,recC,recD,recE,recF,recG,recJ,recN,recO,recQ,recR,recT,recX,relA,relB,relE,rep,rfaB,rfaC,rfaD,rfaE,rfaF,rfaG,rfaH,rfaQ,rfbB,rfbC,rfbD,rfbX,rfe,rffC,rffG,rffH,rffM,rffT,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rhaT,rhlB,rhlE,rhmD,rhmR,rho,rhoL,rhsD,rhtA,rhtB,rhtC,ribA,ribB,ribC,ribD,ribE,ribF,ridA,rihA,rihB,rihC,rimI,rimJ,rimK,rimL,rimM,rimO,rimP,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rlpA,rluA,rluB,rluC,rluD,rluE,rluF,rmf,rmuC,rna,rnb,rnc,rnd,rne,rng,rnhA,rnhB,rnk,rnlA,rnlB,rnpA,rnr,rnt,rodZ,rof,roxA,rpe,rph,rpiA,rpiB,rpiR,rplA,rplB,rplC,rplD,rplE,rplF,rplI,rplJ,rplK,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmF,rpmG,rpmH,rpmJ,rpnA,rpnB,rpnC,rpnD,rpoA,rpoD,rpoE,rpoH,rpoS,rppH,rpsA,rpsB,rpsD,rpsE,rpsG,rpsH,rpsI,rpsJ,rpsK,rpsL,rpsM,rpsN,rpsO,rpsP,rpsQ,rpsR,rpsS,rpsT,rraA,rraB,rrrD,rrrQ,rseB,rseC,rseP,rsfS,rsgA,rsmA,rsmB,rsmC,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rspB,rssA,rssB,rstB,rsuA,rtcB,rtcR,rusA,rutA,rutB,rutC,rutD,rutE,rutF,rutG,rutR,ruvA,ruvB,ruvC,rzoD,rzoR,rzpD,rzpR,sad,sanA,sapA,sapB,sapC,sapD,sapF,satP,sbcB,sbcC,sbcD,sbmA,sbmC,sbp,scpB,scpC,sdaA,sdaB,sdaC,sdhA,sdhB,sdhC,sdhD,sdhE,sdiA,secA,secB,secD,secE,secF,secG,secM,secY,selA,selB,selD,selU,seqA,serA,serB,serC,serS,setA,setB,setC,sfmA,sfmC,sfmD,sfmF,sfmH,sfsA,sfsB,sgbE,sgbH,sgbU,sgcA,sgcB,sgcC,sgcE,sgcR,sgcX,sgrR,sgrT,shiA,shoB,sixA,skp,slmA,slt,slyA,slyD,smpB,smrA,sodA,sodB,sodC,sohB,solA,soxR,soxS,speA,speB,speC,speD,speE,speF,speG,spoT,sppA,spy,srkA,srlA,srlB,srlD,srlE,srlR,srmB,ssb,sseA,sspA,sspB,sstT,ssuA,ssuB,ssuC,ssuD,ssuE,sthA,stpA,sucA,sucB,sucC,sucD,sufA,sufB,sufC,sufD,sufE,sufS,sugE,suhB,sulA,surA,surE,sutR,sxy,syd,symE,tabA,tadA,tag,talB,tamA,tamB,tap,tar,tas,tatA,tatB,tatC,tatD,tatE,tauA,tauB,tauC,tauD,tbpA,tcdA,tcyJ,tcyL,tcyN,tcyP,tdcA,tdcB,tdcC,tdcD,tdcE,tdcF,tdcG,tdcR,tdh,tdk,tehA,tehB,tesB,tgt,thiC,thiD,thiE,thiG,thiH,thiI,thiL,thiM,thiP,thiQ,thrA,thrB,thrC,thrL,thrS,thyA,tig,tilS,tisB,tktA,tktB,tldD,tmcA,tmk,tnaA,tnaB,tnaC,tolA,tolB,tolC,tolQ,tolR,tomB,tonB,topA,topAI,topB,torA,torC,torD,torI,torR,torS,torY,torZ,tpiA,tpx,tqsA,treA,treB,treC,treF,treR,trg,trkA,trkG,trkH,trmA,trmB,trmD,trmH,trmI,trmJ,trmL,trmO,trpA,trpB,trpC,trpD,trpE,trpGD,trpL,trpR,trpS,truA,truB,truC,truD,trxA,trxC,tsaB,tsaC,tsaD,tsaE,tsf,tsgA,tsr,tsx,ttcA,ttdA,ttdB,ttdR,ttdT,tufA,tufB,tus,tusA,tusB,tusC,tusD,tusE,tynA,tyrA,tyrB,tyrR,tyrS,uacT,ubiA,ubiB,ubiC,ubiD,ubiE,ubiF,ubiG,ubiH,ubiI,ubiJ,ubiX,udk,udp,ugd,ugpA,ugpB,ugpC,ugpE,uhpA,uhpB,uhpC,uhpT,uidA,uidC,uidR,ulaA,ulaB,ulaC,ulaD,ulaE,ulaF,ulaG,ulaR,umpG,umpH,umuC,umuD,ung,uof,upp,uraA,ushA,uspB,uspC,uspE,uspF,uspG,uup,uvrA,uvrB,uvrC,uvrD,uvrY,uxaA,uxaB,uxaC,uxuA,uxuB,uxuR,valS,viaA,vsr,waaA,waaB,waaC,waaF,waaG,waaH,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbK,wcaB,wcaC,wcaJ,wecA,wecB,wecC,wecE,wrbA,wza,wzb,wzc,wzyE,wzzB,wzzE,xanP,xanQ,xapA,xapB,xapR,xdhB,xerC,xerD,xisE,xisR,xseA,xseB,xthA,xylA,xylB,xylE,xylF,xylG,xylH,xylR,yaaA,yaaJ,yaaU,yaaY,yabI,yacG,yadC,yadG,yadI,yadK,yadM,yadN,yadV,yafC,yafE,yafN,yafO,yafQ,yafS,yagE,yagF,yagG,yagI,yagJ,yagU,yahB,yahD,yahF,yahI,yahK,yahN,yahO,yaiP,yaiV,yaiW,yajD,yajL,yajO,yajQ,yajR,ybaE,ybaK,ybaL,ybaM,ybaO,ybaQ,ybaT,ybbN,ybbW,ybbY,ybcC,ybcF,ybcJ,ybcL,ybcM,ybcQ,ybdG,ybdH,ybdM,ybdN,ybdO,ybdR,ybdZ,ybeF,ybeQ,ybeY,ybfA,ybfE,ybfF,ybgI,ybgP,ybgQ,ybhA,ybhD,ybhF,ybhG,ybhI,ybhJ,ybhP,ybhR,ybhS,ybiA,ybiH,ybiI,ybiJ,ybiO,ybiS,ybiT,ybiV,ybiW,ybiX,ybiY,ybjC,ybjD,ybjG,ybjI,ybjL,ybjN,ybjX,ycaN,ycaO,ycbB,ycbU,ycbV,ycbX,yccA,yccS,yccX,ycdX,ycdY,yceD,yceK,yceO,ycfH,ycfJ,ycfL,ycfS,ycgB,ycgM,ycgR,ycgV,ychF,ychH,ychO,yciA,yciE,yciF,yciG,yciH,yciK,yciT,yciV,ycjD,ycjP,ycjQ,ycjR,ycjU,ycjW,ycjY,ydaC,ydaN,ydaV,ydbD,ydbK,ydcI,ydcM,ydcO,ydcP,ydcR,ydcS,ydcT,ydcZ,yddA,yddG,yddL,yddM,ydeE,ydeI,ydeM,ydeO,ydeP,ydeT,ydfD,ydfG,ydfH,ydfK,ydgA,ydhC,ydhJ,ydhK,ydhQ,ydiB,ydiF,ydiK,ydiO,ydiP,ydiQ,ydiR,ydiV,ydiZ,ydjE,ydjH,ydjJ,ydjK,ydjL,ydjM,yeaD,yeaE,yeaG,yeaK,yeaV,yebC,yebG,yebK,yebQ,yebS,yebZ,yecS,yedA,yedF,yedL,yedP,yedX,yeeA,yeeJ,yeeL,yeeO,yeeY,yefM,yegD,yegS,yegT,yegV,yehA,yehB,yehC,yehD,yehP,yehT,yehU,yehW,yehX,yehY,yehZ,yeiE,yeiG,yeiL,yejA,yejB,yejE,yejF,yfaE,yfaL,yfaU,yfaV,yfaX,yfbR,yfbS,yfbU,yfbV,yfcA,yfcF,yfcG,yfcP,yfcQ,yfcR,yfcS,yfcU,yfcV,yfdC,yfdG,yfdK,yfdO,yfdR,yfdS,yfeD,yfeO,yfeR,yfeW,yfeX,yfgI,yfgJ,yfgO,yfhH,yfhM,yfiC,yfiE,yfiF,yfiR,yfjR,yfjV,ygaH,ygaV,ygaZ,ygbI,ygbL,ygbM,ygbN,ygcO,ygcR,ygcW,ygdG,ygeA,ygeR,ygeV,ygeW,ygeX,ygfA,ygfI,ygfX,ygfZ,yggD,yggE,yggF,yggN,yggP,yggT,yggW,yggX,yghB,yghG,yghO,yghU,yghW,ygiB,ygiN,ygiS,ygiV,ygiW,ygjH,ygjK,ygjR,yhaC,yhaJ,yhaM,yhaO,yhaV,yhbO,yhbQ,yhbS,yhbX,yhbY,yhcD,yhcF,yhcH,yhcN,yhdH,yhdJ,yhdW,yhdX,yhdZ,yheT,yhfK,yhfS,yhgF,yhgH,yhhT,yhhY,yhhZ,yhiM,yhjA,yhjB,yhjC,yhjD,yhjG,yhjR,yhjV,yhjX,yiaA,yiaB,yiaF,yiaJ,yiaL,yiaM,yiaN,yiaO,yiaT,yiaU,yibA,yibF,yibH,yibT,yicJ,yidA,yidC,yidD,yidE,yidH,yidK,yidL,yidP,yidQ,yidR,yidZ,yieE,yieF,yieH,yieK,yieL,yifB,yigB,yigL,yihI,yihL,yihO,yihP,yihQ,yihR,yihS,yihT,yihU,yihV,yihW,yihX,yiiD,yiiE,yiiM,yijE,yijO,yjaA,yjaZ,yjbB,yjbE,yjbF,yjbG,yjbH,yjcE,yjcO,yjcS,yjeH,yjeI,yjfF,yjfP,yjgX,yjhB,yjhC,yjhG,yjhH,yjhI,yjhP,yjiA,yjiM,yjiQ,yjiR,yjiX,yjiY,yjjB,yjjG,yjjI,yjjQ,yjjU,yjjV,yjjW,yjjX,yjtD,ykfI,ykfM,ykgA,ykgF,ykgM,ykgO,ymdB,ymfA,ymfK,ymgA,ymgC,ymgF,ymjB,ynaE,ynaI,ynbB,ynbC,ynbD,yneE,yneJ,yneL,ynfE,ynfF,ynfH,ynfK,ynfL,ynhF,ynhG,ynjA,ynjD,yoaA,yoaB,yobA,yobF,yodD,yoeB,yoeE,yohC,yohD,yojI,ypdA,ypdB,ypdC,ypdF,ypdI,yphB,yphC,yphD,yphF,ypjD,yqaA,yqaB,yqaE,yqcC,yqcG,yqeA,yqeF,yqeG,yqgB,yqgF,yqhC,yqhD,yqiG,yqiH,yqiI,yqiJ,yqjA,yqjH,yqjI,yraH,yraI,yraJ,yraK,yraN,yraR,yrbG,yrdA,yrfG,ytfE,ytfP,ytfQ,ytfR,ytfT,zapA,zapB,zapC,zapD,zapE,zinT,zipA,zitB,zntA,zntR,znuA,znuB,znuC,zraR,zraS,zupT,zur,zwf,	biological process
GO:0001906	2	5	essD,hlyE,rrrD,rrrQ,ydfD,	cell killing
GO:0031640	3	5	essD,hlyE,rrrD,rrrQ,ydfD,	killing of cells of other organism
GO:0051715	4	1	hlyE,	cytolysis in other organism
GO:0044179	5	1	hlyE,	hemolysis in other organism
GO:0051883	4	4	essD,rrrD,rrrQ,ydfD,	killing of cells in other organism involved in symbiotic interaction
GO:0001907	5	4	essD,rrrD,rrrQ,ydfD,	killing by symbiont of host cells
GO:0039633	6	4	essD,rrrD,rrrQ,ydfD,	killing by virus of host cell
GO:0044659	7	4	essD,rrrD,rrrQ,ydfD,	cytolysis by virus of host cell
GO:0002376	2	10	abpA,abpB,cas1,cas3,casA,casB,casC,casD,casE,cobB,	immune system process
