#
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#

# Release: 9.1 Date: 04-07-2016
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#
AccB	accBC[accBp]	-	[null]	Weak	
AcrR	acrAB[acrAp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
AcrR	acrR[acrRp]	-	[AIBSCS, BCE, BPP, GEA, HIBSCS]	Weak	
AcrR	marRAB[marRp]	-	[BPP, GEA, HIBSCS]	Strong	
AcrR	micF[micFp]	-	[AIBSCS]	Weak	
AcrR	soxR[soxRp]	-	[BPP, GEA, HIBSCS]	Strong	
AcrR	soxS[soxSp]	-	[BPP, GEA, HIBSCS]	Strong	
Ada	ada-alkB[adap]	+	[BPP, GEA, HIBSCS, SM]	Strong	
Ada	aidB[aidBp]	+	[BPP, GEA, HIBSCS]	Strong	
Ada	alkA[alkAp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
AdiY	adiA[adiAp]	+	[BPP, GEA]	Strong	
AdiY	gadAX[gadAp]	+	[BPP]	Strong	
AdiY	gadBC[gadBp]	+	[BPP]	Strong	
AdiY	gltBDF[gltBp]	+	[BPP]	Strong	
AgaR	agaR[agaRp]	-	[BPP, GEA, HIBSCS]	Strong	
AgaR	agaS-kbaY-agaBCDI[agaSp]	-	[BPP, GEA, HIBSCS]	Strong	
AgaR	kbaZ-agaVWA[kbaZp]	-	[BPP, GEA, HIBSCS]	Strong	
AidB	aidB[aidBp]	-	[BPP, GEA]	Strong	
AlaS	alaS[alaSp]	-	[BPP, GEA]	Strong	
AllR	allA[allAp]	-	[BCE, BPP, GEA, SM]	Weak	
AllR	allS[allSp]	-	[BCE, BPP, GEA, SM]	Weak	
AllR	gcl-hyi-glxR-ybbW-allB-ybbY-glxK[gclp]	-	[BCE, BPP, GEA, SM]	Weak	
AllS	allDCE[allDp]	+	[BCE, HIBSCS]	Weak	
AlsR	rpiB[rpiBp]	-	[GEA]	Weak	
AlsR	rpiR-alsBACE[alsRp2]	-	[GEA]	Weak	
AlsR	rpiR-alsBACE[alsRp1]	-	[GEA]	Weak	
AppY	appCBXA[appCp]	+	[GEA]	Weak	
AppY	hyaABCDEF[hyaAp]	+	[GEA]	Weak	
AraC	araBAD[araBp]	+	[BPP, GEA, HIBSCS, SM, BCE]	Strong	
AraC	araC[araCp]	+	[BPP, GEA, HIBSCS, SM, BCE]	Strong	
AraC	araE[araEp]	+	[BPP, HIBSCS]	Strong	
AraC	araE-ygeA[araEp]	+	[BPP, HIBSCS]	Strong	
AraC	araFGH[araFp]	+	[AIBSCS, BPP, HIBSCS, SM]	Weak	
AraC	araJ[araJp]	+	[AIBSCS, BPP, HIBSCS]	Weak	
AraC	xylAB[xylAp]	-	[BCE, GEA, HIBSCS]	Weak	
AraC	ydeNM[ydeNp]	-	[GEA]	Weak	
ArcA	aceBAK[aceBp]	-	[RBM]	Weak	
ArcA	aceEF[aceEp]	-	[GEA]	Weak	
ArcA	ackA[ackAp]	+	[GEA]	Weak	
ArcA	acnA[acnAp2]	-	[GEA, HIBSCS]	Weak	
ArcA	acnB[acnBp]	-	[GEA, HIBSCS]	Weak	
ArcA	aldA[aldAp]	-	[AIBSCS, BPP, HIBSCS, SM]	Weak	
ArcA	appCBXA[appCp]	+	[GEA]	Weak	
ArcA	arcZ[arcZp]	-	[GEA, HIBSCS]	Weak	
ArcA	betIBA[betIp]	-	[BCE, GEA]	Weak	
ArcA	betT[betTp]	-	[BCE, GEA]	Weak	
ArcA	cadBA[cadBp]	-	[AIBSCS, GEA]	Weak	
ArcA	caiTABCDE[caiTp]	+	[AIBSCS, GEA]	Weak	
ArcA	citCDEFXG[citCp1]	-	[AIBSCS]	Weak	
ArcA	cydAB[cydAp3]	+	[AIBSCS, GEA]	Weak	
ArcA	cydAB[cydAp4]	+	[AIBSCS, GEA]	Weak	
ArcA	cydAB[cydAp1]	+	[AIBSCS, BCE, BPP, GEA, HIBSCS]	Weak	
ArcA	cydAB[cydAp2]	+	[BPP, GEA, HIBSCS]	Strong	
ArcA	cydDC[cydDp]	+	[GEA]	Weak	
ArcA	cyoABCDE[cyoAp]	-	[BCE, GEA]	Weak	
ArcA	dctA[dctAp]	-	[GEA]	Weak	
ArcA	dcuC[dcuCp]	+	[GEA, HIBSCS]	Weak	
ArcA	dpiBA[dpiBp]	+	[AIBSCS]	Weak	
