# conformaciones_activas.txt
# generated: 2018-08-14 11:48:25
# RegulonDB: 10.0, release: 18/06/18
# Manual processing: Edited MalT effectors column to include ATP and maltotriose as one effector. Changed all lines without a regulated TU tu TF_inactive.txt. All lines in TF_inactive.txt that had a regulated TU were moved here.
# Transcription Factor name	 Final State	Effector Name	Effect	Transcription Unit name	Evidences	Evidence type
AcrR	AcrR		-	acrAB	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AcrR	AcrR		-	acrR	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AcrR	AcrR		-	flhDC	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AcrR	AcrR		-	marRAB	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AcrR	AcrR		-	micF	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AcrR	AcrR		-	soxR	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AcrR	AcrR		-	soxS	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
Ada	Ada		+	ada-alkB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[APPHINH|S|Assay of protein purified to homogeneity from its native host]	Strong
Ada	Ada		+	aidB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[APPHINH|S|Assay of protein purified to homogeneity from its native host]	Strong
Ada	Ada		+	alkA	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[APPHINH|S|Assay of protein purified to homogeneity from its native host]	Strong
Ada	Ada		-	ada-alkB	[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[APPHINH|S|Assay of protein purified to homogeneity from its native host]	Strong
AdiY	AdiY		+	adiA	[GEA|W|Gene expression analysis],[HIFS|W|Human inference of function from sequence]	Weak
AdiY	AdiY		+	gadAX	[GEA|W|Gene expression analysis],[HIFS|W|Human inference of function from sequence]	Weak
AdiY	AdiY		+	gadBC	[GEA|W|Gene expression analysis],[HIFS|W|Human inference of function from sequence]	Weak
AdiY	AdiY		+	gltBDF	[GEA|W|Gene expression analysis],[HIFS|W|Human inference of function from sequence]	Weak
AgaR	AgaR		-	agaR	[APPH|S|Assay of protein purified  to homogeneity],[IEP|W|Inferred from expression pattern]	Strong
AgaR	AgaR		-	agaS-kbaY-agaBCDI	[APPH|S|Assay of protein purified  to homogeneity],[IEP|W|Inferred from expression pattern]	Strong
AgaR	AgaR		-	kbaZ-agaVWA	[APPH|S|Assay of protein purified  to homogeneity],[IEP|W|Inferred from expression pattern]	Strong
AidB	AidB		-	aidB	[APPP|W|Assay of partially-purified protein],[IEP|W|Inferred from expression pattern]	Weak
AlaS	AlaS-L-alanine	L-alanine	-	alaS	[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
AllR	AllR-allantoin	allantoin	-	allA		
AllR	AllR-allantoin	allantoin	-	allS		
AllR	AllR-allantoin	allantoin	-	gcl-hyi-glxR-ybbW-allB-ybbY-glxK		
AllS	AllS-(<i>S</i>)-(+)-allantoin	(<i>S</i>)-(+)-allantoin	+	allDCE	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[AIFS|W|Automated inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
AllS	AllS-(<i>S</i>)-(+)-allantoin	allantoin	+	allDCE	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[AIFS|W|Automated inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
AlsR	AlsR		-	alsRBACE	[GEA|W|Gene expression analysis],[IPI|W|Inferred from physical interaction],[AIFS|W|Automated inference of function from sequence]	Weak
AlsR	AlsR		-	rpiB	[GEA|W|Gene expression analysis],[IPI|W|Inferred from physical interaction],[AIFS|W|Automated inference of function from sequence]	Weak
AppY	AppY		+	appCBXA	[IE|W|Inferred from experiment]	Weak
AppY	AppY		+	hyaABCDEF	[IE|W|Inferred from experiment]	Weak
AraC	AraC		+-	araBAD	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[BPP|S|Binding of purified proteins]	Strong
AraC	AraC		+-	araC	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[BPP|S|Binding of purified proteins]	Strong
AraC	AraC		-	araBAD	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[BPP|S|Binding of purified proteins]	Strong
AraC	AraC		-	araC	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[BPP|S|Binding of purified proteins]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+	araBAD	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+	araC	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+	araE	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+	araE-ygeA	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+	araFGH	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+	araJ	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+-	araBAD	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	+-	araC	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	-	araBAD	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
