# conformaciones_inactivas.txt
# generated: 2018-08-14 11:48:25
# RegulonDB: 10.0, release: 18/06/18
# Manual processing: Changed all lines with a regulated TU to TF_active.txt. All lines in TF_active.txt that do not have a regulated TU were moved here.
# Transcription Factor name	 Final State	Effector Name	Effect	Transcription Unit name	Evidences	Evidence type
AcrR	AcrR-Proflavin	Proflavin	?		[BPP|S|Binding of purified proteins]	Strong
AcrR	AcrR-R6G	R6G	?		[BPP|S|Binding of purified proteins]	Strong
AcrR	AcrR-ethidium	ethidium	?		[IPI|W|Inferred from physical interaction],[BPP|S|Binding of purified proteins]	Strong
Ada	Ada-Methylated	Methyl	?		[BPP|S|Binding of purified proteins]	Strong
AllR	AllR-glyoxylate	glyoxylate	?		[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	Strong
AllS	AllS		?		[BPP|S|Binding of purified proteins]	Strong
AllR	AllR		?		[BPP|S|Binding of purified proteins]	Strong
AlsR	AlsR-D-allose	D-allose	?		[IHBCE|W|Inferred by a human based on computational evidence],[GEA|W|Gene expression analysis],[IPI|W|Inferred from physical interaction],[IEP|W|Inferred from expression pattern]	Weak
AlpA	AlpA		?		[IMP|W|Inferred from mutant phenotype]	Weak
AraC	AraC-D-fucose	D-fucose	?		[IPI|W|Inferred from physical interaction]	Weak
ArcA	ArcA		?		[BPP|S|Binding of purified proteins]	Strong
ArgP	ArgP-lysine	L-lysine	?		[GEA|W|Gene expression analysis],[IPI|W|Inferred from physical interaction],[BPP|S|Binding of purified proteins]	Strong
ArgR	ArgR		?		[IDA|S|Inferred from direct assay]	Strong
ArsR	ArsR-antimonite ion	antimonite ion	?			
ArsR	ArsR-arsenite	arsenite	?			
AsnC	AsnC-L-asparagine	L-asparagine	?		[IPI|W|Inferred from physical interaction]	Weak
AtoC	AtoC		?			
BetI	BetI-choline	choline	?		[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[HIFS|W|Human inference of function from sequence]	Strong
BirA	BirA		?		[SM|S|Site mutation]	Strong
CRP	CRP		?		[IPI|W|Inferred from physical interaction]	Weak
Cbl	Cbl-APS	adenosine 5'-phosphosulfate	?		[IDA|S|Inferred from direct assay],[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	Strong
Cbl	Cbl-Thiosulphate	Thiosulphate	?			
ComR	ComR-Cu(I)	Cu<SUP>+</SUP>	?			
CpxR	CpxR		?		[BPP|S|Binding of purified proteins]	Strong
Cra	Cra-&beta;-D-fructofuranose 1-phosphate	&beta;-D-fructofuranose 1-phosphate	?		[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	Strong
