# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 03:59:08 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_simple/
# GO levels of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/levels/simple_random_levels.txt 
# Columns= Group name
# Rows= Random set
	AcrR	Ada	AgaR	AlaS	AllR	AllS	AlsR	ArcA	ArgP	ArgR	ArsR	AscG	AsnC	BasR	BirA	BluR	BolA	CRP	CdaR	CecR	CpxR	Cra	CreB	CsgD	CueR	CynR	CysB	Dan	DhaR	DicA	DnaA	EvgA	FNR	FadR	FeaR	Fis	FlhDC	FliZ	Fur	GadX	GcvA	H-NS	HU	HcaR	IHF	IlvY	IscR	KdpE	LeuO	LexA	LrhA	Lrp	LysR	MalT	MarA	MatA	McbR	MetJ	MlrA	MngR	MntR	MprA	MqsA	MurR	Nac	NadR	NagC	NanR	NimR	NsrR	NtrC	OmpR	OxyR	PaaX	PepA	PgrR	PhoB	PhoP	PspF	PurR	RbsR	RcdA	RclR	RcnR	RcsAB	RcsB	RcsB-BglJ	Rob	RutR	SdiA	SgrR	SoxS	SutR	TorR	TrpR	TyrR	UidR	UvrY	XapR	YdeO	YjjQ	YpdB	YqhC	ZntR	ZraR	Zur
ran_1.txt	NA	0.67	0.75	NA	0.62	0.50	0.60	NA	NA	0.78	1.00	NA	NA	NA	0.50	0.50	0.50	0.55	0.50	NA	0.55	0.60	NA	0.62	0.50	0.67	0.50	1.00	1.00	0.75	NA	0.67	0.85	0.43	NA	0.70	0.43	NA	0.69	0.60	0.50	0.64	NA	0.50	0.50	1.00	0.50	0.75	0.60	0.44	NA	0.62	NA	NA	NA	1.00	NA	NA	0.40	0.67	NA	0.50	NA	NA	1.00	1.00	0.50	NA	NA	0.61	0.46	0.50	0.43	NA	NA	0.40	0.42	0.50	NA	0.54	NA	0.67	0.33	NA	0.33	1.00	0.57	NA	NA	NA	0.40	0.40	NA	NA	0.80	0.67	NA	NA	NA	0.50	0.40	NA	0.50	NA	NA	0.33
ran_10.txt	NA	0.33	1.00	NA	0.67	1.00	0.40	0.50	0.33	0.73	NA	NA	NA	NA	0.60	0.50	0.50	0.51	0.50	1.00	0.46	0.50	NA	0.86	NA	0.67	0.62	0.67	0.50	0.60	NA	0.75	0.45	1.00	NA	0.61	0.57	NA	0.79	0.50	NA	0.40	NA	0.60	0.50	1.00	0.60	0.67	0.80	0.52	NA	0.40	NA	NA	NA	NA	NA	0.40	0.60	1.00	NA	1.00	NA	NA	0.50	1.00	0.67	NA	NA	0.57	0.46	1.00	0.71	1.00	NA	0.67	0.47	0.78	NA	0.57	NA	1.00	1.00	NA	0.67	0.50	0.40	NA	NA	NA	0.80	1.00	NA	NA	0.40	0.50	NA	NA	0.50	1.00	0.50	NA	NA	NA	NA	1.00
ran_100.txt	NA	NA	0.60	NA	0.50	0.67	0.67	NA	1.00	0.50	0.50	NA	NA	NA	1.00	0.67	0.50	0.54	0.67	1.00	0.59	0.55	NA	0.57	1.00	1.00	0.50	1.00	0.75	0.60	1.00	1.00	0.38	0.80	NA	0.56	0.62	NA	0.74	0.80	0.50	0.40	NA	0.40	0.40	1.00	0.75	1.00	0.80	0.71	NA	0.56	NA	NA	0.50	NA	NA	0.67	0.75	1.00	NA	NA	NA	NA	1.00	1.00	1.00	0.50	0.50	0.46	0.69	0.50	0.57	NA	NA	0.50	0.43	0.47	NA	0.50	NA	1.00	1.00	NA	0.67	1.00	0.67	NA	NA	NA	0.60	0.50	0.50	NA	0.67	1.00	NA	0.50	NA	NA	0.60	NA	NA	NA	NA	0.67
ran_11.txt	NA	0.67	0.43	NA	1.00	NA	0.80	0.50	1.00	0.42	NA	NA	NA	NA	0.40	0.75	NA	0.49	0.40	0.40	0.57	0.73	NA	0.40	1.00	0.50	0.71	0.67	0.67	0.75	NA	0.67	0.65	0.20	NA	0.46	0.67	NA	0.67	0.75	0.50	0.78	NA	0.75	0.60	1.00	0.50	0.50	0.67	0.54	NA	0.55	NA	NA	0.50	NA	NA	1.00	0.80	0.67	NA	1.00	NA	NA	0.50	0.50	0.80	NA	1.00	0.41	0.55	0.67	0.62	0.50	NA	0.50	0.74	0.92	NA	0.50	NA	0.33	0.50	NA	NA	0.67	0.38	NA	NA	NA	0.60	0.50	NA	NA	1.00	0.67	NA	0.50	0.50	NA	0.67	NA	NA	NA	NA	0.50
ran_12.txt	NA	1.00	0.50	NA	0.50	0.50	0.67	NA	1.00	0.36	0.67	NA	NA	NA	1.00	0.75	NA	0.65	0.60	0.80	0.48	0.46	NA	0.83	NA	0.67	0.44	0.50	NA	0.57	NA	0.67	0.61	0.50	NA	0.50	0.59	NA	0.39	0.50	NA	0.75	1.00	0.67	0.60	NA	0.71	0.67	0.67	0.44	NA	0.44	NA	NA	1.00	1.00	NA	0.60	0.60	0.67	NA	0.67	1.00	NA	0.33	NA	0.50	NA	1.00	0.63	0.50	1.00	1.00	NA	NA	0.67	0.72	0.50	NA	0.75	NA	1.00	0.67	NA	0.60	0.67	0.62	NA	NA	NA	0.33	0.67	0.50	NA	0.33	NA	NA	NA	0.50	NA	0.57	NA	NA	NA	NA	0.67
ran_13.txt	NA	0.67	1.00	NA	0.40	0.67	1.00	NA	NA	0.50	NA	NA	NA	NA	0.75	0.33	1.00	0.52	0.50	0.50	0.50	0.46	NA	0.75	0.50	0.33	0.38	1.00	0.50	0.75	NA	0.50	0.58	0.83	NA	0.66	0.48	NA	0.53	0.60	0.50	0.31	1.00	0.50	0.60	1.00	0.50	0.50	0.50	0.41	NA	0.86	NA	NA	1.00	NA	NA	0.50	1.00	1.00	NA	0.50	NA	NA	0.75	NA	0.75	1.00	0.50	0.56	0.44	1.00	0.75	0.50	NA	0.50	0.43	0.46	NA	0.70	NA	0.67	0.50	NA	0.60	0.33	0.88	NA	NA	NA	0.50	0.50	1.00	NA	0.43	1.00	NA	NA	0.50	1.00	0.60	NA	NA	NA	NA	1.00
ran_14.txt	NA	0.67	1.00	NA	0.29	1.00	0.40	0.50	0.50	0.40	1.00	NA	NA	NA	0.50	NA	NA	0.41	0.67	0.67	0.62	0.58	NA	0.50	NA	0.67	0.62	0.75	0.50	0.57	0.50	0.50	0.42	0.40	NA	0.56	0.46	NA	0.54	0.43	NA	0.82	1.00	0.67	1.00	NA	0.67	0.50	0.50	0.65	NA	0.64	NA	NA	1.00	0.50	NA	1.00	0.50	0.67	0.50	0.50	NA	NA	0.67	0.33	1.00	1.00	1.00	0.38	0.73	0.50	0.50	1.00	NA	0.50	0.40	0.22	NA	0.57	NA	1.00	1.00	NA	0.33	0.33	0.43	NA	NA	NA	0.67	0.40	1.00	NA	0.40	0.67	NA	0.50	NA	0.50	0.67	NA	1.00	NA	NA	0.67
ran_15.txt	NA	0.50	0.75	NA	0.50	1.00	0.50	NA	0.67	0.44	1.00	NA	NA	NA	1.00	0.50	1.00	0.60	1.00	0.75	0.50	0.33	NA	1.00	NA	0.75	0.50	0.75	NA	0.71	0.50	0.50	0.52	0.50	NA	0.60	0.58	NA	0.50	0.50	NA	0.75	0.50	0.67	0.60	NA	0.50	1.00	0.60	0.46	NA	0.57	NA	NA	0.50	1.00	NA	0.50	0.40	0.67	0.50	0.50	NA	NA	0.50	0.50	0.67	NA	0.50	0.68	0.75	0.50	0.57	1.00	NA	0.67	0.68	0.40	NA	0.64	NA	0.50	1.00	NA	0.67	0.50	0.50	NA	NA	NA	0.40	1.00	1.00	NA	0.50	0.67	NA	NA	NA	1.00	0.50	NA	NA	NA	NA	1.00
ran_16.txt	NA	0.50	0.67	NA	0.57	NA	0.80	NA	1.00	0.45	NA	NA	NA	NA	0.33	1.00	NA	0.47	0.67	0.50	0.58	0.60	NA	0.75	NA	0.67	0.50	0.75	1.00	0.57	0.50	0.50	0.59	0.33	NA	0.59	0.57	NA	0.61	0.67	0.50	0.44	1.00	0.60	0.60	NA	0.71	NA	0.50	0.64	NA	0.56	NA	NA	0.50	NA	NA	0.50	0.75	1.00	1.00	0.67	NA	NA	0.60	0.50	0.50	NA	NA	0.57	0.64	0.50	0.43	NA	NA	0.50	0.42	0.71	NA	0.60	NA	NA	1.00	NA	0.80	0.67	0.57	NA	NA	NA	0.40	0.33	0.50	NA	0.67	1.00	NA	0.50	NA	NA	0.83	NA	NA	NA	NA	0.50
ran_17.txt	NA	0.50	0.40	NA	0.50	0.50	0.75	NA	0.67	0.40	0.50	NA	NA	NA	0.50	0.50	0.50	0.55	0.40	0.80	0.57	0.57	NA	0.83	NA	0.67	0.80	1.00	0.50	0.50	NA	0.40	0.39	0.40	NA	0.46	0.52	NA	0.65	0.50	1.00	0.58	NA	0.60	0.33	1.00	0.43	0.25	0.75	0.50	NA	0.58	NA	NA	0.50	NA	NA	0.67	0.40	0.50	0.50	1.00	NA	NA	0.50	0.67	1.00	NA	NA	0.52	0.69	1.00	0.71	1.00	NA	0.71	0.68	0.69	NA	0.73	NA	1.00	NA	NA	0.50	0.50	0.75	NA	NA	NA	0.67	0.40	1.00	NA	0.71	1.00	NA	1.00	NA	0.50	0.57	NA	1.00	NA	NA	0.33
