# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 01:53:34 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_conformation_effect/
# GO levels of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/levels/conformationeffect_random_levels.txt 
# Columns= Group name
# Rows= Random set
	Ada-Methylated_neg	Ada-Methylated_pos	AlaS-L-alanine_neg	AllS-allantoin_pos	AraC-L-arabinose_neg	AraC-L-arabinose_pos	ArcA-Phosphorylated_neg	ArcA-Phosphorylated_pos	ArgP-L-arginine_neg	ArgP-L-arginine_pos	ArgR-L-arginine_neg	ArgR-L-arginine_pos	AtoC-phosphorylated_pos	BaeR-Phosphorylated_pos	BirA-bio-5'-AMP_neg	CRP-cAMP_neg	CRP-cAMP_pos	ChbR-Monoacetylchitobiose-6P_neg	ChbR-Monoacetylchitobiose-6P_pos	CpxR-Phosphorylated_neg	CpxR-Phosphorylated_pos	CreB-Phosphorylated_neg	CreB-Phosphorylated_pos	CueR-Ag_neg	CueR-Ag_pos	CueR-Cu+_neg	CueR-Cu+_pos	CuerR-Au_neg	CuerR-Au_pos	CusR-Pasp_pos	CynR-Cyanate_neg	CynR-Cyanate_pos	CysB-N-acetyl-L-serine_neg	CysB-N-acetyl-L-serine_pos	CysB-O-acetyl-L-serine_neg	CysB-O-acetyl-L-serine_pos	DcuR-Phosphorylated_pos	DnaA-ATP_neg	DnaA-ATP_pos	DpiA-Pasp_neg	DpiA-Pasp_pos	DsdC-D-serine_neg	DsdC-D-serine_pos	EvgA-Phosphorylated_pos	FNR-[4Fe-4S]2+ reduced_neg	FNR-[4Fe-4S]2+ reduced_pos	FhlA-Formate_pos	FucR-L-fuculose-1-phosphate_pos	Fur-Fe2+_neg	Fur-Fe2+_pos	Fur-Mn2+_neg	Fur-Mn2+_pos	GlcC-Acetate_neg	GlcC-Acetate_pos	GlcC-Glycolate_neg	GlcC-Glycolate_pos	GlrR-Pasp56_pos	IclR-pyruvate_neg	IdnR-5-ketogluconate_neg	IdnR-5-ketogluconate_pos	IdnR-Idonate_neg	IdnR-Idonate_pos	IlvY-2-acetolactate_neg	IlvY-2-acetolactate_pos	IlvY-Alfa-acetohydroxybutirate_neg	IlvY-Alfa-acetohydroxybutirate_pos	IscR-[2Fe-2S]1+_neg	IscR-[2Fe-2S]1+_pos	LldR-L-lactate_neg	LldR-L-lactate_pos	Lrp-Leucine_neg	Lrp-Leucine_pos	LsrR_neg	MalT-ADP-Maltotriose_pos	MalT-Maltotriose-ATP_pos	MelR-Melibiose_neg	MelR-Melibiose_pos	MetJ-S-adenosylmethionine_neg	MetR-L-homocysteine_neg	MetR-L-homocysteine_pos	MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	MhpR-3HPP_pos	MntR-Cd2+_neg	MntR-Cd2+_pos	ModE-MoO42-_neg	ModE-MoO42-_pos	NarL-Phosphorylated_neg	NarL-Phosphorylated_pos	NarP-Phosphorylated_neg	NarP-Phosphorylated_pos	NhaR-Na+_pos	NikR-Cd2+_neg	NikR-Co2+_neg	NikR-Cu2+_neg	NikR-Ni2+_neg	NikR-Zn2+_neg	NrdR-ATP_neg	NrdR-Zn2+_neg	NrdR-dATP_neg	NsrR-[2Fe-2S]reduced_neg	PhoB-Phosphorylated_neg	PhoB-Phosphorylated_pos	PhoP-Phosphorylated_neg	PhoP-Phosphorylated_pos	PrpR-2-methylcitrate_neg	PrpR-2-methylcitrate_pos	PurR-Guanine_neg	PurR-Hypoxanthine_neg	QseB-Phosphorylated_pos	RhaR-L-rhamnose_pos	RhaS-L-rhamnose_pos	RstA-Phosphorylated_neg	RstA-Phosphorylated_pos	SoxR-[2Fe-2S]3+ oxydized_neg	SoxR-[2Fe-2S]3+ oxydized_pos	TorR-Phosphorylated_neg	TorR-Phosphorylated_pos	TrpR-Tryptophan_neg	TyrR-L-tryptophan_neg	TyrR-L-tryptophan_pos	TyrR-Phenylalanine_neg	TyrR-Phenylalanine_pos	TyrR-Tyrosine_neg	TyrR-Tyrosine_pos	UhpA-Phosphorylated_pos	XapR-xanthosine_pos	XylR-Xylose_pos	ZntR-Cd2+_pos	ZntR-Hg_pos	ZntR-Zn2+_pos	ZraR-Phosphorylated_pos	Zur-Zn2+_neg
ran_1.txt	1.00	1.00	NA	0.50	0.71	0.71	0.52	0.66	NA	0.69	0.60	0.75	0.75	0.67	0.60	0.50	0.55	0.50	0.75	0.53	0.48	NA	0.67	0.75	0.50	0.67	NA	0.75	NA	0.62	NA	0.67	0.40	0.47	0.57	0.55	0.50	0.62	0.40	NA	0.86	NA	1.00	0.50	0.56	0.53	0.61	0.67	0.62	0.62	0.59	0.74	NA	0.75	NA	1.00	NA	0.67	0.67	0.50	0.67	0.75	NA	NA	NA	NA	0.60	0.64	0.67	0.50	0.50	0.60	0.86	0.78	0.44	1.00	0.67	0.67	1.00	0.50	0.60	0.60	0.50	NA	0.69	0.44	0.51	0.62	0.64	0.47	0.25	0.50	0.67	1.00	NA	1.00	0.71	1.00	0.57	0.55	0.67	0.62	0.67	0.61	NA	0.67	0.58	0.65	0.67	NA	0.50	0.75	0.80	NA	0.67	NA	0.75	0.67	0.75	0.50	0.60	0.67	0.64	1.00	NA	NA	1.00	NA	NA	NA	0.50	1.00
ran_10.txt	0.50	0.50	NA	0.50	0.43	0.50	0.60	0.70	NA	0.77	0.75	0.60	0.50	0.57	0.75	0.61	0.52	0.50	0.60	0.53	0.61	0.33	0.75	0.80	NA	0.60	NA	0.75	NA	0.78	NA	1.00	0.60	0.44	0.80	0.87	0.67	0.88	0.33	NA	0.57	NA	NA	0.82	0.49	0.59	0.52	0.71	0.56	0.65	0.51	0.59	NA	0.83	NA	0.60	NA	0.67	0.50	0.50	0.67	0.67	NA	NA	NA	NA	0.46	0.67	0.50	1.00	0.54	0.63	0.56	0.67	0.56	0.33	0.67	0.50	NA	1.00	0.40	1.00	0.50	NA	0.90	0.48	0.60	0.69	0.60	0.50	0.40	0.50	0.50	0.75	1.00	0.80	0.67	1.00	0.50	0.60	0.45	0.49	0.62	0.55	NA	0.50	0.77	0.62	0.50	NA	0.67	0.60	0.33	NA	0.33	NA	0.80	0.36	0.67	1.00	0.67	0.67	0.50	1.00	NA	1.00	0.60	NA	NA	NA	NA	0.33
ran_100.txt	0.50	0.50	NA	0.67	0.50	0.56	0.60	0.64	NA	0.57	0.52	0.40	0.67	0.38	0.40	0.49	0.55	0.67	0.75	0.59	0.66	0.67	0.67	1.00	NA	0.75	1.00	0.60	0.50	0.38	NA	0.50	0.83	0.47	0.67	0.50	0.67	0.62	0.33	NA	0.43	NA	0.50	0.58	0.63	0.56	0.50	0.50	0.56	0.50	0.59	0.50	NA	0.60	NA	1.00	NA	0.75	0.67	1.00	0.67	0.50	NA	NA	NA	NA	0.62	0.45	NA	0.67	0.55	0.83	0.88	0.62	0.86	0.50	1.00	0.46	NA	0.75	0.60	0.50	0.67	NA	0.62	0.68	0.64	0.64	0.61	0.68	1.00	1.00	0.50	1.00	0.80	0.60	0.56	0.56	0.33	0.64	0.36	0.73	0.70	0.56	NA	0.50	0.53	0.50	0.50	0.50	1.00	0.75	0.75	NA	1.00	NA	0.78	0.80	0.57	0.33	0.44	0.67	0.50	1.00	NA	NA	0.40	NA	NA	NA	0.67	0.50
ran_11.txt	0.50	0.75	NA	1.00	0.83	0.67	0.62	0.57	NA	0.86	0.44	0.40	0.75	0.80	0.40	0.53	0.55	0.40	0.60	0.47	0.63	0.67	0.40	0.67	0.50	0.60	0.50	0.50	0.50	0.50	NA	0.50	0.60	0.43	0.67	0.82	0.83	0.45	0.60	NA	0.40	NA	1.00	0.50	0.64	0.55	0.81	0.50	0.56	0.43	0.56	0.45	NA	0.83	NA	0.40	NA	0.67	1.00	0.33	0.67	0.75	NA	NA	NA	NA	0.44	0.60	0.67	0.67	0.45	0.48	0.83	0.75	0.57	0.50	0.50	0.69	1.00	0.75	1.00	0.80	0.75	NA	0.57	0.64	0.54	0.53	0.67	0.64	0.60	0.33	0.50	0.40	0.67	0.50	0.60	0.75	0.62	0.66	0.55	0.47	0.50	0.60	NA	1.00	0.66	0.55	0.50	NA	0.33	0.67	0.60	NA	0.67	NA	0.38	0.50	0.88	0.50	0.43	0.50	0.70	NA	NA	0.50	0.75	NA	NA	NA	1.00	0.50
ran_12.txt	NA	0.50	NA	NA	0.57	0.78	0.62	0.53	NA	0.85	0.52	0.75	0.50	0.80	0.67	0.53	0.55	0.67	0.50	0.65	0.58	0.67	0.33	1.00	1.00	0.75	NA	0.50	NA	0.56	NA	0.50	0.60	0.45	0.75	0.60	0.57	0.56	0.67	NA	0.78	NA	0.50	0.44	0.56	0.58	0.75	0.50	0.59	0.57	0.56	0.44	NA	0.67	NA	0.40	NA	0.33	1.00	1.00	0.50	0.80	NA	NA	NA	NA	0.52	0.86	0.50	0.67	0.56	0.67	0.33	0.75	0.67	0.50	1.00	0.47	1.00	0.50	0.75	0.50	0.75	NA	0.55	0.43	0.63	0.71	0.56	0.58	0.60	0.40	NA	0.83	0.67	0.50	0.43	0.67	0.80	0.51	0.50	0.48	0.44	0.63	NA	0.75	0.46	0.68	0.33	0.50	0.67	0.50	0.60	NA	0.50	NA	0.67	0.64	0.36	1.00	0.64	0.33	0.44	NA	NA	0.50	0.40	NA	NA	NA	1.00	0.67
ran_13.txt	NA	0.75	NA	0.67	0.50	0.60	0.62	0.58	NA	0.45	0.61	0.80	0.75	0.71	0.50	0.58	0.59	0.67	0.50	0.41	0.50	0.33	0.60	0.60	NA	1.00	0.50	0.80	0.50	0.56	NA	0.67	0.67	0.44	0.33	0.58	0.44	0.67	0.67	NA	0.78	NA	1.00	0.70	0.53	0.61	0.43	0.67	0.57	0.81	0.49	0.71	NA	0.60	NA	0.75	NA	0.67	NA	1.00	1.00	0.75	NA	NA	NA	NA	0.70	0.50	0.67	NA	0.54	0.54	0.50	0.57	0.78	0.67	1.00	0.62	0.50	0.67	0.60	0.83	0.67	NA	0.50	0.50	0.61	0.46	0.79	0.55	0.20	0.60	0.40	0.75	0.40	0.33	0.57	0.33	0.50	0.54	0.50	0.58	0.55	0.58	NA	0.50	0.62	0.48	0.75	1.00	NA	0.75	0.67	NA	0.33	NA	0.83	0.62	0.50	0.67	0.60	1.00	0.50	0.67	NA	0.50	0.60	NA	NA	NA	0.67	0.60
ran_14.txt	NA	1.00	NA	0.33	0.71	0.70	0.49	0.44	NA	0.50	0.58	1.00	0.67	0.83	0.80	0.59	0.58	0.50	1.00	0.67	0.57	0.67	0.40	0.60	0.50	0.80	0.50	0.75	1.00	0.50	NA	1.00	0.83	0.84	0.50	0.58	0.88	0.60	0.50	NA	0.60	NA	NA	0.46	0.61	0.57	0.71	0.60	0.68	0.59	0.63	0.63	NA	0.67	NA	0.50	NA	0.25	0.67	0.80	1.00	0.60	NA	NA	NA	NA	0.52	0.75	1.00	1.00	0.61	0.50	0.43	0.50	0.80	0.67	NA	0.62	NA	0.75	0.75	0.50	0.33	NA	0.83	0.50	0.61	0.62	0.48	0.43	0.50	0.80	0.67	0.40	0.60	0.50	0.38	0.67	0.71	0.52	0.50	0.55	0.89	0.57	NA	0.33	0.52	0.74	0.50	1.00	0.67	1.00	0.40	NA	1.00	NA	0.75	0.73	0.45	0.50	0.67	1.00	0.92	1.00	NA	NA	0.60	NA	NA	NA	0.67	0.67
ran_15.txt	0.50	0.75	NA	1.00	0.71	0.50	0.53	0.71	NA	0.54	0.54	0.75	0.75	0.86	0.50	0.53	0.57	0.50	0.75	0.55	0.60	1.00	0.50	0.67	1.00	0.33	NA	0.33	0.50	0.62	NA	0.67	0.80	0.47	0.80	0.70	0.71	0.44	0.57	NA	0.78	NA	NA	0.53	0.58	0.60	0.60	0.57	0.62	0.55	0.66	0.67	NA	0.50	NA	0.60	NA	0.67	0.50	0.67	1.00	0.67	NA	NA	NA	NA	0.48	0.67	1.00	1.00	0.56	0.52	0.80	0.57	0.38	0.67	0.33	0.57	0.50	0.75	0.75	0.67	0.33	NA	0.58	0.79	0.55	0.45	0.48	0.58	1.00	0.33	0.33	0.67	0.80	0.40	0.43	0.67	0.83	0.65	0.36	0.55	0.67	0.50	NA	0.50	0.56	0.54	0.67	1.00	0.67	0.75	1.00	NA	1.00	NA	0.71	0.62	0.75	0.67	0.50	0.50	0.89	NA	NA	NA	0.50	NA	NA	NA	NA	1.00
ran_16.txt	1.00	0.67	NA	1.00	0.57	0.78	0.50	0.56	NA	0.36	0.50	0.75	0.67	0.67	0.75	0.56	0.55	0.60	1.00	0.62	0.50	0.67	0.80	0.75	NA	0.60	0.50	0.67	1.00	0.50	NA	0.67	0.60	0.56	0.50	0.68	0.62	0.82	0.80	NA	0.75	NA	NA	0.71	0.60	0.55	0.65	0.86	0.62	0.55	0.54	0.53	NA	1.00	NA	0.60	NA	1.00	1.00	0.50	0.50	0.40	NA	NA	NA	NA	0.65	0.70	0.67	1.00	0.52	0.56	0.71	0.70	0.78	1.00	NA	0.50	NA	1.00	0.75	0.75	1.00	NA	0.79	0.64	0.45	0.55	0.60	0.61	0.67	0.75	0.67	0.67	0.50	0.50	0.38	0.57	0.38	0.53	0.82	0.44	0.60	0.57	NA	0.50	0.35	0.57	1.00	NA	0.50	0.50	0.60	NA	0.67	NA	0.43	0.78	0.55	1.00	0.56	0.67	0.64	0.67	NA	0.50	0.75	NA	NA	NA	0.67	1.00
ran_17.txt	0.50	0.75	NA	1.00	0.67	0.57	0.55	0.50	NA	0.50	0.62	0.50	0.67	0.83	0.75	0.65	0.53	0.40	0.60	0.60	0.63	1.00	0.33	1.00	1.00	1.00	0.50	0.33	NA	0.56	NA	NA	1.00	0.57	0.60	0.63	0.86	0.43	0.50	NA	0.67	NA	NA	0.50	0.63	0.59	0.64	0.75	0.52	0.59	0.64	0.77	NA	0.67	NA	0.50	NA	1.00	0.67	0.40	1.00	1.00	NA	NA	NA	NA	0.50	0.56	0.67	0.50	0.57	0.36	0.38	0.57	0.67	1.00	NA	0.64	NA	0.50	0.50	0.40	0.67	NA	0.43	0.70	0.61	0.56	0.57	0.60	0.75	0.75	0.40	0.67	1.00	1.00	0.50	0.67	0.80	0.63	0.78	0.50	0.88	0.57	NA	0.33	0.71	0.62	1.00	NA	0.67	0.40	0.50	NA	0.50	NA	0.71	0.44	0.50	0.67	0.40	0.50	0.50	0.50	NA	NA	0.50	NA	NA	NA	0.33	0.50
