# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 00:54:13 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_conformation/
# GO levels of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/levels/conformation_levels_random.txt 
# Columns= Group name
# Rows= Random set
	Ada-Methylated	AlaS-L-alanine	AllS-allantoin	AraC-L-arabinose	ArcA-Phosphorylated	ArgP-L-arginine	ArgR-L-arginine	AtoC-phosphorylated	BaeR-Phosphorylated	BirA-bio-5'-AMP	CRP-cAMP	ChbR-Monoacetylchitobiose-6P	CpxR-Phosphorylated	CreB-Phosphorylated	CueR-Ag	CueR-Cu+	CuerR-Au	CusR-Pasp	CynR-Cyanate	CysB-N-acetyl-L-serine	CysB-O-acetyl-L-serine	DcuR-Phosphorylated	DnaA-ATP	DpiA-Pasp	DsdC-D-serine	EvgA-Phosphorylated	FNR-[4Fe-4S]2+ reduced	FhlA-Formate	FucR-L-fuculose-1-phosphate	Fur-Fe2+	Fur-Mn2+	GlcC-Acetate	GlcC-Glycolate	GlrR-Pasp56	IclR-pyruvate	IdnR-5-ketogluconate	IdnR-Idonate	IlvY-2-acetolactate	IlvY-Alfa-acetohydroxybutirate	IscR-[2Fe-2S]1+	LldR-L-lactate	Lrp-Leucine	LsrR	MalT-ADP-Maltotriose	MalT-Maltotriose-ATP	MelR-Melibiose	MetJ-S-adenosylmethionine	MetR-L-homocysteine	MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	MhpR-3HPP	MntR-Cd2+	ModE-MoO42-	NarL-Phosphorylated	NarP-Phosphorylated	NhaR-Na+	NikR-Cd2+	NikR-Co2+	NikR-Cu2+	NikR-Ni2+	NikR-Zn2+	NrdR-ATP	NrdR-Zn2+	NrdR-dATP	NsrR-[2Fe-2S]reduced	PhoB-Phosphorylated	PhoP-Phosphorylated	PrpR-2-methylcitrate	PurR-Guanine	PurR-Hypoxanthine	QseB-Phosphorylated	RhaR-L-rhamnose	RhaS-L-rhamnose	RstA-Phosphorylated	SoxR-[2Fe-2S]3+ oxydized	TorR-Phosphorylated	TrpR-Tryptophan	TyrR-L-tryptophan	TyrR-Phenylalanine	TyrR-Tyrosine	UhpA-Phosphorylated	XapR-xanthosine	XylR-Xylose	ZntR-Cd2+	ZntR-Hg	ZntR-Zn2+	ZraR-Phosphorylated	Zur-Zn2+
ran_1.txt	0.67	NA	0.50	0.50	0.53	0.60	0.65	0.33	0.60	0.80	0.59	0.60	0.55	0.57	0.50	0.67	0.50	0.64	0.75	0.48	0.48	0.50	0.64	0.67	1.00	0.60	0.52	0.69	0.33	0.61	0.59	0.57	0.50	NA	0.67	0.50	0.50	NA	0.50	0.72	1.00	0.60	0.67	1.00	0.50	NA	0.58	0.80	1.00	0.67	0.50	0.55	0.49	0.53	0.33	0.40	0.83	0.75	0.50	0.67	0.33	0.75	0.50	0.57	0.57	0.63	0.67	0.64	0.66	0.50	NA	0.80	0.40	1.00	0.50	0.67	0.73	0.64	0.67	NA	1.00	0.75	NA	NA	NA	0.67	0.60
ran_10.txt	0.33	NA	1.00	0.67	0.61	0.62	0.64	1.00	0.57	0.40	0.57	0.75	0.55	0.67	0.43	0.60	0.50	0.62	0.67	0.62	0.63	0.57	0.67	0.67	0.67	0.45	0.56	0.57	0.80	0.56	0.50	0.60	0.67	NA	0.75	0.67	0.75	1.00	NA	0.65	0.67	0.52	0.57	0.50	0.60	1.00	0.62	NA	0.50	0.60	0.75	0.53	0.39	0.51	0.60	0.60	1.00	0.50	0.50	0.75	0.67	0.50	0.57	0.69	0.58	0.51	0.75	0.47	0.50	0.50	1.00	0.50	0.56	0.50	0.44	0.55	0.64	0.55	0.67	NA	NA	0.60	NA	NA	NA	1.00	0.50
ran_100.txt	0.33	NA	1.00	0.67	0.56	0.50	0.50	0.67	0.50	1.00	0.55	1.00	0.62	0.67	0.67	0.75	0.71	0.80	0.75	0.42	0.58	0.43	0.64	0.43	0.33	0.42	0.52	0.70	0.50	0.63	0.51	0.50	0.71	NA	0.67	0.38	0.67	0.50	1.00	0.59	NA	0.66	0.38	0.67	0.38	0.50	0.73	NA	0.75	0.50	0.75	0.73	0.44	0.60	0.60	0.50	0.60	1.00	1.00	0.80	0.86	0.75	0.86	0.47	0.64	0.50	0.50	0.66	0.50	0.67	1.00	0.60	0.50	0.50	0.43	0.50	0.50	0.50	0.64	NA	NA	0.40	NA	NA	NA	0.67	0.60
ran_11.txt	0.50	NA	0.50	0.77	0.51	0.67	0.50	0.50	0.43	0.75	0.53	0.75	0.54	0.83	0.80	0.71	0.71	0.50	1.00	0.53	0.60	0.33	0.58	0.64	0.50	0.60	0.59	0.60	0.57	0.59	0.59	0.83	0.57	NA	0.75	0.50	0.57	0.50	1.00	0.69	0.67	0.54	0.71	0.70	0.50	1.00	0.82	0.75	0.50	0.50	0.75	0.67	0.52	0.65	0.80	0.75	0.83	0.75	0.67	0.80	0.75	0.33	0.80	0.61	0.58	0.52	NA	0.59	0.66	0.75	1.00	0.80	0.78	1.00	0.60	0.42	0.55	0.75	0.77	NA	NA	0.67	NA	NA	NA	1.00	0.50
ran_12.txt	0.75	NA	1.00	0.54	0.57	0.62	0.40	0.50	0.71	0.75	0.56	0.80	0.55	0.62	0.80	0.75	0.86	0.64	1.00	0.62	0.48	0.71	0.58	0.33	1.00	0.71	0.53	0.54	1.00	0.58	0.56	0.86	0.50	NA	0.25	0.57	0.75	1.00	0.50	0.67	0.50	0.59	0.67	0.67	0.60	0.67	0.58	0.33	0.60	0.80	0.80	0.62	0.53	0.59	0.80	0.60	0.67	0.50	0.67	0.50	0.83	0.62	0.67	0.63	0.54	0.68	0.60	0.63	0.62	0.50	0.50	0.83	0.67	1.00	0.50	0.60	0.67	0.67	0.58	NA	NA	0.60	NA	NA	NA	1.00	0.75
ran_13.txt	0.67	NA	0.50	0.45	0.58	0.80	0.50	0.67	0.75	1.00	0.56	0.67	0.54	0.71	0.60	0.50	0.57	0.70	1.00	0.73	0.54	0.71	0.64	0.89	1.00	0.42	0.58	0.60	0.80	0.60	0.50	0.40	0.86	NA	1.00	0.67	0.67	0.50	NA	0.75	NA	0.62	0.88	0.57	0.50	0.67	0.54	0.80	0.40	0.67	0.50	0.54	0.61	0.47	0.57	0.67	0.50	0.60	0.67	0.75	0.67	0.50	0.44	0.52	0.74	0.62	0.50	0.56	0.64	0.67	1.00	0.50	0.56	0.50	0.60	0.60	0.67	0.44	0.80	NA	0.50	0.33	NA	NA	NA	0.50	0.50
ran_14.txt	0.50	NA	1.00	0.58	0.57	0.55	0.67	0.67	0.60	1.00	0.59	0.80	0.57	0.80	0.60	0.67	0.43	0.82	1.00	0.48	0.77	0.62	0.60	0.60	1.00	0.45	0.56	0.59	0.50	0.54	0.55	0.86	0.50	NA	0.67	0.60	0.80	1.00	NA	0.67	0.50	0.58	0.50	0.57	0.75	NA	0.73	0.67	0.40	0.50	0.33	0.61	0.56	0.44	0.43	0.67	0.80	0.83	0.67	0.50	0.57	0.50	0.78	0.45	0.57	0.59	0.75	0.53	0.53	1.00	1.00	0.60	0.56	0.75	0.33	0.40	0.69	0.55	0.55	NA	NA	0.50	NA	NA	NA	1.00	0.75
ran_15.txt	1.00	NA	NA	0.56	0.65	0.40	0.60	1.00	1.00	0.60	0.55	0.67	0.53	0.43	0.86	0.83	0.60	0.90	0.75	0.62	0.56	0.62	0.60	0.55	0.67	0.50	0.52	0.50	0.50	0.49	0.58	1.00	0.43	NA	0.67	0.67	0.57	0.50	0.50	0.58	0.67	0.66	0.75	0.62	0.60	0.67	0.60	0.67	0.80	0.40	0.40	0.70	0.54	0.50	0.33	0.80	0.75	0.75	0.67	0.40	0.43	0.57	0.43	0.61	0.67	0.67	1.00	0.62	0.52	0.50	1.00	0.83	0.88	0.33	0.67	0.62	0.36	0.50	0.50	NA	NA	0.60	NA	NA	NA	0.67	0.83
ran_16.txt	0.67	NA	0.67	0.50	0.53	0.50	0.48	0.75	0.62	0.60	0.60	0.50	0.55	0.50	0.43	0.40	0.50	0.78	1.00	0.55	0.44	0.78	0.88	0.67	0.67	0.67	0.56	0.50	0.75	0.63	0.58	0.40	0.40	NA	0.25	0.33	0.43	1.00	0.50	0.66	0.50	0.67	0.75	0.38	0.67	0.50	0.57	1.00	0.80	0.80	0.50	0.56	0.59	0.51	0.75	0.40	0.67	0.67	0.50	0.80	0.50	0.38	0.62	0.59	0.52	0.64	0.50	0.42	0.57	1.00	NA	0.67	0.50	1.00	0.67	0.58	0.60	0.46	0.64	NA	0.50	0.50	NA	NA	NA	0.67	0.83
ran_17.txt	0.75	NA	0.67	0.58	0.54	0.46	0.55	NA	0.43	0.67	0.59	0.80	0.52	0.67	0.57	0.50	0.57	0.45	0.67	0.65	0.46	0.71	0.70	0.67	0.67	0.54	0.53	0.44	0.60	0.62	0.60	0.75	0.57	NA	0.50	1.00	0.50	NA	0.50	0.45	1.00	0.63	1.00	0.56	0.75	0.50	0.46	0.60	0.75	0.80	0.80	0.64	0.60	0.63	0.80	1.00	1.00	0.60	0.60	0.50	0.60	0.56	0.56	0.67	0.64	0.58	0.60	0.53	0.63	0.33	NA	0.50	0.86	0.67	0.88	0.55	0.45	0.50	0.36	NA	NA	0.83	NA	NA	NA	0.33	0.80
