# From /Users/Daniela/Documents/CCG/data_sets_GUs/analysis/scripts/connectivity_from_gufiles_permissive_enx_v1.pl on Mon May 14 12:39:26 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/connectivity/pathways/GUs_SRs/
GU name	Total enzymes	Enzymes	Total connected enzymes	Connected enzymes	Total components	Components	Total Enzymatic reactions	Total transport reactions	Connectivity
1CMET2-PWY	14	GlyA,Fau,FolD,GcvP,Lpd-GcvP-GcvH-GcvT,Lpd,AceE-AceF-Lpd,FolM,MetF,FolA,ThyA,GcvT,SucA-SucB-Lpd,MetH,	14	GlyA,Fau,FolD,GcvP,Lpd,Lpd-GcvP-GcvH-GcvT,AceE-AceF-Lpd,FolM,MetF,FolA,ThyA,GcvT,SucA-SucB-Lpd,MetH,	3	*re14,re22,re20,re34,re30,re31,re28,re32,re38,re35,re26,re36,re46,re18,re45,re49,re48,re51,re52,re54,re39,re27,re40,re55,re50,re23,*re25,*re16,*	27	0	0.9
2PHENDEG-PWY	2	FeaB,TynA,	2	FeaB,TynA,	1	*re4,re5,re6,re7,re9,*	5	0	1.0
4AMINOBUTMETAB-PWY	4	GabT,GabD,PuuE,Sad,	4	GabT,GabD,PuuE,Sad,	1	*re6,re8,re9,*	3	0	1.0
ACETATEUTIL-PWY	5	Acs,PurT,EutD,AckA,Pta,	5	Acs,PurT,EutD,AckA,Pta,	2	*re10,re15,re16,re11,re8,re7,*re13,*	7	0	0.8
ACETOACETATE-DEG-PWY	3	YdiF,AtoA-AtoD,AtoB,	3	YdiF,AtoA-AtoD,AtoB,	1	*re6,re9,*	2	0	1.0
ALADEG-PWY	3	DadX,Alr,DadA,	3	DadX,Alr,DadA,	1	*re5,re9,re8,*	3	0	1.0
ALANINE-SYN2-PWY	2	AlaA,AlaC,	0		1	*re4,*	1	0	0.0
ALANINE-VALINESYN-PWY	5	DadX,IlvE,Alr,AvtA,BCAT,	5	DadX,IlvE,Alr,AvtA,BCAT,	2	*re12,re15,re7,re6,re8,re9,*re16,*	7	0	0.8
ALKANEMONOX-PWY	2	SsuE,SsuD,	2	SsuE,SsuD,	1	*re4,re6,re7,re8,re9,*	5	0	1.0
ALL-CHORISMATE-PWY	60	MenB,TrpA,AroA,EntB-EntD-EntF-EntE,MenC,AcpS,AroC,TrpB,FolP,TyrB,MenD,TrpC,PabC,NudB,TyrA,UbiG,UbiD,EntA,FolK,UbiH,AroB,EntF,EntD,YdiB,AspC,PheA,AroL,FolA,TrpE-TrpD,AroD,UbiI,TrpD,AcpT,UbiE,EntB,TrpA-TrpB,UbiF,IlvE,FolM,AroH,AroG,EntE,MenF,AroE,IspB,BCAT,AroF,FolB,MenH,UbiA,AroK,pabC,FolC,PabB-PabA,MenI,EntC,UbiC,FolE,MenE,MenA,	60	MenB,TrpA,AroA,EntB-EntD-EntF-EntE,MenC,AcpS,AroC,TrpB,FolP,TyrB,MenD,TrpC,NudB,PabC,TyrA,UbiG,UbiD,EntA,FolK,UbiH,AroB,EntF,EntD,YdiB,PheA,AspC,FolA,AroL,TrpE-TrpD,AroD,UbiI,TrpD,AcpT,UbiE,EntB,TrpA-TrpB,FolM,UbiF,IlvE,AroH,AroG,EntE,MenF,AroE,IspB,BCAT,FolB,AroF,MenH,UbiA,AroK,pabC,FolC,PabB-PabA,MenI,EntC,FolE,UbiC,MenA,MenE,	1	*re100,re102,re135,re105,re106,re107,re138,re136,re128,re195,re149,re123,re124,re110,re111,re112,re113,re116,re117,re119,re120,re121,re152,re126,re160,re145,re130,re131,re137,re140,re139,re141,re142,re158,re156,re147,re154,re190,re165,re170,re167,re168,re169,re187,re59,re72,re181,re182,re74,re184,re196,re197,re70,re68,re61,re163,re162,re65,re63,re66,re96,re97,re82,re84,re78,re76,re91,re89,re86,re93,re94,re172,re176,re178,re179,re174,*	74	0	1.0
