# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	btuE//
go_0000025_7	glpD//
go_0000027_7	sseA//deoB//galK//thiE//
go_0000028_7	sucA//
go_0000032_8	pdxK//
go_0000041_8	aes//
go_0000050_5	coaD//ndh//umuC//murQ//argC//
go_0000053_5	citG//
go_0000096_5	amiD//
go_0000101_6	btuR//
go_0000103_5	idnO//hisI//
go_0000105_6	phr//yihX//add//lldD//nudC//dgcZ//pabB//
go_0000160_5	ubiC//
go_0000162_7	hemA//aspC//mltD//ddlB//pdxJ//pykF//coaE//glcD//purF//
go_0000270_7	truA//rlmD//ada//dacC//hemB//idnK//gcd//ygeX//ynfH//polA//
go_0000271_6	moeB//
go_0000302_5	yhdJ//
go_0000303_6	pgaC//glpB//
go_0000305_5	
go_0000372_11	
go_0000413_9	alaA//umuD//paaZ//csdA//ravA//pgsA//purF//
go_0000453_8	rlmM//ldtD//mazG//ssuE//
go_0000455_9	tktA//dcyD//cueO//pabB//narY//adiA//yccX//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	dgt//
go_0000726_7	dkgB//
go_0000731_7	rpiA//yagE//
go_0000737_7	
go_0000738_7	ydiB//slyD//
go_0000746_4	
go_0000820_7	waaQ//
go_0000902_5	
go_0000910_4	sad//yrfG//rffH//
go_0000917_6	
go_0000918_6	
go_0000920_3	ybjG//
go_0000921_6	
go_0000967_10	aceF//
go_0001101_4	ravA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	murD//
go_0001510_5	yihT//pinE//
go_0001514_8	kdsC//
go_0001522_7	agp//ung//cheR//solA//
go_0001558_5	
go_0001561_6	rluF//
go_0001676_6	plsB//
go_0001680_11	dacD//
go_0001682_11	rutE//idnD//
go_0001731_7	
go_0001762_6	murQ//
go_0001887_4	pdeR//der//
go_0001896_5	ispA//
go_0002047_6	hchA//metL//
go_0002097_8	recR//
go_0002098_9	rutC//yfdR//dkgB//ppc//
go_0002099_9	malQ//selD//
go_0002100_9	sdaB//
go_0002101_9	yjjG//
go_0002128_7	menF//
go_0002131_9	tig//
go_0002132_9	hemN//
go_0002136_10	hcaF//
go_0002143_9	cueO//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ligA//
go_0002938_8	nudB//
go_0002939_7	murG//
