# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	trmL//
go_0000025_7	frc//
go_0000027_7	mtlD//pgi//fklB//glnS//
go_0000028_7	dgcZ//
go_0000032_8	nrfD//
go_0000041_8	dld//
go_0000050_5	yeiG//sodC//entA//gstB//dkgB//
go_0000053_5	mocA//
go_0000096_5	dmsB//
go_0000101_6	bglA//
go_0000103_5	xdhB//guaC//
go_0000105_6	dcm//cynS//hemF//asnB//ansA//nrdD//bfr//
go_0000160_5	hemD//
go_0000162_7	nadK//ttdA//cyoE//dusB//proA//putA//tdk//pdxJ//pdxJ//
go_0000270_7	deoA//lpd//tmk//surA//moaE//nudB//tdcG//mmuM//fumA//accC//
go_0000271_6	lsrG//
go_0000302_5	umpG//
go_0000303_6	ubiF//rlmC//
go_0000305_5	
go_0000372_11	
go_0000413_9	glmM//glgA//pflB//ppsA//tdcE//nrdA//waaZ//
go_0000453_8	leuA//gpt//cysD//psd//
go_0000455_9	miaA//cobS//trpA//pgpC//paaK//ldtE//agp//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	purT//
go_0000726_7	ilvH//
go_0000731_7	bioB//yjjX//
go_0000737_7	
go_0000738_7	dut//eptA//
go_0000746_4	
go_0000820_7	roxA//
go_0000902_5	
go_0000910_4	nfsB//dacA//kdsC//
go_0000917_6	
go_0000918_6	
go_0000920_3	hcaD//
go_0000921_6	
go_0000967_10	ushA//
go_0001101_4	metK//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pdxB//
go_0001510_5	waaU//folC//
go_0001514_8	purF//
go_0001522_7	preA//cysE//pdxY//leuA//
go_0001558_5	
go_0001561_6	sodB//
go_0001676_6	agp//
go_0001680_11	trmA//
go_0001682_11	ftnA//pdeR//
go_0001731_7	
go_0001762_6	hemN//
go_0001887_4	yjjG//thiC//
go_0001896_5	thrB//
go_0002047_6	betA//rnt//
go_0002097_8	relA//
go_0002098_9	sdhB//sufS//gadB//gadB//
go_0002099_9	metL//aceA//
go_0002100_9	paaC//
go_0002101_9	solA//
go_0002128_7	ilvN//
go_0002131_9	gloA//
go_0002132_9	glyA//
go_0002136_10	otsA//
go_0002143_9	fucI//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	hinT//
go_0002938_8	phnG//
go_0002939_7	dadA//
go_0002943_8	ftsI//
go_0002949_8	yeaG//dxs//pdxA//
go_0003333_7	caiD//aldB//mraY//malS//trmD//mrcA//metB//rhaA//glmS//yahK//cueO//sucC//lipA//
go_0005975_4	yjiA//tmk//ttdA//pcm//yeaG//murG//pgaB//gpp//pdxY//mog//ycjU//avtA//mraY//eda//suhB//lyxK//
go_0005976_5	trpE//
go_0005977_6	carA//
go_0005978_7	pgsA//rlmB//cadA//kefF//
go_0005980_7	thiD//phnH//rihA//
go_0005986_7	rutB//
go_0005990_7	arnB//
go_0005992_7	rdgB//gph//
go_0005993_7	thiG//nhoA//narH//
go_0005995_7	aroC//
go_0005998_7	rbsD//
go_0006000_6	rluE//
go_0006001_7	waaL//ubiA//
go_0006002_5	folE//mnmC//uxuA//
go_0006006_6	fkpA//menE//cysQ//metB//lpcA//
go_0006007_7	gdhA//rihB//
go_0006011_5	nagB//
go_0006012_6	glyA//
go_0006013_6	ppsA//
go_0006014_6	otsB//
go_0006015_7	lyxK//lpoA//
go_0006020_5	proB//
go_0006044_7	gltX//
go_0006046_8	dgoD//argG//
go_0006047_5	pphB//dapA//
go_0006048_6	yieF//der//yqaB//wcaJ//
go_0006053_8	kdsD//
go_0006062_8	deoD//
go_0006071_6	lsrG//oxc//
go_0006072_6	treF//
go_0006082_4	malS//
go_0006083_6	purN//phnM//srlD//
go_0006086_8	sthA//phnN//
go_0006090_8	prs//metG//ugd//ackA//yrfG//pabB//gpsA//
go_0006094_7	coaA//frdC//rlmB//ribC//pyrC//thiG//fabB//ygeX//galU//
