# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ugd//
go_0000025_7	astC//
go_0000027_7	glk//yfiC//entF//pdeF//
go_0000028_7	nagB//
go_0000032_8	ydiB//
go_0000041_8	yahK//
go_0000050_5	fucA//coaD//fucA//katE//argC//
go_0000053_5	trpS//
go_0000096_5	ispF//
go_0000101_6	mutT//
go_0000103_5	tktB//clsC//
go_0000105_6	serA//cyaA//pdxK//acs//argD//pheS//fucA//
go_0000160_5	rbsD//
go_0000162_7	kbaY//putA//metH//rutE//murF//thyA//birA//paaZ//patZ//
go_0000270_7	ada//fbaA//idnK//nirD//glk//adhP//narV//yfcG//iaaA//deoD//
go_0000271_6	pgpB//
go_0000302_5	nanE//
go_0000303_6	nadA//bglA//
go_0000305_5	
go_0000372_11	
go_0000413_9	hisH//gcd//frlC//cof//sdhB//amiD//frmB//
go_0000453_8	aphA//udp//glmU//cheR//
go_0000455_9	astC//uidA//gcvH//yjcS//umuC//udk//ilvM//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	prs//
go_0000726_7	avtA//
go_0000731_7	pyrB//cysE//
go_0000737_7	
go_0000738_7	pgk//cadA//
go_0000746_4	
go_0000820_7	pphB//
go_0000902_5	
go_0000910_4	thrB//clsA//torA//
go_0000917_6	
go_0000918_6	
go_0000920_3	appA//
go_0000921_6	
go_0000967_10	recF//
go_0001101_4	umpG//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mutH//
go_0001510_5	hemL//yrfG//
go_0001514_8	thiC//
go_0001522_7	thiM//nrfD//rfaE//nudF//
go_0001558_5	
go_0001561_6	paaF//
go_0001676_6	frmB//
go_0001680_11	paoC//
go_0001682_11	tktA//frlC//
go_0001731_7	
go_0001762_6	ybhA//
