# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gloC//
go_0000025_7	frlB//
go_0000027_7	dcyD//mepS//tynA//asnB//
go_0000028_7	phnN//
go_0000032_8	mepS//
go_0000041_8	rfaD//
go_0000050_5	tcdA//aspA//fadE//plsB//rsmG//
go_0000053_5	lpoB//
go_0000096_5	uxaA//
go_0000101_6	argC//
go_0000103_5	malQ//metC//
go_0000105_6	orn//malQ//rluA//napC//murQ//pyrG//rluA//
go_0000160_5	truC//
go_0000162_7	mtn//paaJ//waaG//argA//fadA//rsmD//mutH//nanE//tesB//
go_0000270_7	ydiO//rutB//waaB//dsdA//waaU//glpD//nadE//fucI//recG//aphA//
go_0000271_6	gntK//
go_0000302_5	metE//
go_0000303_6	metF//proB//
go_0000305_5	
go_0000372_11	
go_0000413_9	xthA//waaS//tnaA//rrrD//dusB//lysA//ppc//
go_0000453_8	nagZ//cdsA//fadK//tyrS//
go_0000455_9	dhaM//waaO//rfe//glpA//aroA//yieH//dmsC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	roxA//
go_0000726_7	rlmF//
go_0000731_7	dkgB//prmB//
go_0000737_7	
go_0000738_7	arsC//glxK//
go_0000746_4	
go_0000820_7	bglB//
go_0000902_5	
go_0000910_4	mpaA//hemE//umpG//
go_0000917_6	
go_0000918_6	
go_0000920_3	mobA//
go_0000921_6	
go_0000967_10	kduI//
go_0001101_4	cysN//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	menF//
go_0001510_5	rsmG//metK//
go_0001514_8	hcaB//
go_0001522_7	yihV//lpd//rlmD//tyrS//
go_0001558_5	
go_0001561_6	kdsD//
go_0001676_6	gshA//
go_0001680_11	tsaC//
go_0001682_11	rlmM//yagF//
go_0001731_7	
go_0001762_6	katE//
go_0001887_4	rffC//paaZ//
go_0001896_5	gabT//
go_0002047_6	tmcA//ulaF//
go_0002097_8	amiD//
go_0002098_9	tmk//arnA//gcvH//cobS//
go_0002099_9	eutD//serB//
go_0002100_9	serS//
go_0002101_9	rfbB//
go_0002128_7	ycaO//
go_0002131_9	dkgA//
go_0002132_9	pyrB//
go_0002136_10	yhdJ//
go_0002143_9	bioB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ilvD//
go_0002938_8	rbsD//
go_0002939_7	yahK//
go_0002943_8	rlmJ//
go_0002949_8	nhoA//phnJ//ruvC//
go_0003333_7	purB//entD//moeA//mug//napA//acpS//deoC//ybjI//mutS//gldA//alr//ispG//mhpC//
go_0005975_4	aspC//yghU//arsC//pyrD//ldhA//yghU//gloB//glgP//cobS//etp//murF//tatD//aldA//pdeR//ymdB//deoA//
go_0005976_5	dgcM//
go_0005977_6	hemE//
go_0005978_7	aroF//rutC//nirB//glcE//
go_0005980_7	glmM//ilvN//metE//
go_0005986_7	eptA//
go_0005990_7	opgB//
go_0005992_7	pgpC//speG//
go_0005993_7	queD//uvrC//rfaD//
go_0005995_7	phr//
go_0005998_7	lpxK//
go_0006000_6	thrC//
go_0006001_7	ilvM//ispA//
go_0006002_5	gapA//napC//tag//
go_0006006_6	trmA//cdh//cyaA//dmsB//trmO//
go_0006007_7	cadA//asd//
go_0006011_5	ribB//
go_0006012_6	puuE//
go_0006013_6	aes//
go_0006014_6	lpxD//
go_0006015_7	luxS//pdxB//
go_0006020_5	dgcT//
go_0006044_7	adhP//
go_0006046_8	idnD//gudD//
go_0006047_5	bioA//ilvH//
go_0006048_6	gstB//narY//ychF//selD//
go_0006053_8	scpC//
go_0006062_8	paaF//
go_0006071_6	sucB//adhP//
go_0006072_6	aroF//
go_0006082_4	frlC//
go_0006083_6	talB//pncB//slt//
go_0006086_8	cadA//kduD//
go_0006090_8	pheT//opgE//trpB//mtgA//ubiG//malS//menF//
go_0006094_7	fre//glgX//nanK//spoT//yagE//trmI//aes//frdA//dam//
go_0006096_6	frdD//cysC//patD//pdxY//tynA//mrcA//accB//glmS//aroF//gloB//lpxB//putA//rsmE//
go_0006097_5	ispB//scpC//alkB//rbn//mraY//
go_0006098_6	glyA//frdA//puuC//hemL//hisD//
go_0006099_4	rfbD//tehB//yjiA//yjcS//idi//cysQ//suhB//ybjG//wzc//narY//sseA//rnpA//kduI//
go_0006103_5	ligB//fruK//garD//yfeX//
go_0006104_6	umuC//
go_0006105_5	idi//
go_0006106_8	gltD//
go_0006107_8	
go_0006108_8	betB//dgcT//rsmG//rutC//
go_0006113_5	hisD//pck//
go_0006115_6	treA//
go_0006124_6	
go_0006144_6	
go_0006145_7	betA//
go_0006146_8	pgaC//
go_0006148_9	rlmE//
go_0006149_9	eda//
go_0006150_9	prs//
go_0006152_7	thiL//ybiV//cmoB//mcrA//pepD//
go_0006154_6	hcp//
go_0006161_9	hypF//
go_0006163_6	yihS//
go_0006164_7	aldA//argG//idi//hinT//
go_0006166_6	arnA//
go_0006168_7	ppk//cdd//
go_0006171_9	
go_0006172_9	yqjH//
go_0006177_9	gmhB//
go_0006178_7	rlmC//
go_0006183_9	waaY//
go_0006189_10	udk//argC//
go_0006203_8	waaB//lgoD//
go_0006206_6	purL//slyD//rluB//
go_0006207_8	frmA//dapF//nanK//bioA//hemN//
go_0006208_7	yeaG//lyxK//ycjU//thiM//eutD//acpS//
go_0006209_6	hisF//
go_0006210_8	yfaU//
