# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	araB//
go_0000025_7	panD//
go_0000027_7	metK//ydiF//dgoK//rbn//
go_0000028_7	aroD//
go_0000032_8	paaG//
go_0000041_8	kefF//
go_0000050_5	betA//bioD//kdsD//puuD//nudC//
go_0000053_5	pdxA//
go_0000096_5	kduI//
go_0000101_6	mltA//
go_0000103_5	ndk//rlmD//
go_0000105_6	fabB//hyaA//agp//accD//frmB//hisD//phr//
go_0000160_5	aspA//
go_0000162_7	metL//fadB//ulaE//umpH//hemH//cyaA//garR//cueO//ynfH//
go_0000270_7	rffG//eda//upp//truA//melA//epmA//dkgA//trmO//lldD//clsA//
go_0000271_6	rluF//
go_0000302_5	murQ//
go_0000303_6	rbsD//cmoB//
go_0000305_5	
go_0000372_11	
go_0000413_9	mutH//yfbR//sgbU//ppx//dut//mrcA//phnL//
go_0000453_8	cysQ//tsaB//entB//katE//
go_0000455_9	cysC//dmsA//purB//panB//hemA//yigL//thiM//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	ligA//
go_0000726_7	fucK//
go_0000731_7	gudD//phnL//
go_0000737_7	
go_0000738_7	gadA//glpB//
go_0000746_4	
go_0000820_7	menA//
go_0000902_5	
go_0000910_4	truD//gloC//tdk//
go_0000917_6	
go_0000918_6	
go_0000920_3	nudF//
go_0000921_6	
go_0000967_10	thiC//
go_0001101_4	purD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	btuE//
go_0001510_5	ychF//gph//
go_0001514_8	miaB//
go_0001522_7	glmU//purA//sucD//metF//
go_0001558_5	
go_0001561_6	lpxD//
go_0001676_6	fdhF//
go_0001680_11	mdh//
go_0001682_11	recR//speD//
go_0001731_7	
go_0001762_6	ycjU//
go_0001887_4	paaF//sucD//
go_0001896_5	tdcD//
go_0002047_6	hisB//pfkA//
go_0002097_8	queC//
go_0002098_9	glcD//ruvC//hinT//codA//
go_0002099_9	metH//ppiC//
go_0002100_9	garL//
go_0002101_9	sucB//
go_0002128_7	aroD//
go_0002131_9	pdeL//
go_0002132_9	ndh//
go_0002136_10	xapA//
go_0002143_9	pyrH//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	tilS//
go_0002938_8	proC//
go_0002939_7	chbG//
go_0002943_8	acnB//
go_0002949_8	putA//ilvH//puuB//
go_0003333_7	ndk//fbp//speG//cysM//coaE//hyaC//napA//tnaA//pdeR//rpe//purA//pykF//dcyD//
go_0005975_4	gluQ//fadJ//ulaE//pdxK//proB//ppx//rfaE//truD//galM//nrdE//mnmG//pnp//metG//sucD//nfi//phnJ//
go_0005976_5	lldD//
go_0005977_6	cpsB//
go_0005978_7	tmk//glmS//rnb//nrdD//
go_0005980_7	pgpA//entD//metF//
go_0005986_7	fabB//
go_0005990_7	lyxK//
go_0005992_7	moeA//dacD//
go_0005993_7	waaS//epmB//prpC//
go_0005995_7	insI-2//
go_0005998_7	hypB//
go_0006000_6	fadK//
go_0006001_7	hcaB//dsdA//
go_0006002_5	nrfC//ruvA//mrdA//
go_0006006_6	nrfD//ynfF//asnB//glpX//lsrK//
go_0006007_7	ynfH//ispG//
go_0006011_5	argK//
go_0006012_6	metB//
go_0006013_6	rlmJ//
go_0006014_6	ydiB//
go_0006015_7	nemA//ubiH//
go_0006020_5	entD//
go_0006044_7	napA//
go_0006046_8	rutB//nrdF//
go_0006047_5	rbn//hisH//
go_0006048_6	atoB//rfaD//alsE//hyi//
go_0006053_8	opgE//
go_0006062_8	mutT//
go_0006071_6	aroA//paaE//
go_0006072_6	yciA//
go_0006082_4	mocA//
go_0006083_6	kdgK//fucA//clsB//
go_0006086_8	sgbU//clsA//
go_0006090_8	nrdD//napB//rfaE//chbG//lpxK//phnL//alsE//
go_0006094_7	rbsK//nanA//plsC//lpxM//nadB//kefF//treF//lpxM//ulaF//
go_0006096_6	argS//folC//rluD//idnO//zwf//rfe//purB//ispU//ldtC//sdaA//pyrG//recJ//dosP//
go_0006097_5	hycB//rfe//ydiF//fucA//pdxA//
go_0006098_6	puuB//codA//ssuD//chbF//mmuM//
go_0006099_4	araD//rluC//proS//mltF//argK//lpxT//garK//torC//ruvB//speG//xylA//lysU//gatY//
go_0006103_5	fbaA//mhpA//ddlB//puuA//
go_0006104_6	tag//
go_0006105_5	mnmE//
go_0006106_8	tsaC//
go_0006107_8	
go_0006108_8	yfaU//argG//ubiD//hemC//
go_0006113_5	mug//bioA//
go_0006115_6	frdB//
go_0006124_6	
go_0006144_6	
go_0006145_7	gadB//
go_0006146_8	aroA//
go_0006148_9	tig//
go_0006149_9	ghrB//
go_0006150_9	ascB//
go_0006152_7	otsB//argC//glyS//cysG//pgpA//
go_0006154_6	dcd//
go_0006161_9	nudC//
go_0006163_6	dosP//
go_0006164_7	katE//lysA//mutM//ynfE//
go_0006166_6	rfbC//
go_0006168_7	gph//fkpA//
go_0006171_9	
go_0006172_9	tdh//
go_0006177_9	idnK//
go_0006178_7	ispG//
go_0006183_9	der//
go_0006189_10	pykF//waaA//
go_0006203_8	argS//eutD//
go_0006206_6	bglB//pdxJ//gadB//
go_0006207_8	hisA//carB//rimK//lpxM//yihS//
go_0006208_7	cyaA//tdcB//coaE//ppc//thrB//btuE//
go_0006209_6	nanE//
go_0006210_8	yjhH//
go_0006212_6	astC//cynS//waaG//metL//rph//acpS//dusC//rnd//mhpA//dgt//
go_0006217_9	rluD//
go_0006218_9	argK//
go_0006220_6	pgaD//
go_0006221_7	idnO//tig//miaB//
go_0006222_9	
go_0006225_9	murG//
go_0006226_9	araA//sodA//
go_0006227_9	wzc//
go_0006231_9	dapA//
go_0006233_9	cyaA//
go_0006235_9	cysI//
go_0006241_9	hflX//
go_0006259_5	aphA//eutD//birA//
go_0006260_6	leuS//narH//chbF//nadK//ppc//ispU//accC//
go_0006261_7	sdaA//dmsC//torY//
