# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nudF//
go_0000025_7	moeB//
go_0000027_7	leuS//thyA//gpp//dhaM//
go_0000028_7	ybjG//
go_0000032_8	cynS//
go_0000041_8	phnI//
go_0000050_5	argG//waaO//cysM//nemA//allD//
go_0000053_5	pgpB//
go_0000096_5	cpsG//
go_0000101_6	allC//
go_0000103_5	chbF//glpK//
go_0000105_6	der//trpC//dam//fadH//pdxB//wrbA//sthA//
go_0000160_5	tag//
go_0000162_7	selA//fucA//adeD//torA//pyrE//hemN//lpxD//sdaA//glmS//
go_0000270_7	moeA//galM//napC//bioF//tyrA//mltD//tmk//treA//hcaF//rlmH//
go_0000271_6	dgcZ//
go_0000302_5	dgoA//
go_0000303_6	bioF//dmsB//
go_0000305_5	
go_0000372_11	
go_0000413_9	nfsB//metE//leuS//waaY//tgt//pinE//xapA//
go_0000453_8	dmsA//uxaB//umuD//ftsI//
go_0000455_9	glpB//aspC//hcaD//ushA//melA//ribB//rbsD//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	yihS//
go_0000726_7	pgpA//
go_0000731_7	purB//bglB//
go_0000737_7	
go_0000738_7	mtn//dbpA//
go_0000746_4	
go_0000820_7	fau//
go_0000902_5	
go_0000910_4	gmd//ampH//eda//
go_0000917_6	
go_0000918_6	
go_0000920_3	sdhC//
go_0000921_6	
go_0000967_10	dacA//
go_0001101_4	rsuA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	glpD//
go_0001510_5	adhP//lyxK//
go_0001514_8	ppiC//
go_0001522_7	sucA//leuA//adhE//ymdB//
go_0001558_5	
go_0001561_6	acpH//
go_0001676_6	prmC//
go_0001680_11	dacC//
go_0001682_11	yfdR//ispA//
go_0001731_7	
go_0001762_6	uidA//
go_0001887_4	hemE//rsgA//
go_0001896_5	cysH//
go_0002047_6	valS//mhpD//
go_0002097_8	ubiE//
go_0002098_9	araD//yqaB//fucK//accA//
go_0002099_9	rlmH//mutH//
go_0002100_9	rbn//
go_0002101_9	prmB//
go_0002128_7	fumC//
go_0002131_9	trmO//
go_0002132_9	paaC//
go_0002136_10	rffH//
go_0002143_9	tktB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	yihS//
go_0002938_8	puuE//
go_0002939_7	uxaC//
go_0002943_8	purF//
go_0002949_8	moaA//glgP//rimK//
go_0003333_7	yfcG//alsE//murB//atoB//gmhB//yeiG//frdB//yqjH//ghrB//codA//xylA//yieF//tmcA//
go_0005975_4	eptA//ubiI//aldB//fadK//torC//nanE//gcvP//dapB//yfeX//phnG//fumA//pdxB//citC//dgcZ//tdcB//entC//
go_0005976_5	queA//
go_0005977_6	hemE//
go_0005978_7	dxs//hflX//mak//serA//
go_0005980_7	bglX//bioA//ddlB//
go_0005986_7	ttdA//
go_0005990_7	cysI//
go_0005992_7	ahr//glpB//
go_0005993_7	yfdR//cobB//moaD//
go_0005995_7	ycaO//
go_0005998_7	mug//
go_0006000_6	murG//
go_0006001_7	murD//pgpB//
go_0006002_5	hcp//glxK//clsB//
go_0006006_6	adhE//pyrD//cpsG//cobT//gstA//
go_0006007_7	aceF//aceB//
go_0006011_5	pgpC//
go_0006012_6	gcd//
go_0006013_6	hcaB//
go_0006014_6	bfr//
go_0006015_7	galT//pfkA//
go_0006020_5	bioH//
go_0006044_7	nrfD//
go_0006046_8	dmsB//asnB//
go_0006047_5	speE//acpT//
go_0006048_6	purB//ung//kefF//nanK//
go_0006053_8	nudG//
go_0006062_8	narV//
go_0006071_6	gabD//yihV//
go_0006072_6	prpC//
go_0006082_4	sucB//
go_0006083_6	phnP//araB//folA//
go_0006086_8	dgoD//hemG//
go_0006090_8	idnO//uidA//ydiF//glcD//rfbB//rrrD//fbaA//
go_0006094_7	waaF//add//gltD//yfdR//astB//yajO//ubiE//alkA//leuA//
go_0006096_6	tyrS//folE//rnt//mobA//narZ//nemA//bacA//tauD//pyrE//murG//cdsA//abgA//sdhA//
go_0006097_5	yggF//nagK//mgsA//ychF//cheB//
go_0006098_6	paaG//xthA//caiB//abgA//fdhF//
go_0006099_4	fumC//tmcA//dacD//sdhC//sgbH//umuC//waaZ//speD//pgl//hyaA//pabA//bacA//waaG//
go_0006103_5	nagK//fabD//queA//ligA//
go_0006104_6	accD//
go_0006105_5	gcd//
go_0006106_8	phnJ//
go_0006107_8	
go_0006108_8	hchA//thrA//otsB//rluE//
go_0006113_5	sdhB//kdgK//
go_0006115_6	waaY//
go_0006124_6	
go_0006144_6	
go_0006145_7	tdcD//
go_0006146_8	murQ//
go_0006148_9	ubiH//
go_0006149_9	glnS//
go_0006150_9	tdk//
go_0006152_7	pdxY//dusC//truC//trpE//glgC//
go_0006154_6	paaF//
go_0006161_9	dut//
go_0006163_6	wecB//
go_0006164_7	ddlA//gabT//thrA//rpe//
go_0006166_6	ilvM//
go_0006168_7	lpcA//yciV//
go_0006171_9	
go_0006172_9	ispH//
go_0006177_9	waaG//
go_0006178_7	trpE//
go_0006183_9	trpB//
go_0006189_10	sodB//selA//
go_0006203_8	apaH//waaC//
go_0006206_6	thiG//rluE//icd//
go_0006207_8	sthA//ppk//polB//lpxP//ychF//
go_0006208_7	nfi//ruvB//ilvN//cyoE//cysN//aceB//
go_0006209_6	rnpA//
go_0006210_8	idnK//
go_0006212_6	truA//mutT//pabC//hypF//rfbC//ddlB//carB//fadE//cobS//pdxB//
go_0006217_9	hemD//
go_0006218_9	nadB//
go_0006220_6	murI//
go_0006221_7	yfbR//eutD//betA//
go_0006222_9	
go_0006225_9	treF//
go_0006226_9	uxaA//ilvC//
go_0006227_9	entE//
go_0006231_9	nadE//
go_0006233_9	lpxB//
go_0006235_9	rnpA//
go_0006241_9	fadI//
go_0006259_5	guaA//cobB//phnO//
go_0006260_6	gldA//ftsI//hypF//udk//der//hyaB//yieF//
go_0006261_7	dgoA//pagP//cdh//
go_0006265_6	ilvC//cysG//
go_0006266_6	argI//lpxC//narZ//
go_0006267_5	
go_0006268_9	fucK//gldA//
go_0006269_6	fucI//
go_0006270_6	
