# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tyrS//
go_0000025_7	mnmG//
go_0000027_7	paaJ//fes//ackA//purB//
go_0000028_7	adiA//
go_0000032_8	moeB//
go_0000041_8	nrfB//
go_0000050_5	lsrK//pinE//treF//mhpD//gdhA//
go_0000053_5	ispG//
go_0000096_5	hemE//
go_0000101_6	fcl//
go_0000103_5	dcyD//rutC//
go_0000105_6	gadB//ftsI//carA//thrS//argH//thiE//thrS//
go_0000160_5	ldtE//
go_0000162_7	accC//rlmD//nemA//narY//caiB//nudC//uvrB//dgoK//recO//
go_0000270_7	acnB//tehB//fadB//cdsA//rlmA//truB//mutL//ygeX//acnB//aroC//
go_0000271_6	selA//
go_0000302_5	xylA//
go_0000303_6	cdh//entC//
go_0000305_5	
go_0000372_11	
go_0000413_9	ppc//asd//ulaD//cdh//alr//nanE//fadK//
go_0000453_8	dkgB//folE//umuC//rutB//
go_0000455_9	ynfF//paaA//ubiC//waaS//napB//ychF//slt//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	ddlB//
go_0000726_7	galM//
go_0000731_7	puuA//rnt//
go_0000737_7	
go_0000738_7	torZ//nadC//
go_0000746_4	
go_0000820_7	folE//
go_0000902_5	
go_0000910_4	ppsA//ssuD//purT//
go_0000917_6	
go_0000918_6	
go_0000920_3	idi//
go_0000921_6	
go_0000967_10	carB//
go_0001101_4	glyA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	hcaF//
go_0001510_5	bioF//ilvN//
go_0001514_8	alaS//
go_0001522_7	ycaO//nudG//pyrE//frmA//
go_0001558_5	
go_0001561_6	folP//
go_0001676_6	thiD//
go_0001680_11	waaO//
go_0001682_11	glmS//leuC//
go_0001731_7	
go_0001762_6	moeB//
go_0001887_4	moeA//gatY//
go_0001896_5	gshB//
go_0002047_6	talB//acpS//
go_0002097_8	murG//
go_0002098_9	kdsD//waaF//yfdR//citC//
go_0002099_9	glxK//cobB//
go_0002100_9	rluB//
