# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	mdh//
go_0000025_7	fadK//
go_0000027_7	sthA//aroD//dgcT//aphA//
go_0000028_7	narI//
go_0000032_8	mak//
go_0000041_8	thiL//
go_0000050_5	cpsB//tadA//glnE//eptC//rsmI//
go_0000053_5	feaB//
go_0000096_5	glxK//
go_0000101_6	mutY//
go_0000103_5	glxK//hycB//
go_0000105_6	tyrS//clsA//nagB//pagP//asnS//edd//patZ//
go_0000160_5	waaB//
go_0000162_7	rsgA//tyrA//otsA//ilvN//gmhB//pncB//bioB//trmJ//gatD//
go_0000270_7	pgk//moaE//cobC//dut//sbcB//cmoA//sodA//ychF//dapA//rutA//
go_0000271_6	phnO//
go_0000302_5	lipB//
go_0000303_6	cyoE//murI//
go_0000305_5	
go_0000372_11	
go_0000413_9	glpK//frlB//fadK//glmS//galM//argS//fbp//
go_0000453_8	plsB//phnP//yieF//trpC//
go_0000455_9	nudG//yfiC//thiG//rluF//garD//dkgB//fabZ//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	nrdF//
go_0000726_7	otsB//
go_0000731_7	dapD//lpxK//
go_0000737_7	
go_0000738_7	aceF//adhP//
go_0000746_4	
go_0000820_7	narG//
go_0000902_5	
go_0000910_4	rffG//accC//hcaE//
go_0000917_6	
go_0000918_6	
go_0000920_3	nanE//
go_0000921_6	
go_0000967_10	gapA//
go_0001101_4	proS//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	dacA//
go_0001510_5	ilvD//gpsA//
go_0001514_8	waaS//
go_0001522_7	alsE//nadA//mutY//valS//
go_0001558_5	
go_0001561_6	lysS//
go_0001676_6	phnN//
go_0001680_11	tyrB//
go_0001682_11	yqaB//pgk//
go_0001731_7	
go_0001762_6	pck//
go_0001887_4	yihS//hemB//
go_0001896_5	nadC//
go_0002047_6	speE//guaA//
go_0002097_8	thrS//
go_0002098_9	hinT//scpC//pdeF//torZ//
go_0002099_9	hemD//gatD//
go_0002100_9	dacA//
go_0002101_9	galT//
go_0002128_7	waaH//
go_0002131_9	dbpA//
go_0002132_9	ilvC//
go_0002136_10	ndh//
go_0002143_9	slt//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	etk//
go_0002938_8	lpoA//
go_0002939_7	gatY//
go_0002943_8	guaC//
go_0002949_8	rsuA//lpoA//udp//
go_0003333_7	dgcZ//nrdA//asnS//hdhA//cobT//dosP//hmp//ribE//rlmB//glpC//frmA//dapA//rluF//
go_0005975_4	insI-1//napB//selB//tadA//sucC//dusB//ldtE//ascB//galU//wcaJ//leuB//rluD//pta//glgX//adhP//rpe//
go_0005976_5	rfbC//
go_0005977_6	tktB//
go_0005978_7	hemH//ybcF//entB//yihT//
go_0005980_7	moeA//gshB//roxA//
go_0005986_7	accB//
go_0005990_7	dacC//
go_0005992_7	aroA//malQ//
go_0005993_7	fabI//gldA//pykA//
go_0005995_7	trmH//
go_0005998_7	phoA//
go_0006000_6	arnT//
go_0006001_7	pck//nadE//
go_0006002_5	kdgK//bcsA//epmA//
go_0006006_6	citX//trmA//mraY//tdcD//fadI//
go_0006007_7	rihB//citX//
