#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b4322//rpnB//b1391//b2628//
GO_0000023_6	b4265//
GO_0000025_7	b3458//
GO_0000027_7	b0189//b1703//b0421//b2898//b2716//b1234//b3080//b0051//b0329//b2998//b3083//b1599//b3942//
GO_0000028_7	b0677//b3748//b4052//b0949//b0564//b2086//b0938//b3228//b0040//
GO_0000032_8	b3912//
GO_0000041_8	b2914//b2414//b0369//b1215//b1857//b0061//b3786//b2510//b2780//b1619//b0805//b1650//b3453//b3491//b1126//b0859//b1838//b4063//b3500//b1919//b0422//b4148//b4026//b1191//b2333//b0467//b3563//b2570//b2526//b1375//b3129//b3006//b3049//b0622//b0572//b1341//b1888//b1922//b3700//
GO_0000050_5	b2364//b2431//b2845//b4471//b3037//b3726//b2674//
GO_0000053_5	b3742//
GO_0000096_5	b4143//b2147//b0041//b3940//b3253//b3206//b3967//b1307//b2405//b0140//b1534//b2387//b0632//b1243//b4421//b3358//b1526//b1620//b4361//b3066//b1160//
GO_0000097_6	b2162//b3279//b0138//b4018//b1945//b4220//b0728//b0004//b4374//b3615//b0534//b0697//b0657//b2387//
GO_0000098_6	b0915//b1723//b0061//b0881//b3509//
GO_0000101_6	b1736//b4221//b3860//b2755//b3143//b3916//b0850//b3906//b2687//b3423//b2961//b0339//b1114//b1209//b1619//
GO_0000103_5	b2843//b3579//b1288//
GO_0000105_6	b0936//b4095//b1099//b1513//b2416//b4388//b4202//b1801//
GO_0000154_7	b4565//b3450//b3955//b3847//b0592//b0305//b1188//b3667//b0034//b3915//b1967//b1599//b0256//b1930//b2330//b1272//b2763//b1780//b0325//b0855//b3654//b4020//b2220//b2594//b0381//b4220//b1312//b1884//b1100//b0521//b3736//b2330//
GO_0000160_5	b1202//b2913//b3303//b1133//b1204//b0001//b1913//b0556//b2421//selU//b0708//b4245//b0343//b0031//b2568//b2024//b0790//b3364//b3164//b1883//b0798//b2196//b1158//b3149//b2957//b0862//b2631//b3240//b0815//b1187//b4485//b0091//b3061//b1849//b2369//b2069//b1183//b0678//b2827//b0029//b3711//b0025//b3336//
GO_0000162_7	b4662//b1413//b4190//b0546//b1978//b3172//b1597//b4347//b4506//
GO_0000255_5	b4171//b3771//b3956//b3502//b1774//
GO_0000256_6	b2436//b3554//b0709//b3997//b0311//
GO_0000270_7	b4314//b0072//b1096//b0036//b3603//b2496//b2563//b4192//b1221//b3709//b3720//b0504//b2148//b3730//b3740//b1831//b0762//b3281//b0978//b2038//b1363//b0675//b3709//b0188//b1884//b0179//b4018//b2264//b4138//b2819//b0980//b4117//b2615//b1993//b4083//b1870//b2105//b3317//b3396//b0333//b0895//b2196//b1991//b2739//b0245//b1713//b2218//b1390//b0139//b2075//b2600//b1482//b2554//b0938//b2207//b2407//b1735//b2235//b0176//b0425//b2696//b2812//b0974//
GO_0000271_6	b2074//b3129//b2578//b3863//b2038//b1270//b0740//b3480//b2208//b2297//b2701//b4460//b2799//b2479//b0491//b2599//b2415//b2316//b0708//b4355//b1992//b0622//b2456//b2817//b4139//b1987//b1865//b3639//b0608//b2491//b3793//hprR//b2103//b4144//b2777//b3143//b0799//b2741//b3592//b3620//b3228//b0339//b3437//b0241//b1113//b0028//b3124//b2379//b1575//b4379//
GO_0000272_6	b4052//b3289//b3403//b3769//b2812//b3689//
GO_0000302_5	b4024//b1970//b2069//b0812//b2640//b3238//b4202//b0555//b4468//b4147//b3068//b3114//b0589//b3933//b3620//b0683//b3454//b1263//b1693//b0770//b3268//b1477//b3752//b3961//b0550//b1505//b0177//b1306//b2386//b3689//b3632//
GO_0000303_6	b0337//b1638//
GO_0000305_5	b0903//b0764//b3370//
GO_0000372_11	b4231//
GO_0000375_9	b3498//
GO_0000376_10	b2217//
GO_0000413_9	b0578//b4208//b2380//b2414//b1276//b0585//b1378//b4099//
GO_0000451_7	b1395//b1312//b3140//b0518//b0765//
GO_0000453_8	b3709//b1379//b0972//b2234//b3519//
GO_0000455_9	b3125//b2837//b3442//b0781//b1126//b0445//b1105//
GO_0000462_11	b2179//b3931//
GO_0000469_8	b2382//
GO_0000470_10	b0298//
GO_0000478_9	b2011//
GO_0000715_6	b2921//
GO_0000716_7	b1227//
GO_0000724_8	b3582//
GO_0000725_7	b4394//b2091//b2476//b3404//b0693//b0195//
GO_0000726_7	b0968//
GO_0000731_7	b2597//b2960//b1783//b3924//b0789//b2077//b1183//
GO_0000737_7	b4375//
GO_0000738_7	b1006//b2782//b3940//
GO_0000746_4	b1035//
GO_0000820_7	b3205//
GO_0000902_5	b1274//
