# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tcdA//
go_0000025_7	lpoA//
go_0000027_7	cobT//yfdR//gpmM//asnA//
go_0000028_7	scpB//
go_0000032_8	ribB//
go_0000041_8	xylA//
go_0000050_5	pabC//sufS//pfkA//leuA//ulaE//
go_0000053_5	kduD//
go_0000096_5	pphA//
go_0000101_6	waaA//
go_0000103_5	fkpA//dapD//
go_0000105_6	rlmF//bcsA//yhdJ//gatY//yagF//pgsA//rluF//
go_0000160_5	pabB//
go_0000162_7	serC//mpaA//aroD//prpB//cysK//pyrE//ahpC//gph//pyrB//
go_0000270_7	aroC//asnB//pgaB//recR//cysM//cysC//thrS//mrdA//sodC//dcm//
go_0000271_6	ribB//
go_0000302_5	glcD//
go_0000303_6	glnA//xdhB//
go_0000305_5	
go_0000372_11	
go_0000413_9	napB//guaD//amyA//sgbU//queF//der//gcd//
go_0000453_8	spoT//scpC//rffT//pgl//
go_0000455_9	melA//deoC//aroL//yihV//ribC//ssuE//dapD//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	tsaD//
go_0000726_7	purT//
go_0000731_7	hypB//kdsD//
go_0000737_7	
go_0000738_7	yfiC//pdxB//
go_0000746_4	
go_0000820_7	phnH//
go_0000902_5	
go_0000910_4	mrcA//thiL//thiC//
go_0000917_6	
go_0000918_6	
go_0000920_3	aceF//
go_0000921_6	
go_0000967_10	lpoB//
go_0001101_4	amiD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mnmC//
go_0001510_5	sseA//ubiF//
go_0001514_8	bioH//
go_0001522_7	ubiE//rne//trmJ//curA//
go_0001558_5	
go_0001561_6	lpoA//
go_0001676_6	sgbH//
go_0001680_11	tyrB//
go_0001682_11	sdhC//sucB//
go_0001731_7	
go_0001762_6	pncB//
go_0001887_4	glcB//rluA//
go_0001896_5	rsgA//
go_0002047_6	waaJ//entH//
go_0002097_8	narH//
go_0002098_9	murG//adiA//fadM//sgbH//
go_0002099_9	cysN//gph//
go_0002100_9	ampD//
go_0002101_9	garD//
go_0002128_7	narY//
go_0002131_9	murB//
go_0002132_9	asd//
go_0002136_10	ubiD//
go_0002143_9	mtgA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	nirD//
go_0002938_8	gltD//
go_0002939_7	ileS//
go_0002943_8	nrfD//
go_0002949_8	allD//asnA//pheA//
go_0003333_7	insI-1//preT//gapA//nadB//ldtE//gltD//hdhA//malP//guaB//thiE//suhB//ymdB//opgE//
go_0005975_4	torC//trmJ//bioC//aspS//icd//yqhD//fabA//scpB//araD//waaJ//asnB//kdsC//mog//mutY//torA//ubiH//
go_0005976_5	yihX//
go_0005977_6	gcvT//
go_0005978_7	rph//rffM//bioF//adhE//
go_0005980_7	waaS//acs//argD//
go_0005986_7	nhoA//
go_0005990_7	citC//
go_0005992_7	gudD//aroL//
go_0005993_7	sufS//rbsD//rhaA//
go_0005995_7	rph//
go_0005998_7	ahpC//
go_0006000_6	waaJ//
go_0006001_7	umpH//rfbB//
go_0006002_5	tig//malQ//menD//
go_0006006_6	astC//nrdE//ispH//uxaB//lysS//
go_0006007_7	nrdB//gcd//
go_0006011_5	hyi//
go_0006012_6	dgcM//
go_0006013_6	fumB//
go_0006014_6	glgC//
go_0006015_7	rlmM//dsdA//
go_0006020_5	moeB//
go_0006044_7	gpsA//
go_0006046_8	phr//phnO//
go_0006047_5	galU//sbcB//
go_0006048_6	yidA//pdxK//fkpA//ribF//
go_0006053_8	wzc//
go_0006062_8	fabZ//
go_0006071_6	hemB//tgt//
go_0006072_6	proB//
go_0006082_4	dadA//
go_0006083_6	dapF//rsgA//rhaB//
go_0006086_8	queD//paaB//
go_0006090_8	dusC//dgcZ//narZ//gabT//thrC//allC//ribA//
go_0006094_7	speB//pflB//gudD//scpB//dxs//fkpB//curA//ychF//hemD//
go_0006096_6	cysE//speG//waaG//menA//glpC//ugd//icd//uvrA//tdcE//rpe//ghrB//tauD//gdhA//
go_0006097_5	gstA//lpd//fabG//pdeL//ymdB//
go_0006098_6	speG//panB//pdeF//ybiV//rpe//
go_0006099_4	rlmA//pgpA//serC//gmhB//araD//ruvA//mltD//rluA//upp//ubiH//pdxA//fabH//arnT//
go_0006103_5	bcsA//ftnA//rluC//wrbA//
go_0006104_6	pphB//
go_0006105_5	aroH//
go_0006106_8	ynfF//
go_0006107_8	
go_0006108_8	panC//nadE//abgB//rsmI//
go_0006113_5	acnB//dgoD//
go_0006115_6	ligA//
go_0006124_6	
go_0006144_6	
go_0006145_7	mhpB//
go_0006146_8	lldD//
go_0006148_9	talB//
go_0006149_9	lpxP//
go_0006150_9	fucI//
go_0006152_7	fdhF//gadB//prpD//ilvB//sdaB//
go_0006154_6	aceF//
go_0006161_9	kduD//
go_0006163_6	moeA//
go_0006164_7	moeB//opgB//prmC//truB//
