# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	allB//
go_0000025_7	pagP//
go_0000027_7	gltB//yhdH//yjjX//kdsD//
go_0000028_7	aroE//
go_0000032_8	gpsA//
go_0000041_8	yjjG//
go_0000050_5	ruvA//mdh//tktA//thrS//mngB//
go_0000053_5	ulaE//
go_0000096_5	abgA//
go_0000101_6	trmL//
go_0000103_5	dhaM//nanE//
go_0000105_6	pgpC//yegS//tatD//treF//mutY//hemB//pyrE//
go_0000160_5	trmH//
go_0000162_7	solA//ulaG//acs//ttdB//rlmA//waaQ//dacD//tyrB//rpiB//
go_0000270_7	gpsA//thrB//gloC//rluA//dinB//bioF//rffM//frdC//rsmC//menH//
go_0000271_6	gshA//
go_0000302_5	tyrA//
go_0000303_6	aroC//pyrD//
go_0000305_5	
go_0000372_11	
go_0000413_9	rutC//nadB//dgkA//yfaU//mltC//poxB//bglX//
go_0000453_8	entC//frdC//gabT//argB//
go_0000455_9	cysS//pepD//aroH//pldB//sucB//hemH//truC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	gluQ//
go_0000726_7	xapA//
go_0000731_7	ampH//trpB//
go_0000737_7	
go_0000738_7	moeB//argI//
go_0000746_4	
go_0000820_7	hisI//
go_0000902_5	
go_0000910_4	napB//etp//yihS//
go_0000917_6	
go_0000918_6	
go_0000920_3	glgC//
go_0000921_6	
go_0000967_10	curA//
go_0001101_4	ttdA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	frdD//
go_0001510_5	gltX//nanK//
go_0001514_8	hyaC//
go_0001522_7	wzc//fabH//pncB//udk//
go_0001558_5	
go_0001561_6	lpxB//
go_0001676_6	hemL//
go_0001680_11	dmsC//
go_0001682_11	frdC//fabI//
go_0001731_7	
go_0001762_6	adk//
go_0001887_4	glpK//pdeH//
go_0001896_5	aphA//
go_0002047_6	lpxL//yhdJ//
go_0002097_8	orn//
go_0002098_9	metC//napC//pphB//nadD//
go_0002099_9	yghU//sseA//
go_0002100_9	waaO//
go_0002101_9	ampD//
go_0002128_7	ulaD//
go_0002131_9	ansA//
go_0002132_9	ilvM//
go_0002136_10	tynA//
go_0002143_9	tyrS//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	rfaD//
go_0002938_8	rlmF//
go_0002939_7	rlmI//
go_0002943_8	gph//
go_0002949_8	asnA//rffG//cof//
go_0003333_7	moeB//rsmI//polA//treF//rluE//polB//garR//truB//thiC//arnA//ybjI//gatD//nagK//
go_0005975_4	ispG//tadA//gshA//alkA//cyoE//dgcM//speC//entC//ftnA//pyrG//fadA//lpoB//pgsA//lpxC//mdh//wcaJ//
go_0005976_5	ynfE//
go_0005977_6	dgcM//
go_0005978_7	purD//xdhB//ispH//ulaF//
go_0005980_7	maeA//patA//ruvB//
go_0005986_7	recO//
go_0005990_7	hemH//
go_0005992_7	trpC//pdeL//
go_0005993_7	dbpA//aroG//mpaA//
go_0005995_7	surA//
go_0005998_7	apaH//
go_0006000_6	carB//
go_0006001_7	pabB//menH//
go_0006002_5	dosP//thrC//hyaA//
go_0006006_6	alkA//glyA//rsmC//pyrD//dnaE//
go_0006007_7	speD//folD//
go_0006011_5	acnB//
go_0006012_6	aldA//
go_0006013_6	ulaF//
go_0006014_6	hcaC//
go_0006015_7	folE//pyrF//
go_0006020_5	gabD//
go_0006044_7	gdhA//
go_0006046_8	ruvC//tnaA//
go_0006047_5	katG//gadB//
go_0006048_6	def//luxS//csdA//hisD//
go_0006053_8	narH//
go_0006062_8	lpoA//
go_0006071_6	speB//sdhC//
go_0006072_6	phnH//
go_0006082_4	mnmC//
go_0006083_6	argE//dld//argE//
go_0006086_8	alkA//aroA//
go_0006090_8	allB//pgaC//trpD//lacZ//glgP//ppc//plsB//
go_0006094_7	asnB//moeB//fbaA//hemC//ppsA//pdxA//cysK//fadB//mrcA//
go_0006096_6	menE//uvrB//rrrD//mnaT//hemN//trmI//mltC//hemE//nadA//yhdH//trpD//rutB//truB//
go_0006097_5	ubiA//pflB//opgE//mocA//dam//
go_0006098_6	citG//deoD//gatY//ldtB//carB//
go_0006099_4	surA//truA//ulaD//rlmJ//paaE//preT//mutY//recR//roxA//trmH//roxA//purB//pyrB//
go_0006103_5	fumC//proS//thiC//gpmA//
go_0006104_6	pflB//
go_0006105_5	trmL//
go_0006106_8	deoC//
go_0006107_8	
go_0006108_8	ispF//truD//fruK//entF//
go_0006113_5	fucO//prs//
go_0006115_6	guaC//
go_0006124_6	
go_0006144_6	
go_0006145_7	thiD//
go_0006146_8	gph//
go_0006148_9	frlC//
go_0006149_9	queG//
go_0006150_9	cmoB//
go_0006152_7	dcm//hemN//ispU//dcyD//sdhC//
go_0006154_6	gcl//
go_0006161_9	ubiC//
go_0006163_6	rlmG//
go_0006164_7	coaD//poxB//narI//frdA//
go_0006166_6	epmA//
go_0006168_7	rihC//pyrE//
go_0006171_9	
go_0006172_9	ynfF//
go_0006177_9	citG//
go_0006178_7	rbsK//
go_0006183_9	mnmA//
go_0006189_10	rlmA//dacC//
go_0006203_8	dnaQ//bioB//
go_0006206_6	trpB//pgaD//btuE//
go_0006207_8	sthA//argF//mutS//curA//yagE//
go_0006208_7	ulaD//nfsB//murC//gatY//sdhC//proS//
go_0006209_6	asnA//
go_0006210_8	bioF//
go_0006212_6	preA//sdhD//hflX//ispG//cof//pheS//zwf//yqaB//cysK//tsaB//
go_0006217_9	thiE//
go_0006218_9	sdhA//
go_0006220_6	clsC//
go_0006221_7	uvrC//etk//nrfD//
go_0006222_9	
go_0006225_9	aceA//
go_0006226_9	caiB//bglX//
go_0006227_9	dld//
go_0006231_9	lpxD//
go_0006233_9	ppiA//
go_0006235_9	yeiG//
go_0006241_9	lpd//
go_0006259_5	xdhB//ubiE//rlmJ//
go_0006260_6	paaB//thiL//fadA//nfi//tynA//trpC//yjjG//
go_0006261_7	cysQ//hemG//glyA//
go_0006265_6	aroL//pheT//
go_0006266_6	pflB//leuD//pyrF//
go_0006267_5	
go_0006268_9	dcd//paaH//
go_0006269_6	malQ//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	argA//nudG//
go_0006281_6	pykA//abgA//rfaE//dgcZ//mutL//yciA//hemN//mutS//truB//ltaE//ltaE//yjjG//cobU//fbaA//speB//ribE//pfkA//
go_0006283_8	
go_0006284_7	sdhB//moeA//idnK//pdeR//rluC//dkgB//
go_0006285_6	gntK//mltD//moaA//trmD//
go_0006288_8	cdd//pyrB//
go_0006289_7	
go_0006298_7	cysM//ligA//sgbE//tig//
go_0006301_7	
go_0006302_7	eda//gloA//
go_0006307_8	mutS//glcB//lpxM//hisF//eno//
go_0006308_6	aroF//cheB//nagA//ribA//
go_0006310_6	uxaB//yqaB//gpt//argK//fadB//
go_0006313_4	lplA//
go_0006351_6	ackA//rsgA//
go_0006352_7	
go_0006353_7	
go_0006354_7	waaZ//
go_0006355_7	lpd//
go_0006357_8	
go_0006364_9	gabT//phoA//hyaC//gadB//
go_0006378_8	ogt//
go_0006396_7	fkpA//tsaC//glmM//umpH//gpsA//
go_0006397_8	dhaL//
go_0006399_8	frdC//aspS//
go_0006400_7	yegS//menI//rlmA//lplA//lpxK//
go_0006401_6	ynfE//napA//uxuB//bioH//ansB//gpsA//
go_0006402_7	pdxH//paaE//hemB//waaB//glpX//glmU//bioF//
go_0006412_6	panD//spoT//nirD//ybiV//ruvB//
go_0006413_4	hchA//
go_0006414_6	
go_0006415_7	der//ssuE//
go_0006417_7	mnmE//hemH//
go_0006418_7	hisG//cheR//tig//argS//rph//feaB//metC//idnK//kdsD//nrdA//hflX//
go_0006419_8	hcaF//
go_0006420_8	melA//
go_0006421_8	galE//
go_0006422_8	thiD//
go_0006423_8	accD//
go_0006424_8	mltD//adhE//
go_0006425_8	yihX//
go_0006427_8	argS//
go_0006428_8	lgoD//
go_0006429_8	sucD//
go_0006430_8	dusB//aldA//
go_0006431_8	rnd//
go_0006432_8	uxaB//
go_0006433_8	nrdB//
go_0006434_8	epmB//
go_0006435_8	narZ//
go_0006436_8	menH//
go_0006437_8	nagZ//
go_0006438_8	dacC//
go_0006448_8	
go_0006450_4	thiL//accA//cueO//caiD//yqaB//pldB//
go_0006457_3	ahpC//nagB//rlmI//bcsA//lpxB//galU//chbF//
go_0006458_4	
go_0006464_6	dxr//cysS//alaC//serC//tnaA//ispH//metB//argB//
go_0006465_6	ruvC//pinE//yqjH//
go_0006468_7	aroA//
go_0006470_7	mhpA//nudF//rlmH//dnaE//leuC//
go_0006473_8	pyrG//
go_0006474_6	rluA//uvrC//ruvC//
go_0006476_8	tsaD//
go_0006479_5	accC//alkB//dapD//guaA//apaH//tktB//
go_0006486_5	ribE//
go_0006490_5	epmC//
go_0006508_5	rne//rfe//agp//fabH//tktB//ydiF//dinB//paoC//asnA//ssuD//deoA//tmcA//caiB//rfe//rsmF//ubiG//lgoD//pdeR//accD//mnmE//gatD//purF//mngB//uxaA//fucA//gdhA//edd//cyoE//thrC//gstA//selD//ruvC//wzb//
go_0006515_7	glcB//mhpD//ycjU//rhaD//metC//waaA//mutT//
go_0006517_6	metC//dhaK//
go_0006518_5	pinE//yihV//
go_0006523_8	murE//fumB//
go_0006524_8	
go_0006526_8	cobS//yihU//eptB//rffM//ackA//preT//gltX//
go_0006527_8	csdA//dld//mngB//ppiC//trmA//
go_0006529_7	clsA//tpiA//
go_0006530_7	nth//nrfD//mazG//nfi//
go_0006531_7	cpsB//
go_0006532_8	queF//yqaB//talB//
go_0006535_8	pnp//umuC//trmJ//
go_0006537_8	cysC//
go_0006538_8	cysK//moaD//
go_0006541_7	paaC//adeD//waaJ//rfaE//rsmG//
go_0006542_8	cmk//nrdD//
go_0006543_8	
go_0006545_6	gstB//
go_0006546_6	fabG//uxaC//kefF//
go_0006554_8	leuS//aldA//xdhB//
go_0006556_5	pabC//
go_0006559_6	sodA//
