# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	fabG//
go_0000025_7	speD//
go_0000027_7	rsmI//argS//thyA//rluE//
go_0000028_7	pyrG//
go_0000032_8	folX//
go_0000041_8	gabD//
go_0000050_5	thiD//yjhH//puuC//trmJ//malS//
go_0000053_5	trmL//
go_0000096_5	dfp//
go_0000101_6	nagZ//
go_0000103_5	nadA//dkgB//
go_0000105_6	hyi//nrdA//lpcA//hisC//ampD//ndh//xthA//
go_0000160_5	arnB//
go_0000162_7	gpp//tdcD//lgoD//ulaD//paaA//kdsC//rffC//rsmB//rne//
go_0000270_7	ung//lpxT//ulaF//trmH//pyrF//sdhD//rsgA//napA//murA//kduD//
go_0000271_6	surA//
go_0000302_5	pgaD//
go_0000303_6	tpiA//trpB//
go_0000305_5	
go_0000372_11	
go_0000413_9	lpcA//tadA//mltB//cysC//dgoD//der//slyD//
go_0000453_8	nrfB//panB//mltC//lgoD//
go_0000455_9	ulaG//ruvB//speA//nadD//cdh//gshB//ravA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	dapF//
go_0000726_7	lysA//
go_0000731_7	malZ//allB//
go_0000737_7	
go_0000738_7	thiL//alsE//
go_0000746_4	
go_0000820_7	trmL//
go_0000902_5	
go_0000910_4	galK//folE//yagF//
go_0000917_6	
go_0000918_6	
go_0000920_3	kbaZ//
go_0000921_6	
go_0000967_10	rsmI//
go_0001101_4	mutS//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mnmA//
go_0001510_5	gntK//araA//
go_0001514_8	tig//
go_0001522_7	hisI//mtn//queC//hycB//
go_0001558_5	
go_0001561_6	yeiG//
go_0001676_6	ispG//
go_0001680_11	ilvA//
go_0001682_11	eno//chbF//
go_0001731_7	
go_0001762_6	nrdF//
go_0001887_4	rnb//ddlA//
go_0001896_5	gpsA//
go_0002047_6	kbaY//purA//
go_0002097_8	accB//
go_0002098_9	gcvP//nirB//nrfA//deoD//
go_0002099_9	ruvA//rbsK//
go_0002100_9	kbaY//
go_0002101_9	pdxK//
go_0002128_7	thiD//
go_0002131_9	birA//
go_0002132_9	ppk//
go_0002136_10	betB//
go_0002143_9	ldhA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	zwf//
go_0002938_8	uxuA//
go_0002939_7	ispU//
go_0002943_8	bcsA//
go_0002949_8	rlmI//birA//nudC//
go_0003333_7	ilvH//psd//adeD//nrfC//ynfF//nrdA//eda//ruvC//cysI//torZ//ubiF//waaC//kdsB//
go_0005975_4	entD//glmM//rlmH//cysG//ribD//idnO//yciV//hchA//ampH//mngB//carA//rlmH//torC//fucA//dgt//thiL//
go_0005976_5	acpT//
go_0005977_6	nudC//
go_0005978_7	ahpC//aroD//sdhC//etp//
go_0005980_7	yrfG//ynfE//cysC//
go_0005986_7	lpxD//
go_0005990_7	sthA//
go_0005992_7	malS//tadA//
go_0005993_7	ybhA//fbp//rlmJ//
go_0005995_7	ltaE//
go_0005998_7	pykF//
go_0006000_6	asnS//
go_0006001_7	pfkB//nrfB//
go_0006002_5	cheR//pykF//acnA//
go_0006006_6	pgaC//rutE//rbsK//udp//napB//
go_0006007_7	insI-2//leuA//
go_0006011_5	ycjU//
go_0006012_6	ydiB//
go_0006013_6	gshA//
go_0006014_6	wzb//
go_0006015_7	pykF//recR//
go_0006020_5	torY//
go_0006044_7	gloB//
go_0006046_8	argC//mhpC//
go_0006047_5	queC//pck//
