# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ubiD//
go_0000025_7	paaJ//
go_0000027_7	fklB//adhE//queC//maeA//
go_0000028_7	phnL//
go_0000032_8	waaZ//
go_0000041_8	xapA//
go_0000050_5	xdhB//fkpA//truA//speD//speD//
go_0000053_5	ansA//
go_0000096_5	proC//
go_0000101_6	cysE//
go_0000103_5	gadA//glgX//
go_0000105_6	uvrA//alr//kduD//rdgB//pck//accD//dxs//
go_0000160_5	menE//
go_0000162_7	recF//pinE//fkpB//queD//ileS//lpxT//hyi//rlmE//cobS//
go_0000270_7	ydiB//cpsB//tehB//kdsC//lysU//ispG//ribC//coaA//nagA//polA//
go_0000271_6	tag//
go_0000302_5	yrfG//
go_0000303_6	fabA//speA//
go_0000305_5	
go_0000372_11	
go_0000413_9	umuD//waaZ//uxaA//rdgB//sdhA//cysQ//torA//
go_0000453_8	speD//feaB//gutQ//queD//
go_0000455_9	maa//ycaO//speE//sgbH//pdeF//chbG//rihA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	rsmE//
go_0000726_7	purF//
go_0000731_7	chbG//lipB//
go_0000737_7	
go_0000738_7	thiG//trmI//
go_0000746_4	
go_0000820_7	ydiB//
go_0000902_5	
go_0000910_4	dosP//nrfA//waaY//
go_0000917_6	
go_0000918_6	
go_0000920_3	ung//
go_0000921_6	
go_0000967_10	oxc//
go_0001101_4	hmp//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	truB//
go_0001510_5	dapD//der//
go_0001514_8	rbsD//
go_0001522_7	yfeX//waaU//recO//mak//
go_0001558_5	
go_0001561_6	dusC//
go_0001676_6	hisA//
go_0001680_11	idnO//
go_0001682_11	cadA//dapA//
go_0001731_7	
go_0001762_6	gmhB//
go_0001887_4	lpxT//pyrE//
go_0001896_5	mngB//
go_0002047_6	uxaB//truD//
go_0002097_8	yqhD//
go_0002098_9	cobU//mcrA//chbG//gdhA//
go_0002099_9	udp//pepD//
go_0002100_9	fabB//
go_0002101_9	rsmI//
go_0002128_7	pgm//
go_0002131_9	umpH//
go_0002132_9	cysD//
go_0002136_10	fcl//
go_0002143_9	panB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	hinT//
go_0002938_8	tgt//
go_0002939_7	lsrK//
go_0002943_8	phnI//
go_0002949_8	ppc//ribB//hinT//
go_0003333_7	rluA//entE//gltD//allB//ydiO//yfbR//ushA//dmsC//thiM//dacA//wrbA//alkA//pgm//
go_0005975_4	carA//srlD//uxuA//ndk//lpoA//moaD//aldA//ispH//lpxC//hemG//yagE//gabT//gloA//hisH//galM//hemA//
go_0005976_5	ansB//
go_0005977_6	serA//
go_0005978_7	hemL//rnb//ybjI//arnB//
go_0005980_7	rlmE//ubiC//sad//
go_0005986_7	ahr//
go_0005990_7	ynfE//
go_0005992_7	dmsC//waaC//
go_0005993_7	paaA//lyxK//patD//
go_0005995_7	purF//
go_0005998_7	thiI//
go_0006000_6	dfp//
go_0006001_7	rluE//ilvB//
go_0006002_5	ltaE//waaG//yihS//
go_0006006_6	rnpA//ulaD//nagK//nrdF//rlmE//
go_0006007_7	glpK//feaB//
go_0006011_5	fadH//
go_0006012_6	nagZ//
go_0006013_6	ybiV//
go_0006014_6	astC//
go_0006015_7	aldA//folD//
go_0006020_5	rluB//
go_0006044_7	nrfD//
go_0006046_8	moaA//ulaG//
go_0006047_5	uxaA//deoA//
go_0006048_6	nhoA//tsaB//menF//pgk//
go_0006053_8	galT//
go_0006062_8	dgoK//
go_0006071_6	menC//kdsA//
go_0006072_6	patZ//
go_0006082_4	pheS//
go_0006083_6	alaA//hflX//glmM//
go_0006086_8	gstA//mnmE//
go_0006090_8	rfe//argC//lysU//ydiF//polB//ybjI//mutM//
go_0006094_7	thrA//purB//rluA//yeaG//dgoD//waaJ//proS//ydiO//allB//
go_0006096_6	tynA//mnmC//xylA//chbG//adhE//menA//clsB//pfkB//metH//xylB//yihU//mnaT//yjiA//
go_0006097_5	ispA//mug//gatY//acnA//codA//
go_0006098_6	accA//ynfH//yhdJ//napB//ribD//
go_0006099_4	cysQ//rsmJ//murC//carB//ldtD//dld//waaQ//wecC//nrfA//cobB//selB//purT//pgaD//
go_0006103_5	ldcC//epmC//napB//tmcA//
go_0006104_6	ogt//
go_0006105_5	amiD//
go_0006106_8	hisH//
go_0006107_8	
go_0006108_8	treA//mdh//uvrA//ppk//
go_0006113_5	ldtA//poxB//
go_0006115_6	phnJ//
go_0006124_6	
go_0006144_6	
go_0006145_7	cdd//
go_0006146_8	lyxK//
go_0006148_9	fucI//
go_0006149_9	iscS//
go_0006150_9	murD//
go_0006152_7	moaA//phnG//mtlD//rutD//tdh//
go_0006154_6	fau//
go_0006161_9	phnO//
go_0006163_6	pgk//
go_0006164_7	pyrG//gor//cpdA//lpxD//
go_0006166_6	pheT//
go_0006168_7	trpS//mog//
go_0006171_9	
go_0006172_9	spoT//
go_0006177_9	rsmC//
go_0006178_7	napB//
go_0006183_9	ispU//
go_0006189_10	nagZ//wecB//
go_0006203_8	glgA//arnA//
go_0006206_6	zwf//hcaB//uvrB//
go_0006207_8	dnaQ//ilvH//glnS//murC//thiG//
go_0006208_7	paaC//pyrG//insI-2//frdD//rffG//carA//
go_0006209_6	gpp//
go_0006210_8	alsE//
go_0006212_6	purD//curA//yjhH//aes//gutQ//dacA//ybcF//yghU//uvrA//frdC//
go_0006217_9	yajO//
go_0006218_9	ddlA//
go_0006220_6	metH//
go_0006221_7	speC//clsC//trpC//
go_0006222_9	
go_0006225_9	pheT//
go_0006226_9	lyxK//gutQ//
go_0006227_9	epmA//
go_0006231_9	dkgA//
go_0006233_9	cysM//
go_0006235_9	hisA//
go_0006241_9	ruvB//
go_0006259_5	dadA//ribC//tsaB//
go_0006260_6	garD//garK//fumC//moeA//nrdB//acnA//bacA//
go_0006261_7	moeA//azoR//menD//
go_0006265_6	yfiC//rlmJ//
go_0006266_6	gshA//kduD//arsC//
go_0006267_5	
go_0006268_9	sucD//rsmE//
go_0006269_6	thiL//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	mazG//bfr//
go_0006281_6	ppsA//spoT//pnp//rsmE//lpxT//accC//thrB//rluB//glpK//pheT//rph//yidA//malZ//pheT//aroB//wzc//insI-2//
go_0006283_8	
go_0006284_7	fadM//wecC//allC//glcD//bioA//prpC//
go_0006285_6	glxR//pyrD//lpxT//xylB//
go_0006288_8	apt//epmA//
go_0006289_7	
go_0006298_7	waaQ//trmA//yagF//alsK//
go_0006301_7	
go_0006302_7	tsaD//pdxJ//
go_0006307_8	torA//curA//ldcA//gapA//gadB//
go_0006308_6	hypB//katG//hemB//codA//
go_0006310_6	gloB//lpxP//metF//murF//fumA//
go_0006313_4	hemL//
go_0006351_6	ubiA//aroF//
go_0006352_7	
go_0006353_7	
go_0006354_7	tsaC//
go_0006355_7	ybjG//
go_0006357_8	
go_0006364_9	tsaB//bglA//waaP//mazG//
go_0006378_8	mpaA//
go_0006396_7	uxaA//trpE//waaJ//nudF//rluA//
go_0006397_8	fadM//
go_0006399_8	phnI//amiD//
go_0006400_7	yigB//abgA//tesB//dfp//ribE//
go_0006401_6	arsC//lpoB//tig//hcaF//ushA//rhaD//
go_0006402_7	purU//thrA//aroB//hisS//pbpC//metG//metL//
go_0006412_6	yihT//hemG//ogt//accC//murC//
go_0006413_4	waaH//
go_0006414_6	
go_0006415_7	paaB//narI//
go_0006417_7	cysS//ampH//
go_0006418_7	nanK//glpA//aroD//nirD//paaK//fcl//puuD//yfaU//hemC//mraY//bfr//
go_0006419_8	wzc//
go_0006420_8	glpD//
go_0006421_8	ahpC//
go_0006422_8	lsrK//
go_0006423_8	speA//
go_0006424_8	accA//ubiA//
go_0006425_8	tsaE//
go_0006427_8	rfbC//
go_0006428_8	pnp//
go_0006429_8	rlmA//
go_0006430_8	acs//mnmG//
go_0006431_8	sufS//
go_0006432_8	ascB//
go_0006433_8	folD//
go_0006434_8	glyA//
go_0006435_8	folA//
go_0006436_8	dinB//
go_0006437_8	metL//
go_0006438_8	mpaA//
go_0006448_8	
go_0006450_4	ilvM//dld//lldD//purA//idnD//yhdH//
go_0006457_3	frdB//menI//aceA//bioC//hcaF//lysS//murI//
go_0006458_4	
go_0006464_6	acs//aroC//glcD//gltX//sucA//lpoA//pdeL//gadB//
go_0006465_6	bglA//sseA//rhaB//
go_0006468_7	lgoD//
go_0006470_7	fumC//thrC//torA//purD//ycjU//
go_0006473_8	sthA//
go_0006474_6	puuC//paaF//murD//
go_0006476_8	pdeF//
go_0006479_5	glnS//ahpC//kbaZ//xapA//thrS//nth//
go_0006486_5	fabZ//
go_0006490_5	ugd//
go_0006508_5	lpxH//thiC//ilvC//patZ//pgpB//torZ//yihS//dgcT//ansA//phnJ//folA//dacD//cmoB//yihS//yfbR//pgaD//spoT//yjhG//deoD//bioB//alkA//nudF//uxaC//waaC//rlmG//ldcC//glxK//lipA//cmoA//miaB//folP//waaP//pepD//
go_0006515_7	kbaY//fadM//ulaE//garD//kduD//yccX//recJ//
go_0006517_6	pdxJ//gph//
go_0006518_5	rluE//dinB//
go_0006523_8	lacZ//gstA//
go_0006524_8	
go_0006526_8	panB//paaC//ynfF//tdcE//rfbB//argB//agp//
go_0006527_8	pnp//gltB//lipA//dinB//hycB//
go_0006529_7	srlD//rph//
go_0006530_7	folA//ddlA//lpcA//hypF//
go_0006531_7	puuB//
go_0006532_8	frdC//puuA//yfdR//
go_0006535_8	fumA//paoC//edd//
go_0006537_8	icd//
go_0006538_8	gcvH//cysG//
go_0006541_7	malZ//hemL//entB//rbsD//bcsA//
go_0006542_8	pgaD//relA//
go_0006543_8	
go_0006545_6	ubiC//
go_0006546_6	phnJ//pyrB//dgt//
go_0006554_8	rlmH//thyA//tag//
go_0006556_5	ilvB//
go_0006559_6	gatY//
go_0006561_6	rbsD//metL//
go_0006563_7	opgE//
go_0006564_8	uidA//gshB//rluC//mak//
go_0006565_8	dapF//gltX//menD//moeA//dacC//
go_0006566_7	tsaD//
go_0006567_8	alkB//ppx//yagE//pyrH//epmB//spoT//leuA//
go_0006569_7	folC//
go_0006571_7	yagF//citX//
go_0006593_7	hyaB//
go_0006598_8	mutS//rlmA//yihT//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	tmcA//eptA//
go_0006631_5	rfaE//glpA//waaL//eptC//trmD//
go_0006633_6	pinE//paoC//dcyD//mazG//argI//yfdR//ymdB//waaJ//yihV//mutL//recR//
go_0006635_6	paaE//ychF//codA//dgcT//wzc//alaC//glgA//ftnA//sdhD//bioC//curA//chbG//
go_0006636_7	
go_0006637_5	talB//fbaA//rsmH//dapF//tehB//
go_0006646_7	
go_0006650_6	
go_0006654_7	nadB//
go_0006655_7	coaE//etk//
go_0006725_4	ubiX//
go_0006729_6	yegS//rsmG//
go_0006730_4	gudD//rlmD//mrcA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	relA//frdA//rne//menF//rluC//yfeX//trpC//idnK//nrdB//rlmH//ppiC//kbaY//
go_0006749_5	frmA//dgt//
go_0006750_6	aroG//lpoB//
go_0006751_6	dnaQ//
go_0006757_5	moaA//
go_0006760_5	preA//
go_0006761_7	waaO//
go_0006771_5	dhaL//
go_0006772_6	hisA//cdsA//
go_0006777_5	dmsA//ydfG//rffM//metK//gmhB//
go_0006779_6	yihT//rsuA//manA//rsmJ//ubiD//
go_0006780_7	uvrC//
go_0006782_7	waaC//murB//phnP//nadD//
go_0006783_5	dacA//nadA//nanA//nanE//ligB//pabC//scpC//
go_0006790_4	rnpA//curA//bioB//yegS//pdeF//waaG//yghU//sucC//dgoA//cdsA//
go_0006791_2	pgaC//lipA//fabG//
go_0006793_4	lipA//puuC//
go_0006798_5	lpxB//
go_0006799_5	nrfA//
go_0006801_5	metF//garL//gabT//
go_0006805_4	nrfB//tmk//asnS//fabA//
go_0006807_3	gpmA//tktB//glcE//
go_0006808_4	glmM//
go_0006810_4	gcvP//rfbC//rsmI//menD//hcaD//dusB//fruK//yciA//cmoA//glcB//pgpC//pgk//ynfH//rsmJ//lpxH//garK//katE//hemH//mutM//trpA//purL//purD//rsmE//coaE//murB//solA//accB//aroA//fabB//patZ//gstA//pgk//dhaK//frdC//fadM//truD//insI-1//pncB//arsC//folD//paaH//fkpB//hpt//puuE//argI//garD//waaF//thiI//nth//fucO//dgoK//argH//sseA//purA//gshA//xapA//cmk//chbG//folE//yajO//lpoB//narH//nemA//tyrS//aroC//nagZ//nirB//ligB//mobA//yjjX//truD//paaA//glcF//nrfA//fadB//rlmL//alaS//
go_0006811_5	pck//ubiE//ymdB//yeiG//ackA//lpxK//glxR//rsmD//btuE//lsrK//caiB//
go_0006812_6	lpcA//aroH//
go_0006813_8	valS//tdcE//recO//hinT//rfe//speF//ghrB//puuD//
go_0006814_8	sdhA//aroE//frdA//valS//
go_0006817_8	recR//
go_0006820_6	menH//rutB//dhaL//sdaB//trpC//
go_0006821_8	torC//
go_0006824_8	ilvC//murA//allC//nrfA//
go_0006825_9	ansA//
go_0006826_9	pldB//
go_0006828_9	phnP//
go_0006829_9	ansA//treA//wrbA//argE//tdcE//
go_0006833_6	
go_0006835_8	fadH//iscS//
go_0006847_8	add//
go_0006855_6	ppiA//rihA//zwf//araB//lpxC//narZ//dbpA//dgkA//ilvD//serB//folC//hisF//kdgK//speE//
go_0006857_7	insI-2//serC//patD//
go_0006863_7	sgbH//
go_0006865_6	pphB//kduD//menE//mpaA//argS//cpsB//hisS//ynfE//pheS//ydfG//cpsG//chbG//yeiG//adhP//scpB//rutB//pphB//bioC//ldtA//hemL//lpxH//
go_0006868_7	yfeW//
go_0006869_6	phnN//
go_0006874_8	
go_0006876_8	nadK//
go_0006878_9	pflB//
go_0006879_9	gltX//ycaO//
go_0006880_4	glnE//aroC//
go_0006882_8	deoB//
go_0006883_8	gcl//mutL//wrbA//
go_0006884_4	
go_0006885_9	rph//
go_0006886_5	
go_0006928_3	ilvB//
go_0006935_4	ulaE//hemG//rffT//cheR//yggF//
go_0006970_4	trpA//nrfB//araD//dxs//xylA//mngB//
go_0006972_5	ydfG//miaB//nrfC//cmoB//glmM//
go_0006974_5	mrdA//gmk//accB//entA//katE//mltC//mutL//frdB//aroE//rutC//clsC//argA//opgE//dusC//accA//yqjH//ansB//tmcA//fadD//tatD//pabA//guaB//lysA//menA//nirB//fucA//apaH//poxB//glmS//glpB//pfkB//pta//fklB//pgpA//hisS//alaA//lipA//dxr//speF//yeaG//sodC//waaG//folC//glcF//dapA//rhaM//ruvB//glpK//scpC//hinT//carB//galU//argB//acs//folA//alr//glnE//ppiC//purB//pyrC//curA//umpG//gadA//rlmF//fbp//hemH//malY//selA//gadB//purU//prs//trpC//metF//thiI//trpC//xapA//glxK//rffG//pgaB//rnt//ravA//pdeL//torZ//glmM//ubiH//trpS//narZ//truA//nadB//ispH//ybcF//astB//ispH//mepS//idnK//
go_0006979_4	kefF//hpt//thrB//pyrF//carB//csdA//phnM//fbp//coaA//araA//rlmA//cobB//glxK//treF//argI//bacA//folP//selD//epmB//pdxH//ubiC//aphA//thiC//uvrA//bioB//mcrA//
go_0006986_5	pfkB//
go_0006995_6	lpxP//ribE//
go_0007059_3	rsmI//fkpA//
go_0007062_4	
go_0007155_3	fumC//
go_0007165_3	hemL//dcyD//
go_0007234_5	
go_0007584_4	
go_0008033_9	acpS//waaU//ltaE//sad//lpcA//aldB//sdhD//rsmE//
go_0008104_4	
go_0008152_2	kdsB//garD//dacC//argF//yihS//fabA//menD//acnB//sodB//manA//galT//ldcA//cpsG//dxs//chbF//hemC//fabI//
go_0008156_8	
go_0008219_3	
go_0008272_6	truC//tdcB//
go_0008295_6	fes//gntK//tsaE//
go_0008299_5	hycB//
go_0008360_4	gadB//paaH//wzc//frmB//ndk//scpC//rlmF//ispF//galT//yihV//ldtA//
go_0008610_5	nadD//purD//moaA//torZ//
go_0008615_6	narZ//argD//umuD//fumC//lipA//frdD//gldA//
go_0008616_8	citE//sucB//purA//trmH//yjiA//yihU//
go_0008643_6	trpE//bcsA//srlD//nirB//tpiA//alkB//argD//murD//dmsC//gutQ//deoC//lyxK//cadA//frlC//thyA//betB//aroA//nanA//
