# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gnd//
go_0000025_7	phnG//
go_0000027_7	truB//cysE//puuB//nrfA//
go_0000028_7	yidA//
go_0000032_8	clsB//
go_0000041_8	hcaB//
go_0000050_5	yggF//bglB//nrdD//argK//pheS//
go_0000053_5	narY//
go_0000096_5	pdxA//
go_0000101_6	phnN//
go_0000103_5	nanE//thiL//
go_0000105_6	torC//ulaE//phnN//pabC//folA//gor//dmsB//
go_0000160_5	frdD//
go_0000162_7	allB//rffM//opgE//solA//glcE//hcp//pyrF//waaF//menD//
go_0000270_7	putA//serS//pdxY//fadK//dnaQ//ubiA//cysD//carB//fau//nudF//
go_0000271_6	ribA//
go_0000302_5	deoC//
go_0000303_6	ttdA//narH//
go_0000305_5	
go_0000372_11	
go_0000413_9	yciV//waaZ//cheB//curA//metC//queA//katG//
go_0000453_8	yrfG//mutT//rutE//yagE//
go_0000455_9	fau//yjjG//hyaC//hisA//add//recR//ascB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	valS//
go_0000726_7	ppiA//
go_0000731_7	deoA//phnN//
go_0000737_7	
go_0000738_7	insI-2//rbsK//
go_0000746_4	
go_0000820_7	prpC//
go_0000902_5	
go_0000910_4	entF//ribE//valS//
go_0000917_6	
go_0000918_6	
go_0000920_3	abgB//
go_0000921_6	
go_0000967_10	pnp//
go_0001101_4	clsB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	gcl//
go_0001510_5	menH//hisH//
go_0001514_8	nrdF//
go_0001522_7	sgbE//alaS//glgB//hemL//
go_0001558_5	
go_0001561_6	selB//
go_0001676_6	cmk//
go_0001680_11	bioF//
go_0001682_11	fadH//dusC//
go_0001731_7	
go_0001762_6	hisF//
go_0001887_4	mltA//ampH//
go_0001896_5	eno//
go_0002047_6	treF//allB//
go_0002097_8	lgoD//
go_0002098_9	rhaD//bioC//glcF//fkpA//
go_0002099_9	lpxT//recJ//
go_0002100_9	uxaA//
go_0002101_9	pdeL//
go_0002128_7	hemC//
go_0002131_9	apt//
go_0002132_9	folC//
go_0002136_10	truA//
go_0002143_9	fadI//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	araA//
go_0002938_8	asnS//
go_0002939_7	btuR//
go_0002943_8	hemB//
go_0002949_8	tynA//kbaZ//fadK//
go_0003333_7	glgC//moaA//fcl//ilvM//pyrF//cobT//narG//thrS//ppsA//ftnA//cmk//mazG//kbaZ//
go_0005975_4	ribC//dcyD//psd//lldD//coaA//polB//kdsB//sodC//pepD//pdxB//idnO//rihA//ymdB//ygjK//thyA//srlD//
go_0005976_5	tynA//
go_0005977_6	murQ//
go_0005978_7	menA//menB//tpiA//rffH//
go_0005980_7	gmhB//kbaZ//chbG//
go_0005986_7	treA//
go_0005990_7	sdaB//
go_0005992_7	oxc//rlmJ//
go_0005993_7	gcvP//pdxB//pdxJ//
go_0005995_7	ybhA//
go_0005998_7	kduI//
go_0006000_6	pyrB//
go_0006001_7	araD//alsE//
go_0006002_5	ispA//ribD//speF//
go_0006006_6	sdhA//aroF//mug//rrrD//paoC//
go_0006007_7	plsC//pyrD//
go_0006011_5	metG//
go_0006012_6	thiD//
go_0006013_6	nanE//
go_0006014_6	paaC//
go_0006015_7	srlD//pdeF//
go_0006020_5	dacA//
go_0006044_7	gstB//
go_0006046_8	tmcA//leuS//
go_0006047_5	ansA//folC//
go_0006048_6	ligA//nrfA//mhpA//hcaB//
go_0006053_8	lipB//
go_0006062_8	psd//
go_0006071_6	mak//ubiA//
go_0006072_6	waaY//
go_0006082_4	lsrK//
go_0006083_6	leuD//nrdB//pgl//
go_0006086_8	gstB//amiD//
go_0006090_8	yqjH//aroF//ppk//chbG//gpsA//rluC//nrdB//
go_0006094_7	rffM//dnaE//ydiB//ubiG//yciA//cueO//cueO//idnD//pncB//
go_0006096_6	hcaE//fbp//dmsA//leuS//yahK//pyrE//abgB//uxuA//yfdR//gltB//gmk//ligA//serS//
go_0006097_5	orn//galE//fadH//dhaM//paaA//
go_0006098_6	gpp//ssuD//cpsG//nagA//fabH//
go_0006099_4	dcyD//ubiI//purC//menI//metB//mhpA//lysU//rlmA//pgm//mnmE//fabB//dmsA//gltX//
go_0006103_5	der//fabH//gshA//amiD//
go_0006104_6	thiD//
go_0006105_5	pphB//
go_0006106_8	torY//
go_0006107_8	
go_0006108_8	dgcM//ilvN//rsmC//yigB//
go_0006113_5	betB//hisG//
go_0006115_6	lpxD//
go_0006124_6	
go_0006144_6	
go_0006145_7	cobS//
go_0006146_8	trpC//
go_0006148_9	pyrG//
go_0006149_9	pflB//
go_0006150_9	ilvI//
go_0006152_7	ddlB//glmS//glyS//napA//cadA//
go_0006154_6	yggF//
go_0006161_9	etk//
go_0006163_6	eptB//
go_0006164_7	yhdH//ilvC//lpoB//rfbB//
go_0006166_6	sodA//
go_0006168_7	btuR//nrdB//
go_0006171_9	
go_0006172_9	patD//
go_0006177_9	tmk//
go_0006178_7	polA//
go_0006183_9	gstA//
go_0006189_10	thiH//recF//
go_0006203_8	murE//ycaO//
go_0006206_6	dkgB//purT//ilvA//
go_0006207_8	rhaD//moaD//dhaM//waaY//rsmI//
go_0006208_7	gatD//nagK//hcaB//rfe//puuB//sad//
go_0006209_6	dapB//
go_0006210_8	fabD//
go_0006212_6	lysS//cysG//yagF//tesB//nudG//ppk//lpxP//gloB//pphA//leuB//
go_0006217_9	acpH//
go_0006218_9	rsuA//
go_0006220_6	rsmI//
go_0006221_7	kdsB//murI//sdhC//
go_0006222_9	
go_0006225_9	relA//
go_0006226_9	thiH//fabH//
go_0006227_9	ilvH//
go_0006231_9	narV//
go_0006233_9	yfbR//
go_0006235_9	mrcB//
go_0006241_9	menH//
go_0006259_5	cmoB//nfi//garR//
go_0006260_6	icd//ycaO//kdsB//bglX//lpoB//hyi//acs//
go_0006261_7	psd//nagA//lysU//
go_0006265_6	birA//psd//
go_0006266_6	lgoD//speD//hypF//
go_0006267_5	
go_0006268_9	tig//nrfA//
go_0006269_6	ppc//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	argI//mutM//
go_0006281_6	cysM//speG//cynS//panC//cdd//dut//rsmJ//arnB//deoA//hisB//mrcA//citE//yeaG//der//ampD//mutM//rutE//
go_0006283_8	
go_0006284_7	luxS//glgA//pyrC//yihV//ghrB//fcl//
go_0006285_6	tilS//ilvN//accB//truD//
go_0006288_8	purF//ygjK//
go_0006289_7	
go_0006298_7	rpiB//fadH//phnG//rsuA//
go_0006301_7	
go_0006302_7	hemH//aroK//
