# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nfi//
go_0000025_7	luxS//
go_0000027_7	puuB//ybcF//glpB//tktB//
go_0000028_7	hmp//
go_0000032_8	pykA//
go_0000041_8	glgB//
go_0000050_5	frdC//lpxC//allD//waaL//yrfG//
go_0000053_5	gatY//
go_0000096_5	arnT//
go_0000101_6	queD//
go_0000103_5	proA//amiD//
go_0000105_6	selB//deoC//waaB//dgt//yqjH//ravA//glk//
go_0000160_5	purN//
go_0000162_7	hflX//ravA//kbaZ//mutL//hcaF//dsdA//cdsA//ubiC//rsmG//
go_0000270_7	suhB//tpiA//tdcB//mutH//rpiA//menE//metL//arnT//pheA//dkgA//
go_0000271_6	treF//
go_0000302_5	ilvC//
go_0000303_6	uvrC//psuG//
go_0000305_5	
go_0000372_11	
go_0000413_9	leuA//yciV//dcm//citC//pagP//waaA//recG//
go_0000453_8	uxaA//rlmJ//trpD//bglX//
go_0000455_9	mdh//opgB//yihX//hyi//yeaG//xapA//moeA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	ispU//
go_0000726_7	rhaM//
go_0000731_7	tnaA//entE//
go_0000737_7	
go_0000738_7	pdxH//agp//
go_0000746_4	
go_0000820_7	birA//
go_0000902_5	
go_0000910_4	trpB//sthA//metB//
go_0000917_6	
go_0000918_6	
go_0000920_3	pphB//
go_0000921_6	
go_0000967_10	idi//
go_0001101_4	waaO//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pgpC//
go_0001510_5	glpK//uvrA//
go_0001514_8	paaK//
go_0001522_7	rne//ispF//acpT//hpt//
go_0001558_5	
go_0001561_6	rimK//
go_0001676_6	glgP//
go_0001680_11	hisG//
go_0001682_11	polB//pdxK//
go_0001731_7	
go_0001762_6	dnaE//
go_0001887_4	azoR//malZ//
