# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	thrC//
go_0000025_7	ubiE//
go_0000027_7	lldD//hyaA//ppiC//feaB//
go_0000028_7	metB//
go_0000032_8	nrdA//
go_0000041_8	menD//
go_0000050_5	idi//tsaC//coaD//insI-1//rdgB//
go_0000053_5	frc//
go_0000096_5	waaQ//
go_0000101_6	dxr//
go_0000103_5	purL//mutY//
go_0000105_6	ndk//malY//lysU//ynfH//araB//patD//paoC//
go_0000160_5	yfbR//
go_0000162_7	lipB//folX//hemE//tag//prpC//pdxJ//nadK//nemA//kdsA//
go_0000270_7	phnL//malQ//epmA//hisC//purL//phr//yihX//fadK//hypB//deoC//
go_0000271_6	menB//
go_0000302_5	puuD//
go_0000303_6	nadC//murD//
go_0000305_5	
go_0000372_11	
go_0000413_9	argB//purD//sodA//bioF//rsmD//maeA//rsmG//
go_0000453_8	wcaJ//avtA//tehB//nadA//
go_0000455_9	srlD//luxS//thiE//sdaA//ubiI//polA//pnp//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	mnaT//
go_0000726_7	eutD//
go_0000731_7	gltB//mutT//
go_0000737_7	
go_0000738_7	puuB//dusC//
go_0000746_4	
go_0000820_7	nanA//
go_0000902_5	
go_0000910_4	ubiH//pldB//dsdA//
go_0000917_6	
go_0000918_6	
go_0000920_3	gor//
go_0000921_6	
go_0000967_10	udp//
go_0001101_4	tyrA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	ubiA//
go_0001510_5	mtgA//murB//
go_0001514_8	pyrB//
go_0001522_7	nemA//menE//prpC//rlmL//
go_0001558_5	
go_0001561_6	ydiB//
go_0001676_6	patD//
go_0001680_11	arnA//
go_0001682_11	tdcG//rhaA//
go_0001731_7	
go_0001762_6	glpX//
go_0001887_4	udp//fadI//
go_0001896_5	deoC//
go_0002047_6	moaA//nudF//
go_0002097_8	fadI//
go_0002098_9	speC//idnO//xthA//nrfB//
go_0002099_9	bcsA//btuR//
go_0002100_9	acnB//
go_0002101_9	rpiB//
go_0002128_7	rpe//
go_0002131_9	gor//
go_0002132_9	speE//
go_0002136_10	nrdD//
go_0002143_9	pgpC//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	eptB//
go_0002938_8	hycB//
go_0002939_7	waaQ//
go_0002943_8	paaZ//
go_0002949_8	pdeF//epmC//purT//
go_0003333_7	kdsB//galU//alaC//frdC//pdxA//tdh//sufS//lgoD//nudF//pdeF//ygeX//xdhB//gadA//
go_0005975_4	mcrA//bglA//uxaC//ilvN//dmlA//narY//serC//eno//tsaD//selB//rimK//thyA//waaS//rihB//chbF//bioD//
go_0005976_5	ada//
go_0005977_6	ubiI//
go_0005978_7	glpB//waaH//cysK//hisC//
go_0005980_7	alr//srlD//cpsG//
go_0005986_7	truC//
go_0005990_7	acnB//
go_0005992_7	ligA//gatD//
go_0005993_7	csdA//alsK//hemD//
go_0005995_7	dut//
go_0005998_7	mazG//
go_0006000_6	hcaC//
go_0006001_7	gloC//rlmH//
go_0006002_5	aspS//aroL//fumB//
go_0006006_6	gpp//waaZ//fabH//ilvD//rffT//
go_0006007_7	fadJ//uvrB//
go_0006011_5	glgC//
go_0006012_6	fucK//
go_0006013_6	rsmG//
go_0006014_6	rhaM//
go_0006015_7	ybjG//surA//
go_0006020_5	nrdB//
go_0006044_7	fruK//
go_0006046_8	fadA//queC//
go_0006047_5	pykF//bglB//
go_0006048_6	nrfA//lpxT//nadA//cpdA//
go_0006053_8	hemH//
go_0006062_8	ftnA//
go_0006071_6	xylA//menH//
go_0006072_6	fadM//
go_0006082_4	cysN//
go_0006083_6	accA//patD//lsrG//
go_0006086_8	entD//yagE//
go_0006090_8	bioB//hisF//speC//hcaC//aroE//fadJ//yihT//
go_0006094_7	tsaB//cfa//ahr//iaaA//nanK//arnT//amyA//yccX//murD//
go_0006096_6	ushA//tsaB//murF//rluE//sgbH//folC//paoC//mutY//sgbH//fcl//rfaD//gmd//umpH//
go_0006097_5	ilvA//thrC//selB//ruvC//hdhA//
go_0006098_6	sufS//fruK//uxuA//recO//rnt//
go_0006099_4	plsB//phnH//dmlA//ldhA//recG//yjiA//rutE//paaC//purT//asnB//cheB//sodB//argE//
go_0006103_5	fabZ//frdA//gpsA//kdsD//
go_0006104_6	rlmM//
go_0006105_5	coaA//
go_0006106_8	patD//
go_0006107_8	
go_0006108_8	dapF//mepS//slyD//dkgA//
go_0006113_5	tyrS//argC//
go_0006115_6	pgpA//
go_0006124_6	
go_0006144_6	
go_0006145_7	pcm//
go_0006146_8	glgB//
go_0006148_9	suhB//
go_0006149_9	rffM//
go_0006150_9	paaJ//
go_0006152_7	nrfC//ychF//puuB//hemC//csdA//
go_0006154_6	panB//
go_0006161_9	yajO//
go_0006163_6	guaD//
go_0006164_7	speE//rlmI//yfcF//glpB//
go_0006166_6	rlmM//
go_0006168_7	ubiF//gltD//
go_0006171_9	
go_0006172_9	alaC//
go_0006177_9	betB//
go_0006178_7	cheB//
go_0006183_9	rsmF//
go_0006189_10	galK//oxc//
go_0006203_8	lyxK//bglB//
go_0006206_6	nagB//mltA//argK//
go_0006207_8	napB//purN//queD//rlmF//thiE//
go_0006208_7	murC//ndk//rfbC//cadA//tdcE//udp//
go_0006209_6	purB//
go_0006210_8	adhP//
go_0006212_6	argG//ldtC//napC//lpoB//dusB//nadD//cheB//entF//thiD//araA//
go_0006217_9	ubiE//
go_0006218_9	deoC//
go_0006220_6	ycaO//
go_0006221_7	fbp//cof//yihU//
go_0006222_9	
go_0006225_9	gmd//
go_0006226_9	prpB//ribC//
go_0006227_9	yigB//
go_0006231_9	metB//
go_0006233_9	pagP//
go_0006235_9	cysH//
go_0006241_9	rsmD//
go_0006259_5	narH//clsB//ilvC//
