# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tsaE//
go_0000025_7	lysC//
go_0000027_7	gabT//paaK//yagF//garD//
go_0000028_7	ispG//
go_0000032_8	garD//
go_0000041_8	trmL//
go_0000050_5	leuB//frdC//ubiX//glxK//dacD//
go_0000053_5	fruK//
go_0000096_5	ansB//
go_0000101_6	ilvA//
go_0000103_5	dam//mak//
go_0000105_6	fabA//narY//rffH//hypB//agp//tag//hypF//
go_0000160_5	sufS//
go_0000162_7	ymdB//katE//uxaA//hypF//folM//yagE//mcrA//ogt//yegS//
go_0000270_7	narH//sucA//speF//glyS//hemH//guaA//trpD//yigL//pgi//waaC//
go_0000271_6	mak//
go_0000302_5	sdhA//
go_0000303_6	ycaO//cysI//
go_0000305_5	
go_0000372_11	
go_0000413_9	eptB//ulaF//nirD//leuC//lpxP//cheB//yghU//
go_0000453_8	pgl//pgaB//galE//gltB//
go_0000455_9	ribD//pgl//cdh//etk//dld//hemN//hyaB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	cadA//
go_0000726_7	thiI//
go_0000731_7	rbn//spoT//
go_0000737_7	
go_0000738_7	tdk//murB//
go_0000746_4	
go_0000820_7	orn//
go_0000902_5	
go_0000910_4	ubiH//pdxB//yeaE//
go_0000917_6	
go_0000918_6	
go_0000920_3	dxs//
go_0000921_6	
go_0000967_10	relA//
go_0001101_4	panC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	waaC//
go_0001510_5	glcB//pta//
go_0001514_8	ligB//
go_0001522_7	citE//pgpC//lysC//paaE//
go_0001558_5	
go_0001561_6	uxuB//
go_0001676_6	gnd//
go_0001680_11	fadJ//
go_0001682_11	puuB//rihA//
go_0001731_7	
go_0001762_6	pphA//
go_0001887_4	tesB//aroH//
go_0001896_5	thiE//
go_0002047_6	dcd//gpt//
go_0002097_8	fes//
go_0002098_9	wecB//trpE//cpsG//cmoA//
go_0002099_9	metK//ycjU//
go_0002100_9	rhaA//
go_0002101_9	ddlB//
go_0002128_7	guaA//
go_0002131_9	lipB//
go_0002132_9	maa//
go_0002136_10	arnB//
go_0002143_9	agp//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	phnO//
go_0002938_8	rlmH//
go_0002939_7	lpxM//
go_0002943_8	paaJ//
go_0002949_8	mltC//asnS//rutC//
go_0003333_7	entF//trpB//rluA//uvrA//hpt//tdcD//fadJ//sucA//adhP//thiG//glpC//cobS//dgoA//
go_0005975_4	argH//aroK//tsaD//mug//folD//hcaF//queD//tatD//deoD//alkA//aspC//prmC//ulaE//leuB//pdxJ//ispB//
go_0005976_5	epmC//
go_0005977_6	ubiH//
go_0005978_7	lpoB//rbsK//aspC//hemE//
go_0005980_7	garL//gpmA//rrrD//
go_0005986_7	pabA//
go_0005990_7	tatD//
go_0005992_7	truA//tyrS//
