# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	umuC//
go_0000025_7	kduD//
go_0000027_7	azoR//idi//insI-1//ravA//
go_0000028_7	tdh//
go_0000032_8	cmk//
go_0000041_8	guaA//
go_0000050_5	birA//etp//mnmE//folM//dnaE//
go_0000053_5	ulaG//
go_0000096_5	pdeH//
go_0000101_6	eptA//
go_0000103_5	narY//panC//
go_0000105_6	ruvB//rlmC//wzc//pinE//maeA//ispF//mdh//
go_0000160_5	rfbC//
go_0000162_7	yjiA//lyxK//rlmI//arnB//ubiC//mobA//lpxD//ubiC//curA//
go_0000270_7	kdsB//ppsA//metC//katG//nrfC//entA//rffM//rrrD//argG//hcaB//
go_0000271_6	gpmA//
go_0000302_5	gmd//
go_0000303_6	galU//ulaG//
go_0000305_5	
go_0000372_11	
go_0000413_9	pheT//nanA//ugd//dhaK//pyrB//ppiA//luxS//
go_0000453_8	mocA//narG//narI//cysE//
go_0000455_9	accD//glmM//ppiA//kbaY//pagP//insI-2//ispG//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	fabA//
go_0000726_7	insI-2//
go_0000731_7	fabA//pdxJ//
go_0000737_7	
go_0000738_7	gpmM//dnaQ//
go_0000746_4	
go_0000820_7	paaF//
go_0000902_5	
go_0000910_4	glpC//ydfG//pyrF//
go_0000917_6	
go_0000918_6	
go_0000920_3	pabB//
go_0000921_6	
go_0000967_10	nhoA//
go_0001101_4	speD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	dosP//
go_0001510_5	hemB//aroF//
go_0001514_8	ubiE//
go_0001522_7	psd//rfaD//rfaD//mog//
go_0001558_5	
go_0001561_6	ligB//
go_0001676_6	dhaK//
go_0001680_11	sseA//
go_0001682_11	galK//mug//
go_0001731_7	
go_0001762_6	hisC//
go_0001887_4	ligA//truC//
go_0001896_5	rlmB//
go_0002047_6	gmk//kdsD//
go_0002097_8	thiD//
go_0002098_9	leuA//napC//pgpB//hisD//
go_0002099_9	ubiF//bacA//
go_0002100_9	rlmF//
go_0002101_9	allD//
go_0002128_7	rsgA//
go_0002131_9	lsrG//
go_0002132_9	ldhA//
go_0002136_10	lipA//
go_0002143_9	nrdF//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	deoA//
go_0002938_8	thiH//
go_0002939_7	recG//
go_0002943_8	glcD//
go_0002949_8	pflB//ulaD//ravA//
go_0003333_7	mtlD//wcaJ//uidA//epmC//ldtB//paaE//rfbC//argS//panE//hinT//gpmA//ppc//treF//
go_0005975_4	trpB//sad//dacD//gltX//ilvB//argS//yccX//thiE//glgC//hemB//aroB//moaE//rutC//dgoA//queG//dmsC//
go_0005976_5	hemE//
go_0005977_6	cysM//
go_0005978_7	cheB//yahK//hemG//puuC//
go_0005980_7	pheS//ybiV//bioH//
go_0005986_7	kbaY//
go_0005990_7	guaC//
go_0005992_7	frlC//tdk//
go_0005993_7	pdeH//nudG//thiD//
go_0005995_7	melA//
go_0005998_7	treC//
go_0006000_6	truA//
go_0006001_7	purT//gcvT//
go_0006002_5	wrbA//hdhA//citX//
go_0006006_6	idnK//garR//rlmJ//pyrH//tdh//
go_0006007_7	nadD//trmJ//
go_0006011_5	lpcA//
go_0006012_6	malQ//
go_0006013_6	rsmG//
go_0006014_6	mrcB//
go_0006015_7	paaK//garD//
go_0006020_5	kdsA//
go_0006044_7	tilS//
go_0006046_8	trmH//curA//
go_0006047_5	phnJ//mog//
go_0006048_6	tyrB//gmd//narH//frdD//
go_0006053_8	nrfC//
go_0006062_8	hisC//
go_0006071_6	xapA//thiM//
go_0006072_6	narI//
go_0006082_4	cysI//
go_0006083_6	ltaE//ynfE//dinB//
go_0006086_8	pyrE//lsrG//
go_0006090_8	purA//glcD//plsB//leuC//tcdA//thyA//phnG//
go_0006094_7	gatD//hisF//rutC//aroE//hisC//rluD//mutH//rlmD//ldtD//
go_0006096_6	yqhD//sucA//prpD//pheS//gutQ//pbpC//cobC//sdhA//mrdA//thiC//ribA//rffC//paaA//
go_0006097_5	glxR//pyrG//nrdB//pncB//aroD//
go_0006098_6	yhdJ//gadB//lsrG//frmB//yjjX//
go_0006099_4	paaJ//treA//hemD//wecB//folX//kbaY//alkB//puuC//rlmG//pphA//paoC//gshB//ddlA//
go_0006103_5	pdxY//araB//ubiE//xapA//
go_0006104_6	hmp//
go_0006105_5	gstA//
go_0006106_8	umpH//
go_0006107_8	
go_0006108_8	sgbE//cmoA//yccX//mrcB//
go_0006113_5	arnB//aceB//
go_0006115_6	slt//
go_0006124_6	
go_0006144_6	
go_0006145_7	tig//
go_0006146_8	etk//
go_0006148_9	folA//
go_0006149_9	queG//
go_0006150_9	hdhA//
go_0006152_7	torC//ileS//deoB//murD//iaaA//
go_0006154_6	araD//
go_0006161_9	pdeR//
go_0006163_6	uxuA//
go_0006164_7	cpdB//glpB//miaA//glpA//
go_0006166_6	dcm//
go_0006168_7	hmp//fadE//
go_0006171_9	
go_0006172_9	lpxP//
go_0006177_9	pykA//
go_0006178_7	dcyD//
go_0006183_9	speB//
go_0006189_10	mcrA//pyrF//
go_0006203_8	gpmA//ilvD//
go_0006206_6	waaP//gadA//hcp//
go_0006207_8	gph//yfeW//truA//pepD//ilvN//
go_0006208_7	hemF//gcl//yfiC//nadD//speE//yegS//
go_0006209_6	cdsA//
go_0006210_8	idnO//
go_0006212_6	araA//yjhG//paaE//gntK//mutS//rlmM//aceF//wzc//ttdA//menE//
go_0006217_9	idnO//
go_0006218_9	uxuA//
go_0006220_6	gcvH//
go_0006221_7	sucC//slt//gloC//
go_0006222_9	
go_0006225_9	trpC//
go_0006226_9	rlmF//paaE//
go_0006227_9	gcvT//
go_0006231_9	psd//
go_0006233_9	insI-1//
go_0006235_9	ribC//
go_0006241_9	tilS//
go_0006259_5	pinE//kbaY//menC//
go_0006260_6	hcaE//guaA//maeA//metH//ileS//ackA//gor//
go_0006261_7	roxA//guaB//apaH//
go_0006265_6	guaC//ltaE//
go_0006266_6	metK//garL//fabD//
go_0006267_5	
go_0006268_9	sdhD//lysA//
go_0006269_6	glyS//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	dsdA//zwf//
go_0006281_6	guaA//ligB//fabD//nudC//mnmA//tsaC//putA//putA//sdhB//coaE//ubiG//cysM//avtA//ilvD//sucC//icd//cpsG//
go_0006283_8	
go_0006284_7	ydfG//entA//kduD//bioC//murC//ubiH//
go_0006285_6	rsmJ//waaB//kefF//glpD//
go_0006288_8	mgsA//ung//
go_0006289_7	
go_0006298_7	arnT//rfbD//bioD//rsmJ//
go_0006301_7	
go_0006302_7	insI-1//ldtD//
go_0006307_8	rluC//fadK//rne//metE//leuC//
go_0006308_6	glxR//nudF//astC//rutE//
go_0006310_6	cysS//yfcF//nrdD//tdcB//hcp//
go_0006313_4	waaL//
go_0006351_6	gstB//dinB//
go_0006352_7	
go_0006353_7	
go_0006354_7	yihV//
go_0006355_7	puuA//
go_0006357_8	
go_0006364_9	gabT//asnS//ftsI//ispU//
go_0006378_8	gstB//
go_0006396_7	etk//cpdA//fabZ//sgbH//metK//
go_0006397_8	valS//
go_0006399_8	rsmA//ahr//
go_0006400_7	fkpB//rbn//citG//murQ//wecC//
go_0006401_6	yihU//lsrG//rffH//argB//araB//nrfB//
go_0006402_7	paaG//yigL//tnaA//acpS//dusC//rlmI//paoC//
go_0006412_6	cfa//pphB//thiM//truC//truC//
go_0006413_4	galE//
go_0006414_6	
go_0006415_7	adhE//lpxC//
go_0006417_7	rlmG//waaP//
go_0006418_7	frmA//glgC//aroK//pgl//apaH//ubiF//hdhA//coaE//fadH//folM//ubiF//
go_0006419_8	ttdB//
go_0006420_8	maeA//
go_0006421_8	hyi//
go_0006422_8	pcm//
go_0006423_8	prpC//
go_0006424_8	rutD//eutB//
go_0006425_8	pdxY//
go_0006427_8	nudG//
go_0006428_8	cynT//
go_0006429_8	pflB//
go_0006430_8	metL//rlmI//
go_0006431_8	tag//
go_0006432_8	paaZ//
go_0006433_8	dkgA//
go_0006434_8	btuE//
go_0006435_8	yqjH//
go_0006436_8	ilvD//
go_0006437_8	hemE//
go_0006438_8	lpd//
go_0006448_8	
go_0006450_4	rlmF//hyaA//yfaU//purN//dgoA//ribD//
go_0006457_3	pabB//dut//tehB//fau//mtgA//ubiG//thrB//
go_0006458_4	
go_0006464_6	cpsG//fumB//ftsI//panE//ldcA//gpsA//preT//torA//
go_0006465_6	mltF//rlmJ//bioB//
go_0006468_7	nadB//
go_0006470_7	rbsD//argS//waaJ//fre//aroH//
go_0006473_8	gapA//
go_0006474_6	hemH//umuC//ribD//
go_0006476_8	dxs//
go_0006479_5	yciV//queD//sodC//sdaA//nrfA//bacA//
go_0006486_5	ldcC//
go_0006490_5	eptC//
go_0006508_5	paaF//acnB//dapA//bcsA//rsuA//sad//mug//gpmM//polA//phnP//phnG//nrdF//aroA//paaC//der//cysI//dusC//dxs//pgl//yccX//pabA//rsuA//epmB//fcl//rlmF//insI-2//yhdH//menF//waaF//lipB//pheS//iaaA//tyrA//
go_0006515_7	thiI//coaE//citE//ansB//argS//trpD//rlmL//
go_0006517_6	hyaB//dhaK//
go_0006518_5	mutM//menC//
go_0006523_8	slyD//astB//
go_0006524_8	
go_0006526_8	trpC//pta//pgsA//paaB//eutD//yjjX//serS//
go_0006527_8	astC//proB//pabB//truB//rfaE//
go_0006529_7	speC//lldD//
go_0006530_7	ilvE//ttdB//gcvT//hinT//
go_0006531_7	ynfH//
go_0006532_8	lpxK//ndh//ubiC//
go_0006535_8	pyrC//pyrC//feaB//
go_0006537_8	dsdA//
go_0006538_8	mak//malQ//
go_0006541_7	tktB//metG//trmA//glcB//cynS//
go_0006542_8	talB//lysU//
go_0006543_8	
go_0006545_6	ahpC//
go_0006546_6	rlmA//cmk//phnI//
