# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	iscS//
go_0000025_7	prpD//
go_0000027_7	appA//nudF//mltB//hisD//
go_0000028_7	yihS//
go_0000032_8	panB//
go_0000041_8	tnaA//
go_0000050_5	ttdA//murG//wecB//rpe//ligB//
go_0000053_5	phnJ//
go_0000096_5	prpB//
go_0000101_6	zwf//
go_0000103_5	ispH//hemE//
go_0000105_6	metL//rffM//rsmA//tadA//ldtC//rsuA//rluF//
go_0000160_5	ogt//
go_0000162_7	ldcC//pdxK//mnmA//mltB//folX//umuC//ygjK//entD//yhdJ//
go_0000270_7	glmU//carB//rbsK//metF//tauD//arnT//yieF//sucD//sucD//rutA//
go_0000271_6	nagZ//
go_0000302_5	cmoA//
go_0000303_6	def//argE//
go_0000305_5	
go_0000372_11	
go_0000413_9	phnG//kdsA//rffH//gnd//opgE//bioH//dcyD//
go_0000453_8	upp//lpxH//speA//bglB//
go_0000455_9	gluQ//yghU//gltX//ubiH//cyoE//waaG//pyrC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	carB//
go_0000726_7	waaO//
go_0000731_7	ispF//rihA//
go_0000737_7	
go_0000738_7	glpX//add//
go_0000746_4	
go_0000820_7	cynS//
go_0000902_5	
go_0000910_4	pgl//sdaB//plsC//
go_0000917_6	
go_0000918_6	
go_0000920_3	hemF//
go_0000921_6	
go_0000967_10	atoB//
go_0001101_4	mutL//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	fau//
go_0001510_5	puuB//rutD//
go_0001514_8	relA//
go_0001522_7	kduD//torZ//aroL//maeA//
go_0001558_5	
go_0001561_6	dapA//
go_0001676_6	ulaE//
go_0001680_11	metK//
go_0001682_11	frdB//mrcB//
go_0001731_7	
go_0001762_6	abgB//
go_0001887_4	ddlB//ubiC//
go_0001896_5	deoA//
go_0002047_6	acpT//mcrA//
go_0002097_8	gpsA//
go_0002098_9	umuC//srlD//ldcA//speF//
go_0002099_9	rluC//nudC//
go_0002100_9	dfp//
go_0002101_9	ulaG//
go_0002128_7	dfp//
go_0002131_9	pyrE//
go_0002132_9	alaS//
go_0002136_10	galE//
go_0002143_9	nrdF//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	fadH//
go_0002938_8	narY//
go_0002939_7	pta//
go_0002943_8	pgpB//
go_0002949_8	ubiG//narZ//kduD//
go_0003333_7	mug//ydiB//speD//malZ//mnmE//hyi//ilvI//dmsC//astB//prpD//hcaB//lysU//narY//
go_0005975_4	allD//thiC//mutH//nrfC//hpt//guaA//dcyD//mtn//tauD//fkpB//kdgK//uidA//gpmM//moaA//mpaA//acs//
go_0005976_5	cysH//
go_0005977_6	fes//
go_0005978_7	gstB//eptC//gabD//lpxL//
go_0005980_7	yciV//sdhD//thiL//
go_0005986_7	pgaD//
go_0005990_7	manA//
go_0005992_7	dld//gph//
go_0005993_7	carB//mtn//rlmM//
go_0005995_7	tsaE//
go_0005998_7	gltD//
go_0006000_6	dhaL//
go_0006001_7	accB//ldtE//
go_0006002_5	phnP//rluD//tktA//
go_0006006_6	caiD//asd//polA//fruK//trpD//
go_0006007_7	metH//lysC//
go_0006011_5	cfa//
go_0006012_6	ligA//
go_0006013_6	malP//
go_0006014_6	nudF//
go_0006015_7	ispG//glk//
go_0006020_5	truB//
go_0006044_7	ybcF//
go_0006046_8	rph//nrdD//
go_0006047_5	rluD//dsdA//
go_0006048_6	hemA//rfbC//lpxH//kdsB//
go_0006053_8	dusC//
go_0006062_8	sbcB//
go_0006071_6	gstA//proA//
go_0006072_6	rdgB//
go_0006082_4	dgcT//
go_0006083_6	pfkB//waaF//dcm//
go_0006086_8	rffM//metK//
go_0006090_8	ynfE//gltB//kbaZ//citG//pdxB//paaK//rnb//
go_0006094_7	mltA//rsmC//sodB//rbsD//narH//yjcS//cadA//wrbA//fkpA//
go_0006096_6	cdsA//glnE//allD//waaZ//lpxL//yieH//gudD//leuB//argI//fucK//cdd//hemE//gph//
go_0006097_5	thrB//chbG//prs//rlmD//aroE//
go_0006098_6	asnA//proA//yajO//paaE//rutD//
go_0006099_4	deoD//rffT//nadA//sodA//plsC//ulaD//waaS//sufS//uxaA//paaH//rffC//hpt//yahK//
go_0006103_5	glnA//tadA//udk//fadK//
go_0006104_6	waaA//
go_0006105_5	nagB//
go_0006106_8	cdsA//
go_0006107_8	
go_0006108_8	argA//torC//paaH//dmlA//
go_0006113_5	trmJ//glgA//
go_0006115_6	dam//
go_0006124_6	
go_0006144_6	
go_0006145_7	yjhH//
go_0006146_8	adhP//
go_0006148_9	gcvH//
go_0006149_9	pgpB//
go_0006150_9	gstB//
go_0006152_7	dadA//hisI//nagB//aspS//wzb//
go_0006154_6	cysH//
go_0006161_9	ispU//
go_0006163_6	dgcT//
go_0006164_7	glcF//hcaF//ldhA//galT//
go_0006166_6	betB//
go_0006168_7	deoC//rpiA//
go_0006171_9	
go_0006172_9	hemA//
go_0006177_9	lpxH//
go_0006178_7	rnd//
go_0006183_9	add//
go_0006189_10	frdD//tatD//
go_0006203_8	fadJ//tnaA//
go_0006206_6	recG//yciV//malS//
go_0006207_8	hmp//sgbH//sdhB//galM//hypF//
go_0006208_7	pabA//aroL//guaD//eptB//aspC//apt//
go_0006209_6	paaB//
go_0006210_8	yfeX//
go_0006212_6	waaU//cysG//lpoA//fadJ//nagA//cmoB//ubiI//glxR//glgP//cheB//
go_0006217_9	rsmF//
go_0006218_9	sucB//
go_0006220_6	folD//
go_0006221_7	hyaA//tmk//pgpC//
go_0006222_9	
go_0006225_9	pgaC//
go_0006226_9	fabG//phnH//
go_0006227_9	rlmG//
go_0006231_9	narZ//
go_0006233_9	btuE//
go_0006235_9	glgX//
go_0006241_9	menB//
go_0006259_5	clsA//fklB//pgm//
go_0006260_6	yagF//amyA//nanE//insI-1//waaQ//alsK//rdgB//
go_0006261_7	bacA//dadA//argK//
go_0006265_6	phnP//nadC//
go_0006266_6	purT//hyaB//rbsK//
go_0006267_5	
go_0006268_9	pgm//fes//
go_0006269_6	def//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	ilvC//pdxK//
