# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	phnN//
go_0000025_7	alsE//
go_0000027_7	ascB//uxuA//aspS//cpdA//
go_0000028_7	yahK//
go_0000032_8	tnaA//
go_0000041_8	yahK//
go_0000050_5	yeaE//treA//rluB//ydiO//asnB//
go_0000053_5	rutC//
go_0000096_5	prs//
go_0000101_6	proB//
go_0000103_5	yhdJ//narG//
go_0000105_6	frmA//dmlA//pphA//speE//thrA//dgcZ//amyA//
go_0000160_5	ligA//
go_0000162_7	ppx//lpd//pfkA//hisI//dcd//fucO//tdh//ndk//rlmB//
go_0000270_7	cdh//gpmM//iscS//rsmA//yciA//scpC//cheR//yghU//rbn//arnB//
go_0000271_6	fumB//
go_0000302_5	arsC//
go_0000303_6	tdcG//yigL//
go_0000305_5	
go_0000372_11	
go_0000413_9	wecB//hisF//patD//udp//gph//gmhB//zwf//
go_0000453_8	fabZ//pgl//dcd//pgm//
go_0000455_9	yjhH//phnI//paaC//yghU//sgbE//narV//tynA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	ugd//
go_0000726_7	serC//
go_0000731_7	rlmM//selA//
go_0000737_7	
go_0000738_7	deoA//metL//
go_0000746_4	
go_0000820_7	paaB//
go_0000902_5	
go_0000910_4	argE//mltD//ppsA//
go_0000917_6	
go_0000918_6	
go_0000920_3	gpmA//
go_0000921_6	
go_0000967_10	waaQ//
go_0001101_4	pykF//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pepD//
go_0001510_5	scpC//dapF//
go_0001514_8	fdhF//
go_0001522_7	valS//dld//thiE//ansA//
go_0001558_5	
go_0001561_6	citE//
go_0001676_6	speC//
go_0001680_11	phnG//
go_0001682_11	speG//waaQ//
go_0001731_7	
go_0001762_6	hypF//
go_0001887_4	gcd//epmC//
go_0001896_5	cysS//
go_0002047_6	lysS//rihC//
go_0002097_8	ycaO//
go_0002098_9	narI//aceB//cysM//sdhC//
go_0002099_9	tehB//galK//
go_0002100_9	metH//
go_0002101_9	bioB//
go_0002128_7	sgbE//
go_0002131_9	metF//
go_0002132_9	fadB//
go_0002136_10	pgpB//
go_0002143_9	pyrG//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	katE//
go_0002938_8	otsA//
go_0002939_7	mrcA//
go_0002943_8	preT//
go_0002949_8	aroG//argI//cysK//
go_0003333_7	yfaU//purD//pfkA//hchA//hyaC//frlB//pyrD//clsC//cysE//glcE//fadJ//argD//rutE//
go_0005975_4	tsaC//rlmD//fruK//cmk//ilvB//xdhB//mltC//thrB//pdeR//astC//ilvE//rrrD//lpd//etk//ybjI//eptC//
go_0005976_5	ybiV//
go_0005977_6	ygeX//
go_0005978_7	ubiI//azoR//fabA//carB//
go_0005980_7	metL//ppx//slyD//
go_0005986_7	slyD//
go_0005990_7	menB//
go_0005992_7	hcp//nadK//
go_0005993_7	hmp//acnB//ldtE//
go_0005995_7	hyaB//
go_0005998_7	gltB//
go_0006000_6	bioC//
go_0006001_7	yajO//apt//
go_0006002_5	hcaC//glmU//aroL//
go_0006006_6	hemN//preT//ppsA//hisS//gudD//
go_0006007_7	rlmJ//speD//
go_0006011_5	rsuA//
go_0006012_6	gadB//
go_0006013_6	malS//
go_0006014_6	leuB//
go_0006015_7	fau//pfkB//
go_0006020_5	murD//
go_0006044_7	thiE//
go_0006046_8	yihV//mhpC//
go_0006047_5	yihT//nemA//
go_0006048_6	idnO//cpdB//selA//yqjH//
go_0006053_8	phr//
go_0006062_8	lplA//
go_0006071_6	murI//yihT//
go_0006072_6	trmJ//
go_0006082_4	murI//
go_0006083_6	gcd//bioD//speD//
go_0006086_8	gstA//mutH//
go_0006090_8	murE//dkgB//rrrD//trpC//gpsA//hisD//wcaJ//
go_0006094_7	mutY//citX//ndk//yrfG//sufS//pfkB//trmD//gutQ//rffC//
go_0006096_6	lpxK//folP//alsK//rsmD//thiC//lpxK//ppx//paaJ//phnL//nagZ//recR//gntK//speA//
go_0006097_5	nrfB//hcaC//rfbC//nagZ//gstA//
go_0006098_6	mazG//gltD//waaG//hyaA//uxuA//
go_0006099_4	gcvH//psuG//hisG//glyS//ndh//entF//garD//malY//ung//mnmA//bacA//fkpB//ruvC//
go_0006103_5	frdA//tgt//sucB//trmD//
go_0006104_6	queD//
go_0006105_5	ada//
go_0006106_8	mutH//
go_0006107_8	
go_0006108_8	ynfE//tmcA//aceB//ddlB//
go_0006113_5	dkgA//coaE//
go_0006115_6	lpd//
go_0006124_6	
