# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	frdC//
go_0000025_7	proA//
go_0000027_7	fkpA//pgaC//rne//garL//
go_0000028_7	glmM//
go_0000032_8	deoA//
go_0000041_8	valS//
go_0000050_5	waaC//nrdA//dnaE//yeiG//eutD//
go_0000053_5	phoA//
go_0000096_5	sgbH//
go_0000101_6	recO//
go_0000103_5	ubiD//hisG//
go_0000105_6	lpcA//arnA//rhaM//ahr//mltC//frdA//fruK//
go_0000160_5	clsB//
go_0000162_7	cfa//eutD//yieF//rhaB//idnO//rlmB//iaaA//allB//trmJ//
go_0000270_7	xthA//dld//nrdE//eda//waaO//def//torA//paaK//tyrA//menE//
go_0000271_6	fabZ//
go_0000302_5	nagZ//
go_0000303_6	pdxA//aceA//
go_0000305_5	
go_0000372_11	
go_0000413_9	ppc//nadK//trmH//purB//def//hycB//mhpC//
go_0000453_8	speC//aldA//sdaB//murQ//
go_0000455_9	uvrA//paaC//wrbA//sbcB//waaU//sdhC//lipA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	yfbR//
go_0000726_7	fruK//
go_0000731_7	argA//serS//
go_0000737_7	
go_0000738_7	astB//sgbU//
go_0000746_4	
go_0000820_7	paaC//
go_0000902_5	
go_0000910_4	pphB//nrdA//pgaD//
go_0000917_6	
go_0000918_6	
go_0000920_3	lpxC//
go_0000921_6	
go_0000967_10	glnE//
go_0001101_4	lplA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mrdA//
go_0001510_5	menA//dld//
go_0001514_8	bioD//
go_0001522_7	luxS//rlmC//codA//tehB//
go_0001558_5	
go_0001561_6	rpe//
go_0001676_6	aes//
go_0001680_11	nagK//
go_0001682_11	maa//pyrC//
go_0001731_7	
go_0001762_6	galK//
go_0001887_4	glmM//etk//
go_0001896_5	dgkA//
go_0002047_6	frlC//kdsA//
go_0002097_8	cysI//
go_0002098_9	ubiF//guaC//ribC//ybjI//
go_0002099_9	gatZ//wecC//
go_0002100_9	acs//
go_0002101_9	ulaG//
go_0002128_7	aldB//
go_0002131_9	rlmC//
go_0002132_9	fadH//
go_0002136_10	pck//
go_0002143_9	mnmG//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ribF//
go_0002938_8	gluQ//
go_0002939_7	ubiG//
go_0002943_8	nadB//
go_0002949_8	ubiG//mobA//arnT//
go_0003333_7	trmL//selB//lpxD//yeiG//mutT//oxc//bioC//ulaF//btuE//kduD//argB//murF//hisB//
go_0005975_4	avtA//cobC//bglB//ldtE//rimK//rnd//dusB//rhaB//selB//yhdJ//rluC//fkpA//ribA//kdsD//hisA//leuC//
go_0005976_5	pdxK//
go_0005977_6	xylB//
go_0005978_7	ubiA//chbG//sodA//accD//
go_0005980_7	kdsB//fumB//ynfF//
go_0005986_7	polB//
go_0005990_7	frdA//
go_0005992_7	rsmI//rluC//
go_0005993_7	preA//feaB//pabA//
go_0005995_7	ynfE//
go_0005998_7	purB//
go_0006000_6	moaA//
go_0006001_7	mraY//adhP//
go_0006002_5	cysD//queA//ribD//
go_0006006_6	tdcE//rlmG//arnA//gatY//mtlD//
go_0006007_7	ymdB//astB//
go_0006011_5	rutD//
go_0006012_6	ygeX//
go_0006013_6	puuD//
go_0006014_6	kefF//
go_0006015_7	yagE//phoA//
go_0006020_5	dapD//
go_0006044_7	yhdJ//
go_0006046_8	puuC//puuC//
go_0006047_5	entH//ddlA//
go_0006048_6	cpdB//queF//lyxK//nhoA//
go_0006053_8	deoD//
go_0006062_8	xdhB//
go_0006071_6	eutB//serC//
go_0006072_6	nirD//
go_0006082_4	folC//
go_0006083_6	dcd//yagF//frmB//
go_0006086_8	ttdA//murC//
go_0006090_8	yieF//adk//maeA//hmp//ppiC//kbaY//manA//
go_0006094_7	ampH//murI//rfbD//waaF//luxS//tauD//tsaD//glmS//moeA//
go_0006096_6	rrrD//ldtD//yfbR//pyrG//yihT//udk//tktA//rfbD//aroB//trpC//galT//slt//phoA//
go_0006097_5	ghrB//uxaC//coaD//yghU//cueO//
go_0006098_6	cobU//dacD//amyA//nagB//nudB//
go_0006099_4	allC//fabH//yhdH//glnS//deoC//eutD//gatD//selD//pdxK//frlB//clsB//glxR//lplA//
go_0006103_5	dgcZ//hemE//rlmH//accB//
go_0006104_6	trmL//
go_0006105_5	narV//
go_0006106_8	dmsB//
go_0006107_8	
go_0006108_8	bglB//mdh//pdxA//hdhA//
go_0006113_5	leuC//cysN//
go_0006115_6	trmO//
go_0006124_6	
go_0006144_6	
go_0006145_7	gapA//
