# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gutQ//
go_0000025_7	rdgB//
go_0000027_7	kdsA//ispU//gltD//opgB//
go_0000028_7	udp//
go_0000032_8	gph//
go_0000041_8	adk//
go_0000050_5	waaZ//fabB//ansB//tgt//pfkB//
go_0000053_5	dgoK//
go_0000096_5	ybiV//
go_0000101_6	treF//
go_0000103_5	poxB//glgX//
go_0000105_6	thiI//rluC//fkpA//add//betB//tynA//dgt//
go_0000160_5	mutY//
go_0000162_7	rhaB//umuD//nrdD//proS//treA//lpxP//fkpA//lgoD//wecC//
go_0000270_7	yqhD//ubiC//glyS//rlmH//torA//tesB//gph//bioD//aroG//pgaB//
go_0000271_6	cdh//
go_0000302_5	yrfG//
go_0000303_6	rutC//lpd//
go_0000305_5	
go_0000372_11	
go_0000413_9	kbaY//rnd//waaS//hycB//aroD//aroG//dmsC//
go_0000453_8	aldA//ynfF//lysA//dgcM//
go_0000455_9	fes//rluF//pcm//ftnA//glyA//rnpA//pfkA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	idnD//
go_0000726_7	mtn//
go_0000731_7	ribC//hisF//
go_0000737_7	
go_0000738_7	dgt//ubiH//
go_0000746_4	
go_0000820_7	epd//
go_0000902_5	
go_0000910_4	metB//nudF//alr//
go_0000917_6	
go_0000918_6	
go_0000920_3	hemG//
go_0000921_6	
go_0000967_10	murB//
go_0001101_4	dbpA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	folX//
go_0001510_5	fre//icd//
go_0001514_8	treF//
go_0001522_7	waaJ//mngB//dusC//phnN//
go_0001558_5	
go_0001561_6	preT//
go_0001676_6	mraY//
go_0001680_11	mug//
go_0001682_11	galM//sdhC//
go_0001731_7	
go_0001762_6	rfe//
go_0001887_4	kefF//gltD//
go_0001896_5	sodB//
go_0002047_6	pabB//nrfC//
go_0002097_8	mcrA//
go_0002098_9	glpB//ahr//ubiG//gltD//
go_0002099_9	moaD//rhaM//
go_0002100_9	phnH//
go_0002101_9	mpaA//
go_0002128_7	trmO//
go_0002131_9	yfaU//
go_0002132_9	ruvB//
go_0002136_10	ileS//
go_0002143_9	tsaE//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	hflX//
go_0002938_8	cobT//
go_0002939_7	pgaD//
go_0002943_8	frc//
go_0002949_8	menC//nrfD//folD//
go_0003333_7	moeB//ygjK//nrdE//arsC//eutB//paaB//paaK//rimK//sucC//recR//bioB//napC//ymdB//
go_0005975_4	thiL//nrdD//rsmB//dgoD//alr//paaB//ndh//frlB//acpH//cyaA//yciA//rutB//nrfC//purT//tag//agp//
go_0005976_5	ydiF//
go_0005977_6	cobT//
go_0005978_7	speG//wecB//ttdA//mltF//
go_0005980_7	paaJ//nudB//murF//
go_0005986_7	tadA//
go_0005990_7	purT//
go_0005992_7	pinE//kbaY//
go_0005993_7	murI//lplA//accC//
go_0005995_7	gloB//
go_0005998_7	abgA//
go_0006000_6	der//
go_0006001_7	dam//frdD//
go_0006002_5	sgbU//pinE//uvrA//
go_0006006_6	hemC//nhoA//ubiH//nudG//caiB//
go_0006007_7	fre//ampD//
go_0006011_5	birA//
go_0006012_6	araB//
go_0006013_6	gcvT//
go_0006014_6	rbsD//
go_0006015_7	truC//paoC//
go_0006020_5	ybhA//
go_0006044_7	leuB//
go_0006046_8	btuR//cmoB//
go_0006047_5	dcd//thiI//
go_0006048_6	rfbD//ssuE//aspS//guaD//
go_0006053_8	kdsC//
go_0006062_8	cysH//
go_0006071_6	ruvA//argB//
go_0006072_6	valS//
go_0006082_4	rnb//
go_0006083_6	entC//argS//mrcA//
go_0006086_8	pdxA//add//
go_0006090_8	alsE//ilvD//menF//nagA//ilvI//ddlB//ydiF//
go_0006094_7	patZ//rpiA//ruvB//menD//ydiO//ssuE//metF//citG//aspS//
go_0006096_6	lsrK//alaA//acnB//xylB//iaaA//hcaE//katG//ydiB//hisS//ubiI//tcdA//cpsG//hcaB//
go_0006097_5	ansA//dapB//gloC//cobS//hyaB//
go_0006098_6	sbcB//gldA//nemA//pheS//waaC//
go_0006099_4	rfbC//paaF//ndh//dgcM//psuG//aroB//ppc//pgpB//umpH//trmL//dgkA//tehB//phr//
go_0006103_5	acpH//arnA//moeB//acs//
go_0006104_6	waaH//
go_0006105_5	tmk//
go_0006106_8	dgt//
go_0006107_8	
go_0006108_8	trpE//mltB//eno//kduD//
go_0006113_5	glgX//glgA//
go_0006115_6	narY//
go_0006124_6	
go_0006144_6	
go_0006145_7	nirB//
go_0006146_8	mtn//
go_0006148_9	lgoD//
go_0006149_9	alsE//
go_0006150_9	ydiO//
go_0006152_7	guaD//fabA//atoB//xthA//hisI//
go_0006154_6	nadA//
go_0006161_9	pyrC//
go_0006163_6	polB//
go_0006164_7	ldcC//gcl//trmI//wzb//
go_0006166_6	glxR//
go_0006168_7	waaP//hyaB//
go_0006171_9	
go_0006172_9	ogt//
go_0006177_9	dkgA//
go_0006178_7	fadM//
go_0006183_9	asd//
go_0006189_10	nrfA//cysN//
go_0006203_8	pyrD//ynfH//
go_0006206_6	ung//ilvN//cfa//
go_0006207_8	pdxY//ygjK//glnA//mhpC//etp//
go_0006208_7	cysH//phnG//idnO//pyrG//fabG//gph//
go_0006209_6	pgaD//
go_0006210_8	selB//
go_0006212_6	ulaG//ubiF//argD//nrdE//sodC//deoA//leuS//dapA//pgaD//mutH//
go_0006217_9	waaS//
go_0006218_9	paaK//
go_0006220_6	alkB//
go_0006221_7	pdxB//trpD//bglX//
go_0006222_9	
go_0006225_9	yccX//
go_0006226_9	alkA//fabI//
go_0006227_9	murG//
go_0006231_9	yfcF//
go_0006233_9	pheA//
go_0006235_9	rluE//
go_0006241_9	purL//
go_0006259_5	kduI//epmB//tgt//
go_0006260_6	fadK//hemE//menB//polA//nadA//cysD//lyxK//
go_0006261_7	cysI//ansA//dkgA//
go_0006265_6	wecC//serS//
go_0006266_6	ttdB//lpxT//ynfE//
go_0006267_5	
go_0006268_9	trmD//argK//
go_0006269_6	aroB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	ldtA//hemB//
go_0006281_6	pykA//glcD//torC//argC//narG//folP//dgoD//ilvD//ycjU//gluQ//hemN//cysM//malZ//fucA//trmA//cysI//puuC//
go_0006283_8	
go_0006284_7	epmC//gcvP//hypB//glcE//folD//gabD//
go_0006285_6	rsmE//eutD//polB//ribF//
go_0006288_8	speD//rsuA//
go_0006289_7	
go_0006298_7	dhaK//hisD//thrC//yfdR//
go_0006301_7	
go_0006302_7	frmB//sdaB//
go_0006307_8	gmhB//frdC//mutM//yciA//gph//
go_0006308_6	hemG//metL//pgpB//iaaA//
go_0006310_6	yihU//yjiA//gor//hemN//glyS//
go_0006313_4	ansB//
go_0006351_6	mraY//cmoA//
go_0006352_7	
go_0006353_7	
go_0006354_7	acs//
go_0006355_7	gmhB//
go_0006357_8	
go_0006364_9	cpdA//pdxH//opgB//rpe//
go_0006378_8	der//
go_0006396_7	gltX//yjiA//lpxK//orn//proS//
go_0006397_8	tesB//
go_0006399_8	leuD//adiA//
go_0006400_7	pck//thrS//pncB//rsmG//yjhH//
go_0006401_6	dmsA//hemA//gcd//trmD//lyxK//carB//
go_0006402_7	patD//coaD//rsmC//bioB//dinB//queG//rffT//
go_0006412_6	pyrB//sdhC//glcB//narH//rpe//
go_0006413_4	trmH//
go_0006414_6	
go_0006415_7	gdhA//miaB//
