# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dkgB//
go_0000025_7	tdcB//
go_0000027_7	dhaM//proA//tdcG//mrdA//
go_0000028_7	uxaC//
go_0000032_8	tcdA//
go_0000041_8	pdeR//
go_0000050_5	mhpA//cpdA//waaP//yqhD//rsmD//
go_0000053_5	eno//
go_0000096_5	thiM//
go_0000101_6	ruvA//
go_0000103_5	rbsD//opgE//
go_0000105_6	csdA//mltA//frc//leuD//tdcG//ubiH//purL//
go_0000160_5	rrrD//
go_0000162_7	preA//ugd//ydfG//dgoK//glnS//paoC//ybiV//entE//guaC//
go_0000270_7	nth//bioA//rsmI//gcd//metE//fabH//metE//tauD//asnS//pgl//
go_0000271_6	metH//
go_0000302_5	bioF//
go_0000303_6	hisD//proC//
go_0000305_5	
go_0000372_11	
go_0000413_9	nrfC//yciA//acnB//pdxA//nagB//insI-1//katE//
go_0000453_8	pyrG//slyD//rihC//yihS//
go_0000455_9	btuR//katE//astB//cadA//ubiD//ruvB//gstA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	frdA//
go_0000726_7	atoB//
go_0000731_7	eptA//nanK//
go_0000737_7	
go_0000738_7	dinB//rfaD//
go_0000746_4	
go_0000820_7	pck//
go_0000902_5	
go_0000910_4	cpsB//dgoK//pphB//
go_0000917_6	
go_0000918_6	
go_0000920_3	fucO//
go_0000921_6	
go_0000967_10	speG//
go_0001101_4	hypF//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	garD//
go_0001510_5	rfbD//purD//
go_0001514_8	bglA//
go_0001522_7	frdC//rfbC//gcvP//cobS//
go_0001558_5	
go_0001561_6	patD//
go_0001676_6	pinE//
go_0001680_11	rhaA//
go_0001682_11	rhaA//torC//
go_0001731_7	
go_0001762_6	kbaZ//
go_0001887_4	gloA//ppiA//
go_0001896_5	cysD//
go_0002047_6	menB//narI//
go_0002097_8	gatY//
go_0002098_9	murD//sodB//dinB//malQ//
go_0002099_9	udk//fbaA//
go_0002100_9	pdxH//
go_0002101_9	narG//
go_0002128_7	glpD//
go_0002131_9	oxc//
go_0002132_9	kbaY//
go_0002136_10	hemE//
go_0002143_9	idi//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	mnmC//
go_0002938_8	cysE//
go_0002939_7	speD//
go_0002943_8	ybjI//
go_0002949_8	glxR//fabZ//aldA//
go_0003333_7	acpS//hpt//mrdA//ldtD//lpxL//rlmM//pbpC//aroL//galT//hemH//pgi//purA//frdA//
go_0005975_4	frdA//oxc//thiG//thrS//cadA//malS//bioC//kdsD//torA//metK//pykF//yihU//metE//prpD//fkpB//metE//
go_0005976_5	aspA//
go_0005977_6	mgsA//
go_0005978_7	nrdB//rfe//frlB//glgC//
go_0005980_7	trpD//paaA//glgP//
go_0005986_7	nrfD//
go_0005990_7	putA//
go_0005992_7	uxaB//dxr//
go_0005993_7	leuB//cobU//apaH//
go_0005995_7	glgX//
go_0005998_7	tdh//
go_0006000_6	pdeF//
go_0006001_7	acs//aroK//
go_0006002_5	mazG//acs//dcm//
go_0006006_6	aroA//ttdB//murC//idnD//ilvI//
go_0006007_7	tsaB//pgi//
go_0006011_5	ynfF//
go_0006012_6	xapA//
go_0006013_6	scpC//
go_0006014_6	sufS//
go_0006015_7	miaB//gabD//
go_0006020_5	frc//
go_0006044_7	pgl//
go_0006046_8	yfcF//hycB//
go_0006047_5	napA//pyrB//
go_0006048_6	tauD//ahpC//phnL//mhpA//
go_0006053_8	umuC//
go_0006062_8	murQ//
go_0006071_6	nrdD//rsmD//
go_0006072_6	cdsA//
go_0006082_4	selD//
go_0006083_6	gmhB//glgX//pabA//
go_0006086_8	rhaA//dkgB//
go_0006090_8	cysE//pldB//argS//cobU//ilvE//cysG//kdsC//
go_0006094_7	epd//hyaC//ydiB//dgkA//cmk//rfaD//moaE//napB//rlmG//
go_0006096_6	sbcB//pphA//leuS//waaJ//queC//yghU//iaaA//citE//dmlA//aroE//ulaF//argS//cpdA//
go_0006097_5	dld//tktB//relA//alkA//trpC//
go_0006098_6	glmU//galM//hisG//idnD//trpC//
go_0006099_4	bcsA//garR//nirB//pdxY//lpxC//lipB//nagZ//ycjU//nadK//waaB//hcaF//ltaE//ligA//
go_0006103_5	nth//ligA//eptC//lpoB//
go_0006104_6	trmA//
go_0006105_5	psuG//
