# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ribA//
go_0000025_7	pphB//
go_0000027_7	yfcG//panE//lsrK//rsgA//
go_0000028_7	mrcA//
go_0000032_8	ribD//
go_0000041_8	agp//
go_0000050_5	frlC//dnaQ//nudF//rfbD//adeD//
go_0000053_5	hisH//
go_0000096_5	adiA//
go_0000101_6	torZ//
go_0000103_5	yjjG//napB//
go_0000105_6	alkB//murA//ligB//patA//ldtD//ubiX//dgoA//
go_0000160_5	yjjX//
go_0000162_7	metF//alsE//xylA//murD//rsmH//ulaD//gloB//eno//glyA//
go_0000270_7	bioC//mazG//panB//aldA//ilvB//ubiH//aspA//tadA//cobS//sodA//
go_0000271_6	torZ//
go_0000302_5	bioC//
go_0000303_6	entB//coaE//
go_0000305_5	
go_0000372_11	
go_0000413_9	otsB//waaP//azoR//deoA//mutL//thrB//murI//
go_0000453_8	cysE//entF//tktA//pheA//
go_0000455_9	malQ//araA//glgX//fumB//umuD//trpC//garR//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	lpxM//
go_0000726_7	alsE//
go_0000731_7	pagP//dosP//
go_0000737_7	
go_0000738_7	patA//rsmC//
go_0000746_4	
go_0000820_7	nagB//
go_0000902_5	
go_0000910_4	ispF//nadA//trpA//
go_0000917_6	
go_0000918_6	
go_0000920_3	sucD//
go_0000921_6	
go_0000967_10	sgbU//
go_0001101_4	pdxK//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	rnt//
go_0001510_5	ispA//rihA//
go_0001514_8	lgoD//
go_0001522_7	tdk//dgoD//rnd//poxB//
go_0001558_5	
go_0001561_6	ydiB//
go_0001676_6	gltD//
go_0001680_11	dgcM//
go_0001682_11	fadE//dacC//
go_0001731_7	
go_0001762_6	adiA//
go_0001887_4	talB//glpX//
