# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	hisS//
go_0000025_7	nrfA//
go_0000027_7	insI-1//hemD//xapA//eno//
go_0000028_7	tdcE//
go_0000032_8	upp//
go_0000041_8	yfcG//
go_0000050_5	sdhC//ppx//dbpA//fadB//entC//
go_0000053_5	aroA//
go_0000096_5	betB//
go_0000101_6	pta//
go_0000103_5	fau//ulaD//
go_0000105_6	purA//pgaC//adeD//ddlA//accB//nth//uvrC//
go_0000160_5	fucO//
go_0000162_7	cysC//rpiB//relA//arsC//coaD//yghU//katG//yihT//mnaT//
go_0000270_7	pncB//acpT//gpt//menC//tauD//tcdA//yieF//lpoA//mepS//argD//
go_0000271_6	fumC//
go_0000302_5	agp//
go_0000303_6	prmC//nrfB//
go_0000305_5	
go_0000372_11	
go_0000413_9	ribE//mutL//nadA//dnaQ//glcB//dut//dinB//
go_0000453_8	murA//bioC//deoD//menA//
go_0000455_9	ssuD//gcvP//ssuE//hcp//rlmB//fabH//menA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	aphA//
go_0000726_7	gpt//
go_0000731_7	murI//arsC//
go_0000737_7	
go_0000738_7	serB//hemN//
go_0000746_4	
go_0000820_7	asnA//
go_0000902_5	
go_0000910_4	paaK//ymdB//ispG//
go_0000917_6	
go_0000918_6	
go_0000920_3	gcvH//
go_0000921_6	
go_0000967_10	gpp//
go_0001101_4	maa//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	argC//
go_0001510_5	queC//polB//
go_0001514_8	wcaJ//
go_0001522_7	tdcG//def//pgaB//dapF//
go_0001558_5	
go_0001561_6	murF//
go_0001676_6	apaH//
go_0001680_11	dnaQ//
go_0001682_11	srlD//tdcB//
go_0001731_7	
go_0001762_6	garD//
go_0001887_4	astB//phnH//
go_0001896_5	phnJ//
go_0002047_6	sseA//miaB//
go_0002097_8	glpD//
go_0002098_9	metF//pphA//thrS//dam//
go_0002099_9	rhaD//putA//
go_0002100_9	miaA//
go_0002101_9	ddlA//
go_0002128_7	nrfC//
go_0002131_9	miaA//
go_0002132_9	treC//
go_0002136_10	mdh//
go_0002143_9	narZ//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	puuD//
go_0002938_8	thiG//
go_0002939_7	nudC//
go_0002943_8	yqaB//
go_0002949_8	nanA//menI//pheA//
go_0003333_7	mdh//glxR//paaE//cysH//yieF//malP//cysS//wecB//fadH//yfiC//yqjH//ogt//fadM//
go_0005975_4	recF//codA//alaA//hisC//ribA//moeA//surA//sdaA//malP//fcl//carA//surA//folC//iscS//roxA//yhdH//
go_0005976_5	pepD//
go_0005977_6	yhdJ//
go_0005978_7	rpiA//dkgB//hcaB//speG//
go_0005980_7	fabZ//cysC//avtA//
go_0005986_7	ascB//
go_0005990_7	rfaD//
go_0005992_7	gltX//frdB//
go_0005993_7	tnaA//clsA//panD//
go_0005995_7	alaS//
go_0005998_7	hchA//
go_0006000_6	argH//
go_0006001_7	dacC//der//
go_0006002_5	panB//rutE//thiC//
go_0006006_6	pyrH//tpiA//metF//proS//metG//
go_0006007_7	sucC//tktA//
go_0006011_5	ycaO//
go_0006012_6	wecB//
go_0006013_6	hchA//
go_0006014_6	iscS//
go_0006015_7	caiD//clsB//
go_0006020_5	fucI//
go_0006044_7	aceB//
go_0006046_8	purA//nrfA//
go_0006047_5	dmsC//ldtC//
go_0006048_6	mepS//katE//fau//adiA//
go_0006053_8	mltA//
go_0006062_8	cysD//
go_0006071_6	glxR//hemL//
go_0006072_6	hemG//
go_0006082_4	ybiV//
go_0006083_6	opgB//argK//glpX//
go_0006086_8	yieH//betB//
go_0006090_8	talB//torY//gcvH//sodB//deoD//wecC//nanK//
go_0006094_7	ppk//pdeF//yfdR//thyA//argH//purA//gapA//rnt//alaA//
go_0006096_6	wecB//yjhG//malZ//phnO//apaH//scpC//rffM//menB//ybiV//rsmG//xthA//yahK//fadI//
go_0006097_5	ligB//pheA//moaA//paaJ//cysI//
go_0006098_6	nanK//ydiB//lpxT//glnE//murF//
go_0006099_4	hemA//eptB//waaO//hypB//adk//trpA//tdh//aceA//pheA//idnK//solA//rlmJ//proA//
go_0006103_5	uxaC//ilvN//cobB//frlC//
go_0006104_6	panE//
go_0006105_5	yqaB//
go_0006106_8	eno//
go_0006107_8	
go_0006108_8	gatY//puuB//aphA//ilvB//
go_0006113_5	ilvB//polB//
go_0006115_6	tag//
go_0006124_6	
go_0006144_6	
go_0006145_7	fadH//
go_0006146_8	mnmC//
go_0006148_9	folM//
go_0006149_9	lysA//
go_0006150_9	glpX//
go_0006152_7	sad//cysS//aes//idnO//dapF//
go_0006154_6	lpxL//
go_0006161_9	rnb//
go_0006163_6	nrdB//
go_0006164_7	betB//purB//bioB//kdgK//
go_0006166_6	entH//
go_0006168_7	pdxA//paaZ//
go_0006171_9	
go_0006172_9	rffG//
go_0006177_9	guaD//
go_0006178_7	rihC//
go_0006183_9	glxR//
go_0006189_10	iscS//pdeL//
go_0006203_8	orn//tdcD//
go_0006206_6	dacA//asnS//ldcC//
go_0006207_8	frmB//ispF//tynA//yfeW//hemE//
go_0006208_7	talB//malP//aldA//ybjI//kefF//tdcD//
go_0006209_6	mug//
go_0006210_8	ttdB//
go_0006212_6	kdsA//ulaE//rsgA//adk//murE//ndh//recF//rffT//ahpC//ansA//
go_0006217_9	fadK//
go_0006218_9	nanE//
go_0006220_6	rhaB//
go_0006221_7	argG//nrfC//bglB//
go_0006222_9	
go_0006225_9	rsmE//
go_0006226_9	purN//acpT//
go_0006227_9	pdxJ//
go_0006231_9	mltD//
go_0006233_9	bglX//
go_0006235_9	abgB//
go_0006241_9	mrcB//
go_0006259_5	acpT//gcl//murI//
go_0006260_6	lplA//btuE//psuG//preA//waaO//ubiH//rrrD//
go_0006261_7	rihC//frc//fkpB//
go_0006265_6	otsB//rffH//
go_0006266_6	alsK//rne//trpS//
go_0006267_5	
go_0006268_9	ligA//araB//
go_0006269_6	glpB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	gatZ//rsmF//
go_0006281_6	tig//gabT//pgaB//pyrE//serB//bglB//menE//mutS//allB//gutQ//pyrF//truA//tktA//hemE//rimK//fucI//ppx//
go_0006283_8	
go_0006284_7	sodB//mltD//rffT//uxuB//psd//yfcG//
go_0006285_6	folD//gltB//astB//ubiX//
go_0006288_8	ilvE//deoB//
go_0006289_7	
go_0006298_7	fadH//sufS//hisC//birA//
go_0006301_7	
go_0006302_7	mltA//lsrK//
go_0006307_8	puuC//yfbR//moaA//solA//allD//
go_0006308_6	hemE//yihU//prmC//ldhA//
go_0006310_6	moaA//tdcE//pdeH//pyrG//nagA//
go_0006313_4	ahpC//
go_0006351_6	waaJ//bioA//
go_0006352_7	
go_0006353_7	
go_0006354_7	umpH//
go_0006355_7	rfaD//
go_0006357_8	
go_0006364_9	aphA//mltD//gcvH//gadB//
go_0006378_8	hemB//
go_0006396_7	waaJ//pdxH//ftsI//rsmA//ssuE//
go_0006397_8	pykF//
go_0006399_8	ppiC//ruvC//
go_0006400_7	pabC//rimK//umuD//nagB//glnS//
go_0006401_6	lysS//mnmG//hpt//abgA//lpxL//rph//
go_0006402_7	yjjX//moaE//fumA//paaE//pabA//bglA//abgB//
go_0006412_6	folE//kefF//fabZ//hcaC//avtA//
go_0006413_4	galT//
go_0006414_6	
go_0006415_7	pgi//agp//
go_0006417_7	murQ//yigB//
go_0006418_7	cobU//ydiO//nagA//pdeR//pabC//wrbA//ung//ubiG//birA//pheA//menE//
go_0006419_8	frdD//
go_0006420_8	phnO//
go_0006421_8	guaA//
go_0006422_8	hemB//
go_0006423_8	mog//
go_0006424_8	lpd//hemC//
go_0006425_8	coaA//
go_0006427_8	tsaC//
go_0006428_8	alkA//
go_0006429_8	nagZ//
go_0006430_8	wrbA//hypF//
go_0006431_8	appA//
go_0006432_8	adiA//
go_0006433_8	ampD//
go_0006434_8	ribB//
go_0006435_8	accC//
go_0006436_8	bglA//
go_0006437_8	narY//
go_0006438_8	clsB//
go_0006448_8	
go_0006450_4	mcrB//pnp//hcaB//leuD//pdeH//cysN//
go_0006457_3	btuR//paaC//ogt//pyrH//gcl//queC//rpe//
go_0006458_4	
go_0006464_6	dmsC//rlmG//dxr//gudD//menF//scpB//abgB//proC//
go_0006465_6	glcB//preT//pldB//
go_0006468_7	yihT//
go_0006470_7	ligB//menF//bioB//argS//ynfF//
go_0006473_8	upp//
go_0006474_6	cyoE//narZ//mutL//
go_0006476_8	yihT//
go_0006479_5	btuR//glgP//mmuM//thrA//prpD//aceA//
go_0006486_5	luxS//
go_0006490_5	folX//
go_0006508_5	menB//yeaE//pyrD//ldtE//hycB//ftsI//rsmA//uxaB//wrbA//truD//aroL//tcdA//ynfH//gpmA//ftsI//yhdJ//spoT//gcd//gudD//ribF//ltaE//nfsB//gadA//hcp//sufS//kdsB//ribF//selA//fucK//gor//speA//fadI//tnaA//
go_0006515_7	umpH//rlmL//kduD//pdeR//pheA//tyrS//frdB//
go_0006517_6	hisS//katE//
go_0006518_5	fabZ//hcp//
go_0006523_8	narI//narG//
go_0006524_8	
go_0006526_8	torZ//gltX//metL//selD//argB//manA//puuB//
go_0006527_8	pykA//lsrG//ydfG//yeaG//menB//
go_0006529_7	glmS//dgcM//
go_0006530_7	lacZ//dgcZ//dam//metE//
go_0006531_7	pdxB//
go_0006532_8	metK//aspC//gcvH//
go_0006535_8	nrdF//thiL//yciV//
go_0006537_8	napA//
go_0006538_8	umuD//tyrS//
go_0006541_7	ssuD//hyaB//truC//purD//tesB//
go_0006542_8	pyrF//trmJ//
go_0006543_8	
go_0006545_6	thiD//
